Fecha,Santa Cruz,Oruro,Chuquisaca,Tarija
2020-04-02,281,94,,
2020-04-03,296,94,,
2020-04-04,329,94,,
2020-04-05,353,94,,
2020-04-06,353,96,,617
2020-04-07,353,108,,617
2020-04-08,362,110,,622
2020-04-09,374,110,,706
2020-04-10,374,123,,722
2020-04-11,470,196,,749
2020-04-12,470,208,,789
2020-04-13,510,260,,808
2020-04-14,561,312,,848
2020-04-15,605,364,,889
2020-04-16,614,507,,943
2020-04-17,644,650,,1011
2020-04-18,698,705,,1055
2020-04-19,803,739,,1098
2020-04-20,884,762,,1119
2020-04-21,884,802,,1171
2020-04-22,1019,858,,1235
2020-04-23,1055,877,,1275
2020-04-24,1214,925,,1336
2020-04-25,1325,1010,,1396
2020-04-26,1442,1059,,1458
2020-04-27,1523,1075,,1480
2020-04-28,1625,1166,,1497
2020-04-29,1685,1256,,1524
2020-04-30,1811,1292,,1529
2020-05-01,1883,1329,,1601
2020-05-02,1883,1365,,1601
2020-05-03,2162,1402,,1611
2020-05-04,2255,1439,,1626
2020-05-05,2560,1486,,1647
2020-05-06,2791,1532,,1724
2020-05-07,2791,1577,428,1737
2020-05-08,2995,1606,428,29
2020-05-09,3442,1643,613,74
2020-05-10,3724,1657,613,105
2020-05-11,4104,1688,613,137
2020-05-12,4308,1688,613,141
2020-05-13,4540,1791,613,141
2020-05-14,4784,1844,613,141
2020-05-15,5052,1868,613,141
2020-05-16,5273,1868,613,143
2020-05-17,5763,1887,619,146
2020-05-18,6025,1930,619,146
2020-05-19,6201,1964,619,146
2020-05-20,6719,1991,619,146
2020-05-21,7067,2004,619,146
2020-05-22,7569,2032,645,146
2020-05-23,8039,2060,645,146
2020-05-24,8637,2151,645,171
2020-05-25,9211,2192,645,190
2020-05-26,9933,2237,645,209
2020-05-27,10886,2279,655,212
2020-05-28,11702,2312,655,229
2020-05-29,12046,2383,681,229
2020-05-30,13238,2408,681,229
2020-05-31,13576,2484,681,256
2020-06-01,14080,2524,681,273
2020-06-02,14514,2660,699,273
2020-06-03,15312,2734,702,288
2020-06-04,15942,2941,702,300
2020-06-05,16326,3075,812,318
2020-06-06,17150,3167,812,330
2020-06-07,17390,3237,812,374
2020-06-08,17660,3418,812,401
2020-06-09,18468,3557,824,401
2020-06-10,19208,3624,824,414
2020-06-11,19608,3624,1002,424
2020-06-12,19975,3788,1002,427
2020-06-13,20593,3788,1272,434
2020-06-14,7872,3927,1287,482
2020-06-15,8189,3974,1287,509
2020-06-16,8696,4401,1530,518
2020-06-17,8979,4480,1657,552
2020-06-18,9242,4480,1657,657
2020-06-19,9793,4721,2302,669
2020-06-20,10419,5133,2302,702
2020-06-21,10753,5133,2802,708
2020-06-22,11321,5133,2802,812
2020-06-23,11696,5546,2934,927
2020-06-24,12238,5925,2934,976
2020-06-25,12809,5925,3056,1026
2020-06-26,13031,6624,3056,1096
2020-06-27,13709,6784,3216,1137
2020-06-28,14127,6938,3216,1250
2020-06-29,14465,7098,3332,1291
2020-06-30,15135,7098,3332,1351
2020-07-01,15511,7098,3429,1444
2020-07-02,16245,7488,3429,1478
2020-07-03,16812,7912,3508,1563
2020-07-04,17444,8144,3508,1647
2020-07-05,18006,8943,3566,1791
2020-07-06,18207,9026,3566,1833
2020-07-07,18652,9253,3675,1902
2020-07-08,19180,9449,3675,1946
2020-07-09,19665,9449,3700,2245
2020-07-10,20279,10347,3700,2307
2020-07-11,20878,10778,3834,2467
2020-07-12,21153,11079,3834,2482
