fecha,casos,departamento,cantidad
2021-07-19,casos_activos,tarija,7718
2021-07-19,casos_acumulados,beni,20087
2021-07-19,casos_acumulados,chuquisaca,29466
2021-07-19,casos_acumulados,cochabamba,69128
2021-07-19,casos_acumulados,la paz,95345
2021-07-19,casos_acumulados,oruro,23133
2021-07-19,casos_acumulados,pando,6740
2021-07-19,casos_acumulados,potosi,21662
2021-07-19,casos_acumulados,santa cruz,162058
2021-07-19,casos_acumulados,tarija,35506
2021-07-19,casos_nuevos,beni,5
2021-07-19,casos_nuevos,chuquisaca,147
2021-07-19,casos_nuevos,cochabamba,198
2021-07-19,casos_nuevos,la paz,37
2021-07-19,casos_nuevos,oruro,8
2021-07-19,casos_nuevos,pando,2
2021-07-19,casos_nuevos,potosi,30
2021-07-19,casos_nuevos,santa cruz,396
2021-07-19,casos_nuevos,tarija,148
2021-07-19,decesos_acumulados,beni,872
2021-07-19,decesos_acumulados,chuquisaca,1255
2021-07-19,decesos_acumulados,cochabamba,2655
2021-07-19,decesos_acumulados,la paz,2406
2021-07-19,decesos_acumulados,oruro,1242
2021-07-19,decesos_acumulados,pando,317
2021-07-19,decesos_acumulados,potosi,766
2021-07-19,decesos_acumulados,santa cruz,7051
2021-07-19,decesos_acumulados,tarija,911
2021-07-19,decesos_nuevos,beni,2
2021-07-19,decesos_nuevos,chuquisaca,3
2021-07-19,decesos_nuevos,cochabamba,5
2021-07-19,decesos_nuevos,la paz,2
2021-07-19,decesos_nuevos,oruro,1
2021-07-19,decesos_nuevos,pando,0
2021-07-19,decesos_nuevos,potosi,1
2021-07-19,decesos_nuevos,santa cruz,1
2021-07-19,decesos_nuevos,tarija,2
2021-07-19,recuperados_acumulados,beni,16415
2021-07-19,recuperados_acumulados,chuquisaca,19728
2021-07-19,recuperados_acumulados,cochabamba,62748
2021-07-19,recuperados_acumulados,la paz,73803
2021-07-19,recuperados_acumulados,oruro,21206
2021-07-19,recuperados_acumulados,pando,4212
2021-07-19,recuperados_acumulados,potosi,19333
2021-07-19,recuperados_acumulados,santa cruz,148226
2021-07-19,recuperados_acumulados,tarija,26877
2021-07-20,casos_activos,beni,2621
2021-07-20,casos_activos,chuquisaca,8486
2021-07-20,casos_activos,cochabamba,3502
2021-07-20,casos_activos,la paz,19076
2021-07-20,casos_activos,oruro,697
2021-07-20,casos_activos,pando,2200
2021-07-20,casos_activos,potosi,1605
2021-07-20,casos_activos,santa cruz,6786
2021-07-20,casos_activos,tarija,7697
2021-07-20,casos_acumulados,beni,20107
2021-07-20,casos_acumulados,chuquisaca,29614
2021-07-20,casos_acumulados,cochabamba,69354
2021-07-20,casos_acumulados,la paz,95472
2021-07-20,casos_acumulados,oruro,23153
2021-07-20,casos_acumulados,pando,6741
2021-07-20,casos_acumulados,potosi,21720
2021-07-20,casos_acumulados,santa cruz,162399
2021-07-20,casos_acumulados,tarija,35617
2021-07-20,casos_nuevos,beni,20
2021-07-20,casos_nuevos,chuquisaca,148
2021-07-20,casos_nuevos,cochabamba,226
2021-07-20,casos_nuevos,la paz,127
2021-07-20,casos_nuevos,oruro,20
2021-07-20,casos_nuevos,pando,1
2021-07-20,casos_nuevos,potosi,58
2021-07-20,casos_nuevos,santa cruz,341
2021-07-20,casos_nuevos,tarija,111
2021-07-20,decesos_acumulados,beni,872
2021-07-20,decesos_acumulados,chuquisaca,1258
2021-07-20,decesos_acumulados,cochabamba,2659
2021-07-20,decesos_acumulados,la paz,2410
2021-07-20,decesos_acumulados,oruro,1245
2021-07-20,decesos_acumulados,pando,317
2021-07-20,decesos_acumulados,potosi,766
2021-07-20,decesos_acumulados,santa cruz,7067
2021-07-20,decesos_acumulados,tarija,911
2021-07-20,decesos_nuevos,beni,0
2021-07-20,decesos_nuevos,chuquisaca,3
2021-07-20,decesos_nuevos,cochabamba,4
2021-07-20,decesos_nuevos,la paz,4
2021-07-20,decesos_nuevos,oruro,3
2021-07-20,decesos_nuevos,pando,0
2021-07-20,decesos_nuevos,potosi,0
2021-07-20,decesos_nuevos,santa cruz,16
2021-07-20,decesos_nuevos,tarija,0
2021-07-20,recuperados_acumulados,beni,16614
2021-07-20,recuperados_acumulados,chuquisaca,19870
2021-07-20,recuperados_acumulados,cochabamba,63193
2021-07-20,recuperados_acumulados,la paz,73986
2021-07-20,recuperados_acumulados,oruro,21211
2021-07-20,recuperados_acumulados,pando,4224
2021-07-20,recuperados_acumulados,potosi,19349
2021-07-20,recuperados_acumulados,santa cruz,148546
2021-07-20,recuperados_acumulados,tarija,27009
2021-07-21,casos_activos,beni,2411
2021-07-21,casos_activos,chuquisaca,8490
2021-07-21,casos_activos,cochabamba,3368
2021-07-21,casos_activos,la paz,19101
2021-07-21,casos_activos,oruro,704
2021-07-21,casos_activos,pando,2203
2021-07-21,casos_activos,potosi,1608
2021-07-21,casos_activos,santa cruz,6888
