,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02
120,,,,,,,,,,,,,,,,,,9.25,0.0,18.75,15.5,31.5,38.5,3.25,0.0,9.25,6.75,19.5,5.0,14.75,7.0,0.0,0.0,4.75,15.25,0.0,0.0,13.5,0.0,4.75,0.0,6.75,0.0,0.0,0.0,21.75,0.0,0.0,0.0,8.25,20.0,0.0,27.0,25.25,21.75,87.25,53.5,69.25,12.75,3.0,5.5,8.5,18.5,23.75,28.75,31.25,4.25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,9.5,42.25,55.75,45.0,66.25,62.25,52.0,39.25,20.5,29.0,0.0,0.0,28.5,7.75,0.0,0.0,0.0,6.0,21.25,0.0,0.0,13.0,12.75,0.0,0.0,0.0,5.25,33.25,0.0,7.75,0.0,5.0,0.0,23.75,0.0,41.25,42.75,81.0,91.25,40.25,55.0,45.25,35.5,20.5,15.0,7.5,0.0,38.5,15.25,46.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,0.0,0.0,7.75,28.5,43.0,51.75,0.0,0.0,21.25,17.0,18.5,26.0,17.75,13.75,0.0,0.0,0.0,10.0,0.0,3.75,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,24.0,0.0,0.0,0.0,13.0,11.0,0.0,13.75,3.75,15.25,70.75,67.5,82.5,30.0,9.5,11.25,12.0,10.75,29.5,29.75,26.0,10.0,35.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,13.0,28.0,22.75,83.75,71.5,53.75,45.25,35.25,9.5,12.75,0.0,12.0,0.0,11.0,0.0,14.75,0.0,6.5,0.0,13.75,0.0,0.0,6.0,0.0,0.0,10.5,5.5,13.0,3.0,3.5,8.0,3.0,15.75,0.0,26.0,20.25,17.25,22.0,28.75,12.25,11.75,28.75,31.75,26.25,17.25,34.75,8.25,3.5,12.25,12.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,38.0,6.0,27.75,62.0,62.5,65.75,53.75,35.25,27.0,24.5,6.25,6.5,15.5,6.0,6.75,0.0,5.75,7.5,13.75,0.0,0.0,6.0,21.0,0.0,7.75,0.0,6.5,6.0,0.0,12.0,0.0,8.0,6.25,7.25,11.25,44.75,48.5,66.5,70.75,45.0,56.5,36.0,5.5,0.0,22.25,5.5,11.25,27.25,0.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,31.0,19.0,43.0,100.0,66.0,45.75,51.25,20.75,13.0,25.25,0.0,16.25,0.0,8.75,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,23.0,20.75,0.0,24.25,9.75,4.25,20.75,7.75,9.0,10.75,17.25,0.0,19.5,29.5,6.5,4.5,31.75,18.0,14.75,26.25,36.25,20.75,8.25,39.75,10.75,4.0,15.0,16.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,23.25,18.75,49.25,35.25,42.0,53.25,22.5,28.25,17.0,6.0,12.5,6.25,31.75,0.0,5.75,6.5,0.0,5.25,0.0,0.0,0.0,17.75,10.5,6.25,0.0,0.0,0.0,0.0,12.75,0.0,0.0,0.0,0.0,16.0,23.0,45.25,21.0,61.5,56.0,28.5,54.75,36.5,30.25,17.0,44.25,5.75,5.5,16.0,5.75,18.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,0.0,10.25,39.0,26.0,51.75,10.0,0.0,31.75,4.75,21.25,10.25,11.25,5.75,0.0,0.0,10.5,15.0,0.0,15.5,0.0,0.0,5.5,0.0,10.75,0.0,0.0,0.0,15.5,0.0,0.0,0.0,10.75,0.0,0.0,34.0,25.0,32.25,76.0,80.0,88.75,20.0,0.0,4.5,5.0,5.25,29.25,14.25,25.25,5.0,21.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,21.75,34.25,67.0,65.0,79.5,49.75,52.5,28.0,27.25,0.0,0.0,0.0,14.5,0.0,7.0,0.0,4.75,0.0,5.75,0.0,0.0,26.0,24.25,0.0,35.75,10.75,17.75,10.75,6.5,17.0,4.75,27.25,0.0,20.75,16.0,7.75,23.5,68.75,29.5,19.25,11.25,30.5,10.0,17.75,31.25,34.5,9.5,16.75,28.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,20.0,25.25,87.75,71.75,41.5,51.5,24.5,12.75,11.5,0.0,4.5,0.0,16.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.75,0.0,15.5,4.5,20.0,7.5,4.25,8.0,4.25,17.75,0.0,24.0,15.0,7.0,7.25,29.75,22.25,26.0,18.0,25.0,18.5,13.25,18.5,8.0,16.0,31.75,21.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,31.25,48.5,42.75,87.5,84.25,46.75,57.75,14.25,28.75,11.25,0.0,29.5,5.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,5.0,42.5,0.0,0.0,0.0,13.5,15.5,8.25,4.75,0.0,5.0,0.0,9.5,7.25,36.0,16.0,72.75,73.75,46.5,27.25,27.0,40.75,0.0,23.75,6.0,0.0,25.25,0.0,52.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
