,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02
73,,,,,,,,,,,13.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,10.5,21.0,11.25,40.75,0.0,20.75,26.25,0.0,0.0,61.75,0.0,0.0,63.0,0.0,22.0,7.5,0.0,0.0,31.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,7.75,0.0,24.25,8.5,50.0,12.25,12.25,43.0,
74,,,,,,,,,,,6.25,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.75,25.5,0.0,26.5,0.0,0.0,37.75,67.5,9.5,61.75,14.25,0.0,59.5,0.0,18.75,8.5,0.0,0.0,32.25,0.0,16.25,0.0,0.0,0.0,0.0,0.0,17.5,8.5,0.0,0.0,0.0,23.5,0.0,41.25,22.25,52.25,19.5,21.5,15.5,
75,,,,,,,,,,,0.0,72.75,0.0,10.25,0.0,0.0,0.0,0.0,0.0,11.25,0.0,36.0,0.0,47.5,14.0,0.0,23.75,0.0,12.25,51.75,48.25,47.0,0.0,0.0,21.5,21.5,0.0,23.25,59.25,38.0,0.0,12.75,0.0,28.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,37.25,0.0,0.0,0.0,52.75,53.5,11.75,12.5,49.0,21.5,
76,,,,,,,,,,,0.0,34.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,19.75,25.25,9.25,15.5,0.0,20.5,24.0,6.5,11.75,17.25,10.5,0.0,34.0,0.0,30.5,10.25,0.0,0.0,14.75,0.0,17.0,0.0,0.0,0.0,0.0,0.0,42.75,14.75,0.0,0.0,0.0,0.0,0.0,43.75,12.75,17.75,8.5,3.25,0.0,
77,,,,,,,,,,,0.0,34.75,0.0,11.0,0.0,0.0,0.0,0.0,0.0,23.75,21.25,35.5,0.0,21.0,37.25,0.0,0.0,0.0,61.75,24.5,35.5,55.25,0.0,0.0,24.0,21.5,0.0,20.5,32.75,35.75,0.0,23.0,0.0,38.5,0.0,24.75,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,38.5,63.25,12.5,35.25,46.25,20.5,0.0
78,,,,,,,,,,,24.25,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,25.75,6.75,27.0,0.0,17.75,34.25,29.0,6.5,60.75,6.0,0.0,47.0,0.0,21.5,8.0,0.0,0.0,40.0,0.0,27.75,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,19.5,0.0,53.75,18.5,42.5,8.25,14.75,26.0,31.25
79,,,,,,,,,,,0.0,32.25,0.0,18.75,0.0,0.0,0.0,0.0,0.0,21.75,21.75,22.0,0.0,32.75,12.0,0.0,12.0,0.0,24.0,48.0,22.75,67.5,0.0,0.0,22.25,0.0,0.0,21.5,43.5,23.0,0.0,11.5,0.0,38.75,0.0,23.5,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,0.0,36.5,62.25,32.25,10.5,36.0,20.75,0.0
80,,,,,,,,,,,12.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,28.5,22.25,41.0,0.0,8.5,38.25,47.75,8.5,73.75,15.5,0.0,29.5,0.0,17.75,18.5,0.0,0.0,40.5,0.0,24.5,0.0,0.0,0.0,0.0,0.0,63.25,20.0,0.0,0.0,0.0,19.5,0.0,50.0,13.25,42.0,30.75,39.75,7.75,0.0
81,,,,,,,,,,,,21.25,0.0,37.0,0.0,0.0,0.0,0.0,0.0,21.75,42.75,0.0,0.0,22.0,12.0,0.0,12.0,0.0,46.75,57.75,44.25,67.0,0.0,0.0,22.25,17.75,0.0,29.75,43.5,33.0,0.0,11.5,0.0,63.75,0.0,45.5,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,47.75,37.25,21.25,31.0,36.0,40.25,0.0
82,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,30.5,5.5,20.25,28.25,32.75,11.75,8.5,20.75,63.5,14.5,54.25,7.75,0.0,29.5,4.75,17.75,11.0,0.0,0.0,23.5,0.0,15.0,6.5,0.0,0.0,0.0,0.0,63.25,20.0,0.0,0.0,0.0,22.5,0.0,41.25,13.25,39.25,30.75,31.5,0.0,5.5
83,,,,,,,,,,,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,22.5,19.0,0.0,8.25,11.5,11.25,40.0,78.75,35.25,0.0,36.5,0.0,36.5,29.75,0.0,0.0,59.5,0.0,75.0,0.0,0.0,0.0,0.0,0.0,31.25,8.0,0.0,0.0,0.0,17.75,0.0,42.0,11.0,37.5,39.75,50.25,26.25,18.75
84,,,,,,,,,,,,0.0,0.0,25.75,0.0,0.0,0.0,0.0,0.0,10.0,32.0,30.75,0.0,11.5,11.75,0.0,0.0,0.0,36.0,33.75,21.75,63.75,0.0,0.0,40.5,37.75,0.0,10.0,51.75,55.5,0.0,0.0,0.0,75.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,25.25,58.5,0.0,22.0,35.5,28.5,0.0
