,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21
32,,,,27.25,27.75,32.5,23.25,27.0,20.25,4.5,8.75,10.25,11.75,10.5,12.0,14.25,25.75,39.0,40.25,46.5,53.25,66.75,85.75,100.0,63.0,53.5,29.25,40.5,22.75,17.75,19.25,24.5,18.25,20.25,12.0,5.75,13.0,15.5,17.75,12.5,20.0,25.5,14.0,18.5,29.75,16.5,27.5,12.25,13.5,22.75,20.0,33.75,27.0,62.25,,
33,,,,28.0,34.75,24.75,34.0,30.25,15.75,16.5,12.75,22.0,14.75,13.0,19.5,10.75,24.0,23.0,57.0,50.5,76.75,99.5,74.5,67.5,77.0,52.5,41.0,20.25,31.75,28.25,20.5,25.5,13.75,15.75,13.25,8.25,13.75,8.5,20.5,10.0,11.75,22.25,35.5,28.0,34.0,24.5,17.75,9.75,27.5,18.25,16.25,24.5,30.0,60.75,,
34,,,,23.5,25.75,35.25,39.75,29.25,17.0,5.0,10.25,11.25,14.75,14.25,9.25,14.0,29.0,36.5,46.5,57.0,63.25,84.5,98.0,90.0,69.5,50.5,28.5,29.0,19.75,20.75,13.0,24.75,18.0,17.75,11.25,10.5,15.25,15.75,14.75,9.25,21.5,33.5,16.25,24.75,49.25,23.5,21.75,23.0,13.75,28.25,23.0,38.0,27.25,79.25,,
35,,,,,28.25,29.75,26.75,27.5,19.0,8.25,7.25,14.25,18.5,9.5,11.5,11.0,32.0,38.5,35.0,49.75,51.0,78.25,96.5,84.0,56.0,48.0,37.75,34.75,19.0,10.5,12.0,19.75,13.75,14.75,14.75,5.0,21.75,14.75,14.25,12.75,22.25,33.75,15.0,20.75,36.25,23.5,25.0,19.0,17.25,20.25,20.75,34.25,21.0,74.25,42.25,
36,,,,,32.5,27.0,32.5,27.25,15.25,16.0,10.75,9.25,16.0,9.75,19.5,8.5,20.75,19.75,39.5,46.75,64.75,99.75,79.0,75.5,77.0,44.0,44.0,18.25,31.75,19.75,23.5,15.5,13.0,14.75,16.75,8.75,15.75,6.25,11.75,8.75,17.5,20.25,28.5,22.5,27.5,24.5,16.75,16.0,22.25,19.5,17.5,31.25,33.5,57.5,44.25,
37,,,,,29.5,27.25,26.5,32.5,19.75,7.0,9.25,11.5,11.0,14.0,10.0,13.75,32.75,28.5,43.5,46.5,59.5,75.5,99.25,88.5,53.0,37.5,27.25,29.75,25.25,14.75,13.0,22.5,14.75,13.75,16.0,7.75,19.5,13.75,17.5,12.25,17.25,31.25,15.0,16.5,38.75,20.0,22.5,19.0,16.25,22.25,17.75,32.75,23.75,69.0,47.75,
38,,,,,27.5,27.0,29.75,23.25,12.5,19.0,11.0,16.5,18.25,4.75,22.25,8.75,20.25,24.0,43.0,45.75,55.75,100.0,65.75,79.5,71.5,57.5,40.25,19.5,36.75,20.75,20.5,14.75,15.0,15.75,17.0,10.25,11.5,4.5,17.25,9.5,10.75,16.25,30.0,21.75,26.0,21.25,13.5,17.25,22.0,22.0,25.5,19.75,38.5,51.0,52.75,
39,,,,,,27.25,25.25,17.5,17.5,5.75,8.5,10.75,11.75,6.25,10.5,12.75,18.5,35.75,26.75,41.75,51.5,76.25,88.0,90.0,54.5,41.75,28.25,26.25,22.5,20.25,10.25,16.0,12.0,12.0,6.75,6.75,9.5,11.5,19.25,10.75,15.75,18.75,15.5,18.75,31.0,20.25,17.5,17.25,10.5,21.5,17.25,26.5,20.0,78.5,38.75,59.5
40,,,,,19.5,32.0,28.75,24.5,16.25,6.75,7.5,12.0,11.5,7.5,11.25,13.25,27.75,29.0,32.25,42.0,50.0,82.0,90.0,90.0,56.25,42.0,29.75,30.75,24.0,22.0,14.5,18.25,14.5,14.5,9.0,9.25,10.0,13.75,17.25,12.0,15.25,16.75,17.25,14.5,32.75,21.25,18.5,16.75,12.0,23.0,16.5,30.0,19.5,80.5,39.75,68.0
41,,,,,,27.5,26.5,18.5,21.5,4.75,9.5,11.5,12.25,7.75,11.0,12.0,19.0,39.75,33.25,45.75,55.5,75.0,88.0,97.0,55.25,46.0,32.0,33.5,25.0,18.5,9.0,16.25,14.75,13.25,9.75,5.0,12.5,12.5,19.25,12.25,14.75,17.25,17.25,21.75,33.25,22.25,19.75,18.5,12.5,22.5,18.0,29.5,21.75,74.25,38.25,67.0
