,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23
12,,10.25,44.0,19.75,46.25,0.0,33.75,37.0,12.25,21.75,10.75,0.0,22.5,0.0,67.5,10.5,11.75,34.25,47.75,25.0,11.25,10.5,21.0,0.0,26.0,12.5,48.25,49.5,0.0,77.75,23.5,12.5,0.0,0.0,28.25,0.0,0.0,29.5,0.0,0.0,0.0,21.25,0.0,26.5,25.25,0.0,12.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
13,,6.5,33.25,9.75,20.25,0.0,20.0,69.25,11.0,10.0,6.75,36.5,7.25,19.75,25.25,7.25,0.0,13.5,0.0,36.75,38.75,22.25,30.25,47.75,19.0,0.0,0.0,0.0,21.0,42.0,11.75,48.5,0.0,0.0,6.5,0.0,0.0,21.75,0.0,11.0,0.0,18.75,38.0,8.25,30.0,0.0,7.25,28.5,11.0,0.0,0.0,17.0,,,,,,,,,,,,,
14,,20.25,30.0,0.0,11.75,0.0,28.0,66.0,0.0,0.0,21.75,7.25,0.0,0.0,16.0,11.5,19.75,20.0,11.0,5.75,13.75,28.5,41.25,24.25,49.25,24.0,25.0,49.5,56.25,59.75,0.0,38.25,0.0,0.0,9.25,0.0,0.0,11.75,5.25,5.25,0.0,22.25,15.5,13.5,0.0,0.0,21.75,5.5,29.25,0.0,0.0,0.0,,,,,,,,,,,,,
15,,0.0,69.5,20.0,22.25,0.0,49.0,25.25,12.5,10.25,43.0,0.0,0.0,0.0,12.0,10.75,11.0,20.75,22.5,11.25,48.0,36.0,70.75,11.75,35.0,11.75,59.5,49.25,11.75,51.75,11.0,25.25,0.0,0.0,40.75,0.0,0.0,49.0,0.0,0.0,0.0,11.5,0.0,14.5,36.75,0.0,0.0,0.0,22.0,0.0,0.0,0.0,,,,,,,,,,,,,
16,,22.75,11.5,53.5,0.0,0.0,45.75,74.75,0.0,33.5,23.25,7.0,0.0,28.0,23.5,11.75,0.0,11.25,0.0,24.25,7.75,42.5,32.25,19.75,37.5,0.0,13.0,36.75,8.5,35.75,8.0,33.25,0.0,11.75,21.0,0.0,0.0,20.5,10.0,0.0,0.0,19.75,22.25,28.0,25.75,0.0,11.25,18.25,11.5,0.0,0.0,0.0,,,,,,,,,,,,,
17,,11.0,94.25,40.5,44.75,0.0,26.0,13.25,0.0,21.75,44.75,0.0,0.0,0.0,35.5,0.0,24.25,46.25,12.25,22.5,12.75,36.5,23.75,60.25,37.75,24.0,61.75,12.5,25.25,38.75,13.0,13.25,0.0,0.0,30.5,0.0,0.0,39.5,0.0,0.0,0.0,12.25,0.0,14.25,36.0,0.0,22.75,0.0,22.0,0.0,0.0,0.0,,,,,,,,,,,,,
18,,0.0,23.25,0.0,7.5,0.0,20.5,62.75,12.0,0.0,0.0,28.75,0.0,28.5,25.25,7.5,0.0,0.0,0.0,29.5,31.75,11.5,28.0,31.25,27.25,0.0,0.0,21.0,8.75,42.75,25.0,50.0,0.0,0.0,0.0,0.0,0.0,10.5,17.0,7.25,0.0,57.0,39.0,0.0,0.0,0.0,0.0,19.25,45.25,0.0,0.0,17.25,,,,,,,,,,,,,
19,,7.5,56.75,28.25,12.0,0.0,38.25,50.25,21.0,11.75,11.75,37.0,7.75,0.0,7.75,20.5,7.75,0.0,20.5,20.0,21.75,7.75,59.25,41.25,22.0,8.25,20.5,52.25,0.0,0.0,0.0,22.75,0.0,0.0,0.0,0.0,0.0,35.5,11.75,24.25,0.0,25.0,15.25,14.75,8.25,0.0,0.0,0.0,24.25,0.0,0.0,11.75,,,,,,,,,,,,,
20,,0.0,7.75,0.0,10.75,0.0,25.25,64.5,0.0,0.0,0.0,49.25,0.0,19.25,0.0,24.5,19.25,0.0,0.0,31.75,23.5,18.5,12.5,7.75,24.75,0.0,0.0,13.75,39.25,60.75,8.25,44.0,0.0,0.0,0.0,0.0,0.0,9.25,21.75,10.5,0.0,61.5,34.75,0.0,0.0,0.0,0.0,18.5,41.0,0.0,0.0,10.25,,,,,,,,,,,,,
21,,0.0,62.0,33.25,47.25,0.0,50.75,26.25,25.0,35.0,23.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,38.5,62.5,40.0,12.25,13.0,12.5,38.25,39.0,13.25,26.5,14.0,0.0,0.0,0.0,49.5,49.75,0.0,0.0,0.0,10.75,22.0,0.0,0.0,0.0,27.0,0.0,27.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
