,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30
65,,,,,,,,,,19.75,9.0,6.75,14.75,18.25,6.25,11.5,0.0,32.0,0.0,5.5,56.0,0.0,25.25,43.75,44.5,61.5,37.5,73.0,14.75,22.25,50.25,0.0,51.5,18.25,34.0,61.25,32.75,5.0,7.0,16.25,34.25,49.5,43.75,75.75,56.25,31.0,12.75,46.75,0.0,11.75,13.0,24.0,0.0,5.25,15.75,23.25,30.5,23.75,12.5,29.25,,,,,,
66,,,,,,,,,,12.25,4.0,11.0,19.0,18.0,7.75,4.5,2.75,16.25,20.25,24.75,8.25,42.0,18.0,19.0,18.75,0.0,12.75,18.75,0.0,28.75,45.25,0.0,35.25,12.0,26.5,17.5,30.75,16.0,29.75,16.0,0.0,33.5,55.5,82.25,51.5,29.25,23.0,0.0,12.75,28.25,0.0,0.0,14.0,0.0,2.25,19.75,16.0,21.25,0.0,21.75,,,,,,
67,,,,,,,,,,8.75,20.75,11.0,4.25,0.0,36.0,4.75,0.0,0.0,9.25,26.25,14.0,31.5,22.5,30.75,83.75,23.25,4.5,23.5,50.75,24.5,26.75,20.25,47.75,3.5,12.25,18.75,22.0,11.5,23.5,9.0,45.75,15.5,42.0,81.25,37.75,25.5,28.25,0.0,28.75,9.0,8.5,7.0,7.25,37.75,25.25,4.25,8.75,11.25,8.5,8.5,26.0,,,,,
68,,,,,,,,,,0.0,24.25,0.0,7.0,8.0,6.5,12.5,0.0,25.75,0.0,18.0,50.0,0.0,52.0,59.0,71.5,52.0,17.75,60.75,14.75,55.25,41.75,0.0,30.25,30.25,23.5,54.5,42.25,0.0,7.25,18.0,41.75,73.75,23.75,58.5,48.0,63.25,28.0,31.5,7.25,14.25,0.0,27.0,5.0,0.0,21.75,24.0,13.0,7.25,19.0,67.0,5.5,,,,,
69,,,,,,,,,,,17.25,0.0,14.5,21.5,13.0,12.25,0.0,32.25,0.0,12.25,46.0,0.0,47.5,50.0,54.5,54.5,6.75,69.75,14.75,58.75,54.75,0.0,31.0,20.0,29.0,66.25,44.75,0.0,7.25,18.75,36.5,77.25,30.75,54.75,44.5,53.25,34.0,38.25,7.25,14.25,0.0,33.25,0.0,0.0,22.5,30.5,7.75,7.25,19.25,48.5,10.75,,,,,
70,,,,,,,,,,,6.25,0.0,13.5,6.25,13.5,0.0,0.0,17.5,0.0,10.75,33.25,0.0,20.5,47.5,29.75,35.75,13.25,31.5,7.5,36.25,48.25,0.0,43.25,29.5,30.25,39.5,36.25,15.0,10.25,11.25,39.5,72.5,40.75,44.5,69.25,36.0,37.5,28.25,6.75,5.25,0.0,49.25,0.0,5.25,14.0,4.75,11.0,16.75,11.25,48.5,14.5,,,,,
71,,,,,,,,,,,0.0,28.0,13.5,3.0,20.0,10.5,7.25,16.5,16.25,37.0,0.0,46.25,13.25,33.0,12.25,12.75,12.0,7.75,0.0,31.5,12.75,27.75,37.75,24.5,30.75,15.25,23.75,18.0,18.5,36.25,35.0,57.5,38.75,89.25,81.25,50.25,25.0,0.0,15.5,11.0,11.5,0.0,6.25,0.0,8.5,22.5,28.25,25.25,0.0,24.25,36.75,,,,,
72,,,,,,,,,,,18.25,11.25,0.0,0.0,24.5,5.75,0.0,0.0,7.5,24.5,34.0,29.25,0.0,41.0,73.75,28.0,7.25,18.0,32.0,10.25,17.5,20.25,38.5,20.0,15.5,20.25,3.0,8.0,12.0,15.25,45.75,13.0,39.75,73.75,16.0,22.0,18.0,0.0,24.5,3.75,0.0,6.25,18.75,28.75,8.75,12.25,13.0,18.75,3.25,3.25,17.0,13.5,,,,
73,,,,,,,,,,,20.5,7.0,5.75,12.5,0.0,22.75,0.0,27.0,0.0,11.75,39.25,0.0,44.75,28.0,52.0,41.25,42.75,54.5,18.0,30.5,85.25,0.0,32.75,29.0,15.0,32.0,29.75,0.0,10.25,20.25,32.25,40.5,24.5,45.0,83.0,55.0,26.25,26.75,0.0,0.0,6.0,25.25,10.0,5.25,14.5,28.0,17.75,10.25,5.5,48.75,15.0,15.5,,,,
74,,,,,,,,,,,20.0,4.25,4.25,4.0,4.0,0.0,0.0,0.0,8.75,22.25,22.75,31.75,12.5,19.0,80.5,28.25,15.25,17.75,33.75,9.5,14.5,4.5,40.5,19.0,23.0,29.75,27.5,4.0,13.0,9.25,61.25,23.5,58.5,76.25,26.0,34.5,0.0,0.0,15.25,10.25,0.0,16.5,10.25,21.5,6.25,19.0,18.75,13.25,3.5,5.75,24.5,11.5,,,,
