,,,2020-03-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-07-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00
,,,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,[sin dato],Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino
departamento,municipio,edad,,,,,,,,,,,,,,,,,,,,,,,
la.paz,mocomoco,50-59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,palca,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,patacamaya,50-59,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
la.paz,patacamaya,>= 60,0,0,0,0,0,0,0,0,2,4,0,1,1,0,0,0,0,1,0,0,0,0,0
la.paz,pucarani,50-59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,pucarani,>= 60,0,0,0,0,0,0,0,0,3,4,0,0,1,2,0,0,0,0,0,0,0,0,0
la.paz,puerto acosta,40-49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,puerto acosta,>= 60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,puerto carabuco,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,quime,50-59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
la.paz,quime,>= 60,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,san buena ventura,40-49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,san buena ventura,50-59,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,san buena ventura,>= 60,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
la.paz,san pedro de tiquina,>= 60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,sapahaqui,20-39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,sapahaqui,40-49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,sapahaqui,50-59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,sapahaqui,>= 60,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,viacha,40-49,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
la.paz,viacha,50-59,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0
la.paz,viacha,>= 60,0,0,0,0,0,0,0,0,3,12,0,1,2,0,1,0,0,0,0,0,0,0,0
la.paz,waldo ballivian,>= 60,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
cochabamba,aiquile,50-59,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
cochabamba,aiquile,>= 60,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
cochabamba,anzaldo,>= 60,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,arani,>= 60,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,arbieto,40-49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,arbieto,>= 60,0,0,0,0,0,0,1,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0
cochabamba,arque,>= 60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,ayopaya (v. de independencia),>= 60,0,0,0,0,0,0,0,0,1,3,0,0,0,1,2,0,0,0,0,0,0,0,0
cochabamba,capinota,50-59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,capinota,>= 60,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
cochabamba,chimore,0-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,chimore,40-49,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,chimore,50-59,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,chimore,>= 60,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,cliza,40-49,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,cliza,50-59,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
cochabamba,cliza,>= 60,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,cocapata,>= 60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,cochabamba,0-19,0,0,0,0,0,1,2,4,2,1,0,0,1,3,0,0,0,0,1,0,0,0,0
cochabamba,cochabamba,20-39,0,0,0,0,2,0,2,10,6,15,0,1,4,0,4,1,0,0,2,0,4,0,3
cochabamba,cochabamba,40-49,0,0,0,0,0,3,8,22,5,42,0,4,14,1,2,1,0,1,1,1,2,2,0
cochabamba,cochabamba,50-59,0,0,1,2,0,2,16,48,33,80,0,10,24,2,5,1,1,0,2,1,0,1,2
cochabamba,cochabamba,>= 60,0,1,1,8,5,10,55,140,109,264,0,46,106,14,32,6,9,3,6,5,7,10,7
cochabamba,colcapirhua,20-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,colcapirhua,40-49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,colcapirhua,50-59,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,colcapirhua,>= 60,0,0,0,0,0,0,3,2,3,4,0,2,2,1,0,0,0,1,0,0,0,0,0
cochabamba,colomi,>= 60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,cuchumuela (v. g. villarroel),20-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,cuchumuela (v. g. villarroel),>= 60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,entre rios cbba,20-39,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,entre rios cbba,40-49,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,entre rios cbba,50-59,0,0,0,0,0,2,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,entre rios cbba,>= 60,0,1,0,0,6,4,8,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,morochata,40-49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,pocona,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cochabamba,pojo (cbba),50-59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,pojo (cbba),>= 60,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cochabamba,puerto villarroel,0-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,puerto villarroel,20-39,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,puerto villarroel,40-49,0,0,0,0,0,0,1,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
cochabamba,puerto villarroel,50-59,0,0,0,0,0,2,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,puerto villarroel,>= 60,0,0,0,0,0,0,4,6,5,5,0,1,2,0,0,0,0,0,0,0,0,0,0
cochabamba,punata,20-39,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,punata,40-49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,punata,50-59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cochabamba,punata,>= 60,0,0,0,0,0,0,0,5,6,7,0,1,4,0,3,0,0,1,0,0,0,0,0
cochabamba,quillacollo,20-39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
cochabamba,quillacollo,40-49,0,0,0,0,0,0,0,0,4,3,0,3,0,1,0,0,0,0,0,0,0,0,0
cochabamba,quillacollo,50-59,0,0,0,0,0,1,0,1,3,12,0,1,2,0,1,0,0,0,0,0,0,0,0
cochabamba,quillacollo,>= 60,0,0,0,0,1,0,2,7,0,19,0,7,15,0,1,0,0,0,0,0,0,1,1
cochabamba,sacaba,0-19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cochabamba,sacaba,20-39,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
cochabamba,sacaba,40-49,0,0,0,0,0,0,2,7,0,9,0,2,3,0,1,0,0,0,0,0,0,0,0
cochabamba,sacaba,50-59,0,0,0,0,0,2,4,16,7,19,0,2,2,0,1,0,0,0,0,0,0,0,0
