,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17
167,,,,,,,,,,,,,,,,,,,,,,,,40.25,59.75,11.0,21.5,7.75,0.0,28.25,33.5,11.0,35.25,25.5,0.0,6.0,25.5,24.0,14.0,0.0,0.0,20.5,0.0,52.25,0.0,16.5,49.0,0.0,0.0,21.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.5,11.0,8.25,14.75,30.75,47.5,34.75,0.0,0.0,45.5,22.75,33.25,0.0,0.0,5.5,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,24.5,41.0,8.25,24.0,0.0,0.0,62.75,0.0,36.25,70.0,25.75,0.0,25.0,31.75,31.75,17.25,0.0,0.0,0.0,0.0,85.75,0.0,9.5,27.5,0.0,0.0,7.0,0.0,0.0,14.0,13.5,0.0,0.0,0.0,7.25,6.75,13.0,19.25,6.25,14.0,62.5,21.0,0.0,0.0,22.0,50.75,13.75,0.0,0.0,24.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,33.75,44.5,0.0,12.5,20.0,0.0,31.5,14.5,28.75,45.75,21.0,0.0,21.25,26.0,19.25,7.75,0.0,0.0,0.0,0.0,86.5,0.0,23.25,15.5,0.0,0.0,0.0,0.0,0.0,5.25,17.5,0.0,0.0,0.0,6.0,0.0,10.5,17.5,6.0,9.5,59.0,16.25,0.0,0.0,50.5,38.75,27.5,0.0,0.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,25.25,6.0,20.75,24.75,11.5,44.5,9.0,22.25,17.25,0.0,0.0,12.25,0.0,0.0,10.0,0.0,0.0,0.0,0.0,17.25,19.5,0.0,8.75,26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,26.0,26.0,0.0,5.5,0.0,5.0,67.0,10.75,47.5,23.25,35.25,13.5,11.75,62.75,37.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,32.0,33.25,74.25,36.75,13.0,0.0,16.25,15.0,56.75,11.0,37.5,18.5,0.0,37.0,0.0,0.0,25.0,0.0,0.0,0.0,9.25,12.5,7.25,0.0,22.25,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,24.5,46.75,0.0,0.0,5.75,14.25,17.0,15.0,9.25,38.0,59.75,0.0,11.25,16.75,9.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,11.5,38.5,21.5,36.0,24.0,8.5,33.25,25.75,0.0,9.25,11.25,0.0,0.0,40.0,0.0,0.0,0.0,0.0,9.0,0.0,11.5,5.75,19.25,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,39.0,13.75,0.0,4.75,0.0,16.5,51.0,0.0,28.25,39.5,26.0,14.75,51.75,60.5,27.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,35.25,0.0,38.75,32.75,36.5,19.0,7.25,24.75,67.0,12.75,38.5,19.75,0.0,24.0,12.0,0.0,23.0,0.0,0.0,28.25,0.0,8.5,20.75,0.0,70.75,0.0,23.75,0.0,0.0,0.0,6.25,0.0,0.0,0.0,12.75,9.0,51.0,0.0,0.0,32.5,0.0,33.5,38.25,6.75,32.25,77.25,0.0,14.0,8.0,17.25,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,11.25,38.75,21.5,35.75,24.0,8.5,32.75,25.75,0.0,9.25,11.25,0.0,0.0,40.0,0.0,0.0,0.0,0.0,9.0,0.0,11.5,5.75,19.25,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,39.25,13.75,0.0,4.75,0.0,16.5,51.25,0.0,28.25,39.75,26.0,14.75,51.25,60.5,27.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,62.0,31.25,19.5,12.75,0.0,33.0,7.25,23.25,22.5,22.75,0.0,0.0,41.0,19.5,21.25,0.0,0.0,0.0,0.0,83.25,0.0,18.25,18.0,0.0,0.0,6.25,0.0,0.0,18.25,19.25,0.0,0.0,0.0,6.5,0.0,6.5,5.75,5.75,22.75,95.0,22.75,0.0,0.0,53.5,39.75,51.0,0.0,0.0,7.0,26.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,56.5,14.25,24.0,15.5,0.0,25.5,7.75,5.75,40.25,21.0,0.0,8.25,23.75,19.0,8.5,0.0,0.0,0.0,0.0,55.75,0.0,26.25,9.0,0.0,0.0,14.0,0.0,0.0,5.0,11.75,0.0,0.0,0.0,11.75,11.25,6.25,21.5,4.25,13.25,65.5,11.25,0.0,0.0,5.5,14.5,18.75,0.0,0.0,15.25,31.75,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,14.25,37.75,46.0,33.25,32.75,5.75,27.5,45.0,0.0,14.5,12.5,0.0,0.0,33.25,0.0,0.0,0.0,0.0,8.25,31.5,38.5,17.25,16.0,0.0,0.0,11.5,0.0,0.0,11.25,0.0,0.0,0.0,7.0,6.75,20.75,16.75,0.0,26.0,0.0,0.0,68.25,5.75,19.75,11.0,27.0,17.0,67.75,24.0,49.25,0.0,0.0,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,39.25,0.0,28.75,8.75,0.0,44.0,24.25,17.75,37.75,13.25,0.0,13.0,32.25,16.25,7.75,0.0,0.0,0.0,0.0,60.5,0.0,0.0,30.25,0.0,0.0,3.5,0.0,0.0,10.75,27.25,0.0,0.0,0.0,7.5,0.0,9.5,27.0,0.0,15.0,48.25,28.5,0.0,0.0,55.5,48.75,29.25,0.0,0.0,20.0,29.0,10.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,61.25,22.25,14.25,43.0,14.0,22.5,55.25,0.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,15.25,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,11.25,35.0,15.75,0.0,28.0,0.0,19.0,56.75,0.0,52.25,13.5,42.0,19.5,58.0,77.25,19.25,0.0,0.0,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,69.75,25.0,7.0,19.75,6.0,14.5,45.5,0.0,4.0,11.5,0.0,0.0,13.25,0.0,0.0,0.0,0.0,24.25,10.5,49.75,0.0,13.25,0.0,0.0,6.5,0.0,0.0,6.25,0.0,0.0,0.0,12.5,12.5,29.0,3.25,0.0,10.5,0.0,0.0,35.75,6.25,40.0,7.25,20.0,5.25,65.5,66.25,21.75,0.0,0.0,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,24.5,15.75,0.0,32.75,25.0,48.75,58.25,12.75,0.0,17.0,25.25,33.75,0.0,0.0,0.0,22.5,0.0,36.25,0.0,33.5,51.25,0.0,0.0,0.0,0.0,0.0,8.25,5.75,0.0,0.0,0.0,0.0,7.5,5.5,29.75,9.25,14.25,49.5,15.75,0.0,0.0,51.25,55.25,57.5,0.0,0.0,26.75,55.5,15.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
