,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
27,,,,,7.5,8.25,7.25,12.0,8.75,2.0,4.5,9.0,3.75,8.0,10.0,7.0,11.5,9.25,13.75,21.5,20.25,25.75,28.75,56.25,69.0,62.5,83.75,97.0,94.5,75.5,74.0,60.5,88.5,73.0,66.5,62.5,48.75,54.0,50.75,45.5,48.25,43.25,68.25,71.25,77.75,51.75,35.75,36.75,27.0,27.5,33.75,28.5,19.25,28.75,29.75,,,,,,
28,,,,,11.75,5.5,6.5,10.5,8.5,2.25,8.0,8.75,2.25,8.0,10.0,6.5,12.5,6.25,13.75,22.25,25.25,31.75,30.5,47.75,65.0,55.5,85.5,86.5,76.25,66.25,71.75,61.25,87.75,83.25,66.75,49.5,45.75,46.0,38.5,44.5,44.75,41.0,68.25,56.5,69.5,54.5,39.75,37.25,22.0,22.0,25.25,30.0,18.75,26.0,30.75,,,,,,
29,,,,,9.0,9.25,13.25,10.75,10.5,3.75,4.75,8.25,5.75,1.5,4.25,6.25,17.5,7.75,10.0,19.25,26.0,20.25,34.75,61.5,67.75,81.25,78.5,94.5,79.5,79.25,81.25,73.75,80.0,82.5,84.0,65.0,50.75,51.25,37.75,39.75,51.75,59.0,65.5,74.0,80.25,66.75,45.0,30.25,32.75,31.5,32.75,31.0,25.75,26.25,25.75,,,,,,
30,,,,,5.25,6.25,7.5,13.0,6.25,4.0,6.5,4.75,3.5,3.75,5.25,9.0,9.5,7.25,8.75,15.5,19.75,22.0,33.0,47.25,47.5,61.25,91.75,89.75,64.0,77.0,76.5,73.25,80.25,62.0,59.25,55.25,43.75,58.25,41.75,44.75,41.5,51.25,53.0,75.75,71.25,44.25,43.25,21.0,31.75,25.5,19.75,22.0,37.0,12.5,18.75,,,,,,
31,,,,,5.5,5.25,8.5,15.5,6.0,3.75,5.75,5.0,3.25,3.5,5.25,9.25,10.25,7.5,8.5,16.75,25.0,21.5,34.25,45.75,53.25,57.0,88.75,91.5,63.5,78.0,76.75,76.75,85.5,62.5,58.75,55.0,51.25,57.5,45.75,45.75,42.75,56.0,58.25,74.75,72.5,47.75,44.75,27.0,31.0,24.5,22.0,25.0,34.75,12.25,19.5,,,,,,
32,,,,,8.25,10.0,12.25,9.5,10.0,6.5,4.0,9.25,3.0,2.5,3.0,5.5,13.5,5.0,8.5,19.5,23.5,27.0,38.75,50.5,71.0,81.0,78.5,99.75,83.25,82.0,83.0,74.75,86.5,82.5,76.25,54.75,50.0,58.0,39.25,36.0,42.25,56.75,66.0,80.75,83.25,73.5,60.75,31.0,30.25,21.5,22.5,27.0,31.0,23.5,27.25,,,,,,
33,,,,,7.25,7.25,9.0,13.25,5.75,5.0,7.75,3.25,4.0,4.0,5.25,8.0,10.5,6.75,7.25,14.25,23.75,22.25,28.75,40.0,39.25,65.0,89.75,89.75,72.0,70.0,80.0,74.5,87.5,63.0,52.5,52.25,45.25,49.0,41.25,40.75,41.5,47.75,64.25,66.25,78.25,48.0,35.5,27.75,25.25,18.25,24.75,21.75,33.75,14.5,18.25,,,,,,
34,,,,,7.0,9.5,13.0,10.0,11.25,5.0,3.75,8.75,4.75,3.75,4.75,8.25,11.25,4.75,10.25,18.25,24.75,23.0,34.25,52.75,68.0,69.25,74.5,96.5,86.25,83.25,71.75,68.75,82.5,84.0,71.0,56.75,42.5,51.5,39.75,37.25,43.5,54.75,64.75,69.75,79.5,60.25,47.25,35.25,39.25,30.0,27.0,28.5,28.25,21.0,23.5,33.0,,,,,
35,,,,,,8.5,8.0,15.75,4.75,3.25,4.25,3.0,2.0,5.75,5.25,7.0,8.25,6.25,6.75,18.75,22.0,27.5,40.25,43.5,53.75,69.75,90.75,96.5,71.25,79.25,82.25,86.0,95.0,77.0,56.5,56.75,53.75,56.75,41.5,39.5,49.25,50.75,66.25,80.75,84.5,57.0,41.0,25.5,29.75,22.25,22.5,23.25,36.5,14.75,21.5,28.5,,,,,
36,,,,,,9.5,11.25,9.0,7.0,4.5,2.25,5.0,3.0,4.0,2.75,6.75,10.0,4.5,5.75,19.25,20.75,21.25,28.25,55.0,48.25,71.75,68.25,95.25,73.25,74.0,67.0,65.0,69.75,74.75,63.5,46.75,40.0,47.5,35.25,30.5,44.25,50.0,62.75,75.75,73.25,57.75,49.0,28.75,26.25,25.0,23.0,30.0,26.0,24.25,21.0,29.75,,,,,
