,,,2021-01-01 00:00:00,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2021-12-01 00:00:00
,,,Femenino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino
departamento,municipio,edad,,,,,,,,,,,,,,,,,,,
la.paz,chua cocani,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
la.paz,chulumani (v. de la libertad),50-59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,chulumani (v. de la libertad),>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
la.paz,collana,50-59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
la.paz,collana,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
la.paz,colquencha,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
la.paz,colquiri,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
la.paz,comanche,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
la.paz,copacabana,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
la.paz,copacabana,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
la.paz,coripata,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
la.paz,coro coro,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
la.paz,coroico,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
la.paz,el alto,0-19,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1,0,1,0
la.paz,el alto,20-39,0,0,0,0,0,1,1,2,2,2,4,3,0,0,0,1,6,3,0
la.paz,el alto,40-49,0,0,0,0,2,1,1,1,3,1,9,4,2,0,0,5,9,1,1
la.paz,el alto,50-59,0,0,0,0,5,0,3,5,12,5,22,1,5,2,1,10,26,2,4
la.paz,el alto,>= 60,0,0,2,1,5,6,7,15,24,18,62,10,24,1,6,32,72,4,14
la.paz,escoma,>= 60,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,guanay,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
la.paz,huarina,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
la.paz,huatajata,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
la.paz,huatajata,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
la.paz,humanata,>= 60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,ichoca,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
la.paz,inquisivi,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
la.paz,la asunta,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
la.paz,la paz,0-19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0
la.paz,la paz,20-39,0,0,0,1,0,1,0,0,5,0,1,1,1,0,1,1,1,2,5
la.paz,la paz,40-49,0,0,0,0,1,1,0,0,5,2,5,1,3,3,5,2,7,3,10
la.paz,la paz,50-59,0,0,0,2,0,2,2,4,11,5,10,2,1,5,12,5,6,4,20
la.paz,la paz,>= 60,0,1,0,3,4,2,2,13,31,10,19,6,20,20,44,16,38,37,104
la.paz,mapiri,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
la.paz,mapiri,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
la.paz,mecapaca,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
la.paz,mocomoco,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
la.paz,palca,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
la.paz,patacamaya,50-59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
la.paz,patacamaya,>= 60,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,2
la.paz,pucarani,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
la.paz,pucarani,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1
la.paz,puerto acosta,40-49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
la.paz,puerto acosta,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
la.paz,puerto carabuco,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
la.paz,quime,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
la.paz,quime,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
la.paz,san buena ventura,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
la.paz,san buena ventura,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
la.paz,san buena ventura,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
la.paz,san pedro de tiquina,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
la.paz,sapahaqui,20-39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
la.paz,sapahaqui,40-49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
la.paz,sapahaqui,50-59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,sapahaqui,>= 60,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
la.paz,viacha,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
la.paz,viacha,50-59,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,3,1
la.paz,viacha,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,2,3
la.paz,waldo ballivian,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
cochabamba,aiquile,50-59,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
cochabamba,aiquile,>= 60,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
cochabamba,anzaldo,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
cochabamba,arani,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
cochabamba,arbieto,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cochabamba,arbieto,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0
cochabamba,arque,>= 60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,ayopaya (v. de independencia),>= 60,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0
cochabamba,capinota,50-59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cochabamba,capinota,>= 60,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
cochabamba,chimore,0-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cochabamba,chimore,40-49,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
cochabamba,chimore,50-59,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
cochabamba,chimore,>= 60,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0
cochabamba,cliza,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cochabamba,cliza,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
cochabamba,cliza,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cochabamba,cocapata,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cochabamba,cochabamba,0-19,0,0,0,0,0,0,2,4,2,0,3,0,0,3,0,0,0,0,0
cochabamba,cochabamba,20-39,0,0,0,0,0,4,5,3,12,2,10,2,4,1,1,0,3,0,3
cochabamba,cochabamba,40-49,0,0,0,0,3,5,12,4,33,5,26,3,9,2,0,1,1,1,2
cochabamba,cochabamba,50-59,0,0,0,0,4,9,27,26,74,16,40,9,15,3,2,0,1,1,1
cochabamba,cochabamba,>= 60,0,1,3,4,9,24,44,88,218,84,194,21,79,12,20,4,7,4,7
cochabamba,colcapirhua,20-39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cochabamba,colcapirhua,40-49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cochabamba,colcapirhua,50-59,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
cochabamba,colcapirhua,>= 60,0,0,0,0,0,1,2,5,4,2,2,0,0,1,0,1,0,0,0
cochabamba,colomi,>= 60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cochabamba,cuchumuela (v. g. villarroel),20-39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cochabamba,cuchumuela (v. g. villarroel),>= 60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,entre rios cbba,20-39,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
cochabamba,entre rios cbba,40-49,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
cochabamba,entre rios cbba,50-59,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,0,0,0
cochabamba,entre rios cbba,>= 60,0,0,0,1,3,4,0,0,0,11,15,0,0,0,0,0,0,0,0
cochabamba,morochata,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cochabamba,pocona,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
cochabamba,pojo (cbba),50-59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cochabamba,pojo (cbba),>= 60,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
cochabamba,puerto villarroel,0-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cochabamba,puerto villarroel,20-39,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
cochabamba,puerto villarroel,40-49,0,0,0,0,0,0,0,0,0,1,4,0,2,1,1,0,1,0,0
cochabamba,puerto villarroel,50-59,0,0,0,0,0,0,1,0,0,1,3,1,4,0,2,0,0,0,0
cochabamba,puerto villarroel,>= 60,0,0,0,0,0,0,0,2,0,3,4,3,7,2,2,0,0,0,0
cochabamba,punata,20-39,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
cochabamba,punata,40-49,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
cochabamba,punata,50-59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cochabamba,punata,>= 60,0,0,0,0,0,0,0,3,10,3,2,1,5,0,2,1,0,0,0
cochabamba,quillacollo,20-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
cochabamba,quillacollo,40-49,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,1,0,0,0
cochabamba,quillacollo,50-59,0,0,0,0,0,0,0,2,8,0,0,2,8,0,1,0,0,0,0
cochabamba,quillacollo,>= 60,0,0,0,0,0,0,0,2,18,0,0,8,21,0,2,0,1,0,0
cochabamba,sacaba,0-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
cochabamba,sacaba,20-39,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0
cochabamba,sacaba,40-49,0,0,0,0,0,0,0,2,11,1,7,1,2,0,0,0,0,0,0
cochabamba,sacaba,50-59,0,0,0,0,1,0,0,9,19,4,18,0,2,0,0,0,0,0,0
cochabamba,sacaba,>= 60,0,0,0,0,3,0,1,14,44,9,35,3,2,0,0,0,0,0,0
cochabamba,san benito,20-39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
cochabamba,san benito,50-59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,san benito,>= 60,0,0,0,1,0,0,0,1,3,0,0,0,0,2,2,0,1,0,0
cochabamba,santivanes,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cochabamba,santivanes,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cochabamba,shinaota,0-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cochabamba,shinaota,40-49,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
cochabamba,shinaota,50-59,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0
cochabamba,shinaota,>= 60,0,0,0,0,0,0,0,6,11,0,0,0,0,0,3,0,0,0,0
cochabamba,sipe sipe,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
cochabamba,sipe sipe,>= 60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1
cochabamba,tarata,20-39,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
cochabamba,tarata,40-49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cochabamba,tarata,>= 60,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0
cochabamba,tiquipaya,40-49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
cochabamba,tiquipaya,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cochabamba,tiquipaya,>= 60,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,1,0,0
cochabamba,tiraque (cbba),40-49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cochabamba,toco,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cochabamba,tolata,>= 60,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0
cochabamba,totora(cbba),20-39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cochabamba,totora(cbba),>= 60,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0
cochabamba,vacas,>= 60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
cochabamba,vila vila,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cochabamba,villa rivero,50-59,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
cochabamba,villa tunari,0-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cochabamba,villa tunari,20-39,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
cochabamba,villa tunari,40-49,0,0,0,0,0,1,1,0,1,0,0,2,1,0,1,0,0,0,0
cochabamba,villa tunari,50-59,0,0,0,0,0,3,1,0,5,0,6,1,0,0,1,0,0,0,0
cochabamba,villa tunari,>= 60,0,0,0,0,0,0,1,5,8,3,4,0,0,0,6,0,0,0,0
cochabamba,vinto,20-39,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cochabamba,vinto,40-49,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
cochabamba,vinto,50-59,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
cochabamba,vinto,>= 60,0,0,0,0,0,0,0,2,11,2,2,1,1,0,0,0,0,0,0
oruro,antequera,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oruro,caracollo,>= 60,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,1,0,0
oruro,challapata,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
oruro,challapata,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
oruro,corque,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oruro,curahuara de carangas,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
oruro,eucaliptus,40-49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oruro,eucaliptus,50-59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oruro,huachacalla,20-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oruro,huachacalla,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
oruro,huanuni,0-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oruro,huanuni,20-39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
oruro,huanuni,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
oruro,oruro,0-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
oruro,oruro,20-39,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,2,1,0,0
oruro,oruro,40-49,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,0,0,0,0
oruro,oruro,50-59,0,0,0,0,1,0,0,0,0,0,1,0,1,5,17,1,6,1,3
oruro,oruro,>= 60,0,0,0,1,1,0,0,0,0,0,2,0,2,12,30,2,9,5,10
oruro,poopo,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oruro,poopo,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oruro,soracachi,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oruro,soracachi,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
potosi,atocha,20-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
potosi,atocha,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
potosi,betanzos,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
potosi,chayanta,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
potosi,chuquihuta ayllu jucumani,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
potosi,"colcha ""k""",40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
potosi,"colcha ""k""",>= 60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
potosi,llallagua,20-39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
potosi,llallagua,40-49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
potosi,llallagua,50-59,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
potosi,llallagua,>= 60,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0
potosi,ocuri,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
potosi,pocoata,20-39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
potosi,pocoata,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
potosi,porco,0-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
potosi,potosi,0-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
potosi,potosi,20-39,0,0,0,0,0,0,0,0,0,0,0,6,3,1,5,2,1,0,0
potosi,potosi,40-49,0,0,0,0,0,0,0,0,0,0,0,2,9,7,9,4,3,0,0
potosi,potosi,50-59,0,0,0,0,0,0,0,0,0,0,0,4,8,5,13,2,1,0,0
potosi,potosi,>= 60,0,1,0,0,0,0,0,0,0,0,0,14,25,13,28,1,9,4,2
potosi,puna,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
potosi,puna,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
potosi,tahua,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
