,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15
85,,,,,,,,,,,,0.0,29.0,47.5,23.5,8.75,0.0,9.25,20.5,29.75,45.25,32.25,63.5,12.25,12.5,13.0,29.75,0.0,24.25,18.0,23.25,6.5,0.0,15.25,15.25,0.0,0.0,14.75,0.0,0.0,0.0,14.5,21.0,24.5,17.25,0.0,0.0,5.75,0.0,17.0,10.25,16.75,38.5,0.0,8.25,23.5,0.0,26.25,16.5,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,10.25,10.25,33.75,22.0,10.75,0.0,10.5,56.0,21.5,35.25,25.25,64.75,39.75,0.0,27.5,11.0,0.0,29.75,18.75,52.0,9.5,0.0,47.0,19.75,0.0,0.0,8.25,0.0,0.0,0.0,8.0,22.0,12.25,19.0,0.0,0.0,35.0,0.0,0.0,10.75,16.0,46.75,0.0,16.75,8.5,0.0,43.75,18.5,8.25,10.25,0.0,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,0.0,31.5,0.0,68.0,10.25,0.0,17.25,8.0,92.0,36.0,47.25,0.0,14.25,0.0,0.0,0.0,31.5,39.25,7.25,25.5,28.0,0.0,0.0,0.0,19.0,17.0,17.0,0.0,7.0,0.0,0.0,0.0,28.75,17.5,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,19.75,0.0,0.0,10.25,36.25,0.0,7.0,16.25,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,0.0,22.5,0.0,56.0,10.25,0.0,10.0,0.0,87.75,26.25,52.5,0.0,14.25,0.0,0.0,0.0,31.5,31.75,0.0,29.25,32.0,11.25,0.0,0.0,10.5,9.75,17.0,0.0,10.75,0.0,0.0,0.0,28.75,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,0.0,0.0,35.25,28.75,10.75,0.0,20.25,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,32.25,0.0,74.5,10.25,0.0,10.0,21.25,87.25,37.25,27.5,0.0,14.25,0.0,24.25,0.0,21.75,49.5,18.0,20.25,22.25,11.25,0.0,0.0,0.0,9.75,8.75,0.0,27.25,0.0,0.0,0.0,53.75,21.5,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,53.75,36.0,10.75,0.0,36.75,0.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,10.25,16.0,16.75,6.25,0.0,6.25,45.75,21.5,52.75,11.25,75.0,24.25,0.0,20.75,11.0,0.0,21.0,8.5,52.0,9.5,0.0,42.75,9.0,0.0,0.0,8.25,0.0,0.0,0.0,8.0,9.5,12.25,8.25,0.0,0.0,24.75,0.0,6.5,18.0,21.5,25.75,0.0,16.75,8.5,0.0,45.5,8.25,8.25,0.0,0.0,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,8.75,67.0,44.75,7.5,0.0,18.5,55.25,32.75,68.25,15.0,48.25,0.0,37.0,24.75,20.25,0.0,27.5,0.0,37.5,0.0,0.0,37.5,7.25,0.0,0.0,29.25,0.0,0.0,0.0,8.0,0.0,10.25,25.25,0.0,0.0,34.25,0.0,7.25,23.5,17.5,42.75,0.0,34.75,27.0,0.0,25.0,42.75,7.25,10.75,0.0,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,25.0,11.0,81.75,15.75,10.25,0.0,18.25,10.0,35.25,33.25,0.0,13.5,37.25,10.75,13.0,8.0,7.75,15.5,27.5,0.0,15.75,0.0,0.0,9.0,7.25,16.75,10.75,7.25,0.0,0.0,0.0,0.0,42.25,9.75,16.5,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,7.75,8.5,17.75,29.0,7.0,0.0,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,23.25,0.0,39.5,25.0,0.0,17.75,8.0,74.0,24.25,45.0,0.0,34.0,24.75,25.0,0.0,13.0,41.25,11.25,28.25,13.0,0.0,0.0,0.0,0.0,21.75,6.0,0.0,4.75,0.0,0.0,0.0,0.0,36.25,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,0.0,0.0,24.25,0.0,0.0,22.25,40.5,0.0,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,25.0,0.0,43.0,19.75,0.0,20.0,11.75,24.75,37.25,86.5,0.0,13.75,13.25,52.25,0.0,30.75,49.0,10.5,9.25,0.0,0.0,0.0,0.0,22.25,0.0,19.0,0.0,0.0,0.0,0.0,0.0,27.75,19.75,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,40.25,9.0,29.0,0.0,9.75,0.0,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,26.0,0.0,35.75,22.25,0.0,11.75,0.0,58.0,44.75,15.5,0.0,19.0,16.25,0.0,0.0,14.5,50.0,26.25,9.0,0.0,24.25,0.0,0.0,0.0,13.5,33.0,0.0,32.75,0.0,0.0,0.0,32.5,56.75,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,39.0,34.25,25.0,9.75,56.75,0.0,32.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,7.5,37.75,14.25,16.0,0.0,16.25,43.25,27.5,100.0,8.5,46.25,8.75,20.5,21.5,19.25,0.0,39.25,6.25,35.75,16.0,0.0,22.5,0.0,0.0,0.0,21.75,0.0,0.0,0.0,8.5,10.25,21.75,15.0,0.0,0.0,0.0,0.0,9.25,35.5,8.25,18.75,0.0,20.5,6.25,0.0,35.25,14.75,0.0,8.75,0.0,15.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,11.5,0.0,25.0,9.75,0.0,16.25,7.5,93.5,36.5,31.25,0.0,13.5,14.5,36.0,0.0,6.75,14.25,9.5,0.0,6.75,6.5,0.0,0.0,7.5,0.0,12.75,0.0,21.25,0.0,0.0,0.0,13.75,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,24.0,6.75,25.0,22.5,22.5,0.0,32.75,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,32.75,21.0,51.75,0.0,0.0,13.0,32.0,49.0,65.75,28.5,36.5,0.0,29.75,0.0,25.0,0.0,18.0,12.5,52.75,18.75,0.0,42.25,0.0,0.0,0.0,12.25,0.0,0.0,0.0,7.75,0.0,12.0,19.0,0.0,0.0,19.5,0.0,8.5,26.5,26.0,34.75,0.0,9.0,18.25,0.0,30.75,19.0,33.25,9.25,0.0,9.0,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,0.0,27.5,10.25,0.0,9.5,7.25,100.0,34.25,26.0,0.0,14.75,8.25,13.25,0.0,26.75,56.0,16.0,0.0,0.0,6.5,0.0,0.0,7.0,0.0,8.75,0.0,18.25,0.0,0.0,0.0,36.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,10.75,24.25,25.0,19.0,15.0,0.0,17.75,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,0.0,48.25,6.25,0.0,13.0,32.0,44.75,58.0,37.0,36.75,8.5,25.25,0.0,25.0,0.0,8.5,12.5,66.0,9.0,0.0,42.25,6.75,0.0,0.0,12.25,0.0,0.0,0.0,7.75,7.25,20.75,19.0,0.0,0.0,19.5,0.0,8.5,15.25,26.0,22.25,0.0,0.0,8.75,0.0,37.0,25.25,33.25,0.0,0.0,6.0,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,45.5,13.75,11.0,0.0,0.0,10.5,46.75,12.5,17.5,62.75,24.75,0.0,12.0,0.0,0.0,8.5,28.25,38.25,0.0,0.0,8.75,22.75,0.0,0.0,10.75,0.0,0.0,0.0,0.0,25.25,30.0,0.0,0.0,0.0,18.0,0.0,0.0,10.25,22.25,64.75,0.0,8.25,33.5,0.0,23.0,8.25,0.0,0.0,0.0,17.5,51.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,0.0,74.0,9.5,0.0,0.0,11.75,75.75,12.75,50.25,0.0,0.0,26.5,28.75,0.0,31.25,30.25,10.0,9.25,10.25,11.75,0.0,0.0,33.5,9.0,8.5,0.0,9.0,0.0,0.0,0.0,40.75,49.5,0.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,21.25,0.0,19.0,0.0,18.25,0.0,17.5,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,31.0,49.75,8.75,0.0,8.75,57.5,38.75,39.25,0.0,30.5,15.0,15.0,29.5,0.0,0.0,28.75,10.5,19.25,0.0,0.0,30.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,19.0,22.25,41.25,11.0,0.0,0.0,0.0,0.0,10.75,23.25,10.25,60.75,0.0,18.25,21.5,0.0,10.75,17.5,22.0,21.25,0.0,0.0,35.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,51.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,33.25,0.0,31.75,34.5,17.0,51.0,45.0,0.0,60.5,0.0,0.0,0.0,23.25,0.0,13.0,22.0,47.5,0.0,35.0,0.0,0.0,0.0,0.0,34.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,12.0,0.0,11.5,0.0,45.5,56.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,22.0,0.0,0.0,10.25,11.75,13.0,25.0,13.25,52.25,26.75,13.25,26.0,23.75,0.0,18.25,9.5,40.0,10.25,0.0,20.75,20.25,0.0,0.0,9.5,0.0,0.0,0.0,27.75,34.0,14.5,0.0,0.0,0.0,28.5,0.0,10.75,11.25,28.75,38.5,0.0,18.75,19.0,0.0,29.5,29.75,9.5,0.0,0.0,19.25,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
