,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16
60,,,,,,,,,58.75,0.0,20.5,27.0,30.5,6.75,0.0,37.75,0.0,31.75,12.25,34.0,81.75,0.0,49.75,59.5,69.0,0.0,20.25,0.0,9.25,43.75,9.25,10.0,0.0,10.25,6.75,0.0,0.0,0.0,0.0,0.0,16.0,0.0,22.0,0.0,7.0,45.5,0.0,9.25,0.0,0.0,38.0,7.0,9.5,0.0,31.25,16.25,23.25,9.25,45.75,33.25,,,,
61,,,,,,,,,,15.5,0.0,0.0,33.75,0.0,0.0,0.0,7.0,33.75,50.5,37.0,44.5,41.25,47.0,48.5,87.0,65.75,0.0,10.25,19.75,0.0,22.75,17.0,22.5,17.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,32.0,29.0,71.75,0.0,30.75,0.0,37.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,17.75,,,,
62,,,,,,,,,,0.0,17.75,16.0,23.75,9.25,0.0,17.0,0.0,6.75,0.0,67.5,91.25,11.75,37.75,24.75,53.75,0.0,18.5,0.0,20.5,40.5,6.0,6.5,0.0,6.5,13.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,29.25,24.0,41.25,22.5,14.75,22.5,0.0,0.0,16.75,0.0,20.0,0.0,32.25,9.25,16.0,0.0,16.75,22.25,,,,
63,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,25.25,30.5,23.75,34.25,32.5,97.25,33.25,32.75,40.0,0.0,6.5,11.75,0.0,6.25,19.0,11.75,6.25,0.0,0.0,11.75,0.0,0.0,0.0,0.0,6.0,21.75,19.5,6.5,18.25,28.25,12.25,7.0,0.0,14.5,6.25,0.0,0.0,23.25,0.0,0.0,6.0,0.0,6.25,12.0,,,
64,,,,,,,,,,0.0,18.25,16.5,16.75,16.75,0.0,37.0,0.0,44.25,20.5,33.75,87.25,33.5,37.75,42.25,80.0,0.0,23.75,0.0,12.75,26.75,15.75,10.0,0.0,35.25,34.75,0.0,0.0,0.0,0.0,0.0,19.5,10.0,24.25,30.5,39.75,42.0,9.0,9.75,0.0,0.0,7.75,0.0,53.0,0.0,6.25,36.75,19.25,9.25,26.5,0.0,35.25,,,
65,,,,,,,,,,0.0,0.0,18.5,9.75,18.25,0.0,32.0,0.0,40.75,0.0,57.25,87.25,36.25,56.25,57.25,35.75,0.0,11.0,0.0,34.25,58.25,0.0,9.0,0.0,0.0,24.75,0.0,0.0,0.0,0.0,0.0,6.25,7.0,0.0,0.0,9.0,33.75,8.75,8.75,0.0,0.0,11.5,9.25,18.25,0.0,28.75,19.5,42.75,24.5,27.5,48.0,39.0,,,
66,,,,,,,,,,,10.25,28.75,29.75,28.0,0.0,18.0,0.0,19.0,0.0,37.75,96.5,12.0,60.5,58.25,23.5,0.0,21.75,0.0,35.25,34.25,0.0,9.0,0.0,0.0,37.25,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,9.0,53.0,8.75,18.0,0.0,0.0,47.5,9.25,28.25,0.0,17.0,31.0,32.75,27.25,28.5,37.25,18.25,,,
67,,,,,,,,,,,0.0,0.0,20.5,0.0,0.0,0.0,11.5,19.5,16.25,27.0,14.5,36.5,48.5,68.5,36.75,45.5,0.0,22.25,8.75,0.0,20.0,5.0,6.75,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,34.5,4.75,4.5,16.5,11.25,0.0,0.0,5.5,6.5,0.0,0.0,14.75,0.0,0.0,18.25,0.0,9.5,4.5,,,
68,,,,,,,,,,,6.5,9.75,3.5,3.0,0.0,24.0,0.0,17.75,0.0,30.75,37.0,8.5,25.5,12.5,22.25,0.0,10.5,0.0,9.25,22.25,3.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,6.25,8.5,26.5,26.5,16.5,3.25,3.0,0.0,0.0,27.5,0.0,10.25,0.0,28.0,6.5,39.5,6.5,17.5,10.25,12.25,,,
69,,,,,,,,,,,0.0,0.0,12.75,0.0,0.0,0.0,12.5,35.25,25.0,31.0,51.75,34.0,91.5,50.5,52.5,42.5,0.0,6.25,3.75,0.0,37.25,10.5,10.5,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,13.75,27.0,21.0,13.5,6.0,23.0,6.0,26.75,0.0,31.0,20.0,0.0,0.0,27.5,0.0,0.0,13.25,0.0,13.25,10.25,6.0,,
