,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14
0,10.75,0.0,55.0,79.0,20.5,4.75,73.25,54.25,50.25,34.75,15.25,19.25,63.25,82.75,53.0,64.75,58.75,56.5,60.75,56.0,56.75,53.0,59.75,33.25,15.0,32.5,7.0,45.5,12.25,22.5,18.0,23.0,0.0,10.0,10.5,22.25,19.5,9.0,14.25,14.0,0.0,5.0,29.5,44.75,13.25,38.0,41.0,40.0,37.5,25.25,38.5
1,0.0,0.0,44.5,27.0,31.25,41.0,25.25,20.75,40.0,28.5,40.0,53.75,48.5,36.75,43.0,79.5,71.75,42.25,33.75,44.0,53.5,62.5,34.0,59.5,33.75,61.5,16.5,19.5,27.5,31.0,19.0,10.0,5.75,30.0,0.0,6.0,9.5,20.5,24.0,4.25,16.0,31.0,6.25,9.5,27.25,26.5,14.5,33.5,18.25,22.5,55.75
2,22.25,0.0,63.0,54.5,13.5,4.5,28.0,53.0,45.0,44.25,17.25,13.0,71.75,54.0,53.75,79.5,45.0,36.5,58.75,66.25,52.5,47.25,48.75,51.75,22.25,29.25,18.75,35.0,4.0,13.0,15.25,35.5,0.0,3.5,3.5,33.75,16.25,9.0,33.0,4.5,0.0,8.75,30.25,12.75,25.25,34.25,46.25,36.0,34.25,12.25,27.75
3,10.25,0.0,62.0,93.0,9.25,29.25,46.25,42.0,39.5,16.5,25.75,8.0,48.5,56.5,49.0,79.5,55.0,48.0,60.5,47.5,37.75,34.75,50.25,22.25,23.5,26.5,17.25,35.75,7.5,11.5,6.5,19.25,0.0,4.25,0.0,30.0,22.75,7.5,15.0,0.0,0.0,7.5,25.75,27.25,23.5,43.0,38.75,20.0,23.25,23.5,31.75
4,12.5,0.0,75.75,38.0,26.0,0.0,20.25,37.25,51.25,27.75,25.25,51.5,59.75,68.75,38.75,68.75,52.75,47.25,64.0,41.0,43.75,70.5,62.75,60.0,22.75,60.75,25.0,10.0,25.75,25.0,5.75,10.5,7.25,35.5,9.75,0.0,15.25,5.75,11.0,9.25,0.0,5.5,27.0,15.0,35.25,47.5,69.5,28.25,62.0,10.25,34.0
5,6.5,0.0,37.75,38.0,15.5,22.75,54.5,68.75,42.75,23.75,24.0,23.25,63.25,46.0,17.5,72.5,35.75,50.25,52.0,69.25,55.5,52.5,50.75,37.25,24.5,52.25,8.75,47.75,13.25,22.0,12.0,45.75,0.0,5.25,4.75,21.75,13.0,8.0,7.0,0.0,0.0,9.25,16.5,26.25,36.0,38.0,42.25,27.0,41.75,21.75,20.5
6,0.0,0.0,43.0,17.0,11.5,16.5,29.0,48.75,29.5,19.5,39.25,43.0,39.0,48.0,27.75,29.25,47.0,43.75,44.75,36.75,49.25,43.0,45.75,51.25,33.0,33.75,24.5,18.25,30.25,12.25,6.0,14.25,12.0,13.25,4.25,20.5,14.5,13.5,7.25,6.5,0.0,19.5,12.0,19.5,17.5,20.0,41.75,21.25,26.5,15.0,22.75
7,0.0,0.0,35.25,34.75,26.5,35.75,14.5,32.25,40.75,15.5,52.75,40.25,61.0,44.0,56.25,48.75,55.0,53.25,49.25,64.0,50.25,39.25,17.5,64.0,35.75,13.0,28.5,18.75,19.0,21.75,26.25,12.5,14.75,25.0,0.0,16.5,0.0,11.75,20.5,0.0,20.25,6.0,14.25,11.0,14.5,38.5,14.75,6.25,12.5,26.5,38.5
8,0.0,0.0,50.0,42.5,31.0,10.0,27.5,65.0,26.5,16.75,28.75,28.75,35.75,42.0,52.0,76.0,35.75,26.25,63.25,50.25,47.5,17.25,57.5,39.75,30.5,24.5,10.75,35.5,21.0,3.75,17.25,11.75,0.0,23.0,4.25,21.0,22.75,3.5,29.25,0.0,3.75,14.75,17.0,10.0,26.0,11.5,24.0,7.5,37.75,14.5,38.25
