,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30
109,,,,,,,,,,,,,,,25.25,0.0,16.5,10.25,0.0,24.25,15.75,5.0,40.75,0.0,0.0,5.0,11.0,15.75,20.75,15.25,5.5,0.0,6.75,0.0,29.25,7.0,0.0,0.0,26.5,5.25,0.0,21.0,27.0,7.25,45.5,34.75,21.25,23.5,51.5,15.5,12.5,16.25,0.0,18.25,59.5,27.25,69.75,48.0,22.0,48.5,14.75,24.0,46.5,10.0,35.5,22.25
110,,,,,,,,,,,,,,,21.5,23.75,35.0,3.5,9.25,9.25,36.75,15.5,18.75,9.5,23.0,10.75,5.0,0.0,19.5,4.75,0.0,33.25,44.75,12.0,10.0,0.0,28.25,20.0,0.0,0.0,0.0,15.5,25.5,17.0,27.5,26.25,10.25,10.5,28.5,5.25,31.5,26.25,22.5,9.5,9.25,37.0,33.5,74.75,76.0,22.75,17.25,14.75,23.75,59.25,4.0,15.0
111,,,,,,,,,,,,,,,24.75,40.0,23.0,19.0,11.75,15.5,3.25,17.5,21.75,11.25,16.25,17.75,11.25,13.5,36.75,18.75,17.5,33.75,11.0,13.0,9.25,0.0,0.0,14.0,8.25,0.0,0.0,12.0,4.25,32.75,19.25,20.25,6.5,24.25,6.5,15.0,20.75,6.25,34.0,46.0,24.5,51.0,48.0,52.25,45.0,43.5,27.5,32.75,10.25,0.0,9.25,0.0
112,,,,,,,,,,,,,,,,0.0,8.25,10.25,0.0,29.5,21.5,7.75,41.25,0.0,0.0,5.0,8.5,21.5,20.75,9.5,0.0,0.0,3.5,0.0,17.0,7.0,0.0,0.0,15.75,5.25,0.0,9.75,23.75,7.25,36.5,26.25,15.25,23.75,48.75,18.5,16.0,16.25,0.0,9.25,37.75,30.75,55.25,41.25,14.75,49.5,18.75,19.75,50.5,13.25,26.5,14.0
113,,,,,,,,,,,,,,,,32.0,32.0,16.75,6.5,13.25,3.25,16.0,23.25,11.75,24.75,19.25,5.25,10.5,38.5,12.25,18.0,29.25,12.75,21.25,5.75,0.0,4.0,21.5,9.0,0.0,0.0,16.5,4.25,39.5,17.25,17.75,7.75,15.0,7.5,13.0,25.5,0.0,29.0,51.5,19.25,50.5,36.75,66.0,53.75,43.25,29.25,33.5,19.25,8.25,9.75,3.75
114,,,,,,,,,,,,,,,,0.0,16.0,15.75,0.0,20.75,27.0,15.25,46.75,0.0,0.0,5.75,14.5,20.75,17.75,16.0,11.0,0.0,45.25,0.0,6.5,0.0,6.5,0.0,10.75,11.75,0.0,15.5,13.5,15.0,37.0,18.5,11.5,16.5,45.5,17.25,44.25,17.5,0.0,11.5,51.75,28.0,48.5,56.5,53.25,56.75,13.75,8.25,19.0,11.25,11.25,11.25
115,,,,,,,,,,,,,,,,0.0,11.75,15.5,0.0,26.0,16.75,11.0,41.25,0.0,0.0,11.0,21.0,16.25,16.0,23.25,11.5,0.0,33.25,0.0,25.0,6.25,11.75,0.0,5.25,5.25,0.0,16.5,22.0,16.0,36.0,52.75,23.75,11.0,56.75,11.75,38.0,12.0,0.0,47.5,73.5,21.25,78.5,43.75,43.75,63.0,29.25,0.0,27.0,11.75,24.0,11.0
116,,,,,,,,,,,,,,,,22.0,2.5,14.5,4.5,7.25,0.0,10.0,9.5,22.25,5.0,10.25,2.5,2.5,20.25,10.5,12.25,5.0,8.75,11.25,2.75,3.25,0.0,5.25,18.25,0.0,2.5,0.0,6.75,10.5,8.0,8.0,8.0,22.0,5.25,10.75,11.75,2.5,15.0,16.5,19.5,12.25,36.25,33.0,27.5,21.25,6.75,17.0,15.25,0.0,8.5,0.0
117,,,,,,,,,,,,,,,,0.0,11.75,15.5,0.0,26.25,16.75,11.0,40.75,0.0,0.0,11.0,21.0,16.25,16.5,23.25,11.5,0.0,33.5,0.0,25.0,6.25,11.75,0.0,5.25,5.25,0.0,16.5,21.75,16.0,36.25,53.0,23.5,11.0,57.0,11.75,38.0,12.0,0.0,47.75,73.75,20.75,78.25,44.5,45.0,62.75,29.25,0.0,27.25,11.75,24.0,11.25
118,,,,,,,,,,,,,,,,24.75,11.75,17.0,9.0,6.5,10.0,23.75,10.75,21.0,18.25,22.25,3.0,7.75,28.25,7.0,11.0,25.25,5.5,10.25,10.25,4.5,0.0,7.75,27.0,0.0,3.0,15.0,0.0,36.0,18.5,10.25,3.25,14.25,12.25,10.25,21.25,8.0,35.25,28.25,27.0,36.0,39.0,86.5,32.0,26.5,0.0,32.0,16.75,0.0,11.75,0.0
119,,,,,,,,,,,,,,,,0.0,18.75,0.0,0.0,10.0,21.25,17.25,49.25,0.0,0.0,11.25,6.5,28.25,23.5,11.5,11.5,0.0,21.25,0.0,16.5,11.5,0.0,0.0,10.5,12.5,0.0,21.5,14.5,15.5,47.0,46.0,29.75,13.0,53.0,24.0,39.0,4.5,0.0,20.75,77.5,15.75,37.75,60.5,63.25,58.5,52.0,6.0,58.5,6.75,0.0,22.75
