name_0,name_1,name_2,name_3,population,gid_0,gid_1,gid_2,gid_3
Argentina,Buenos Aires,Tres Lomas,,10185,ARG,ARG.1_1,ARG.1.123_1,
Argentina,Buenos Aires,Tres de Febrero,,364329,ARG,ARG.1_1,ARG.1.122_1,
Argentina,Buenos Aires,Veinticinco de Mayo,,36884,ARG,ARG.1_1,ARG.1.124_1,
Argentina,Buenos Aires,Vicente López,,304303,ARG,ARG.1_1,ARG.1.125_1,
Argentina,Buenos Aires,Villa Gesell,,37892,ARG,ARG.1_1,ARG.1.126_1,
Argentina,Buenos Aires,Villarino,,35964,ARG,ARG.1_1,ARG.1.127_1,
Argentina,Buenos Aires,Zárate,,131435,ARG,ARG.1_1,ARG.1.128_1,
Argentina,Catamarca,Ambato,,4198,ARG,ARG.2_1,ARG.2.1_1,
Argentina,Catamarca,Ancasti,,3385,ARG,ARG.2_1,ARG.2.2_1,
Argentina,Catamarca,Andalgalá,,19208,ARG,ARG.2_1,ARG.2.3_1,
Argentina,Catamarca,Antofagasta de la Sierra,,1832,ARG,ARG.2_1,ARG.2.4_1,
Argentina,Catamarca,Belén,,30755,ARG,ARG.2_1,ARG.2.5_1,
Argentina,Catamarca,Capayán,,19894,ARG,ARG.2_1,ARG.2.6_1,
Argentina,Catamarca,Capital,,184090,ARG,ARG.2_1,ARG.2.7_1,
Argentina,Catamarca,El Alto,,4692,ARG,ARG.2_1,ARG.2.8_1,
Argentina,Catamarca,Fray Mamerto Esquiú,,7313,ARG,ARG.2_1,ARG.2.9_1,
Argentina,Catamarca,La Paz,,23259,ARG,ARG.2_1,ARG.2.10_1,
Argentina,Catamarca,Paclín,,4293,ARG,ARG.2_1,ARG.2.11_1,
Argentina,Catamarca,Pomán,,12009,ARG,ARG.2_1,ARG.2.12_1,
Argentina,Catamarca,Santa María,,22827,ARG,ARG.2_1,ARG.2.13_1,
Argentina,Catamarca,Santa Rosa,,13052,ARG,ARG.2_1,ARG.2.14_1,
Argentina,Catamarca,Tinogasta,,22201,ARG,ARG.2_1,ARG.2.15_1,
Argentina,Catamarca,Valle Viejo,,36247,ARG,ARG.2_1,ARG.2.16_1,
Argentina,Chaco,Almirante Brown,,39882,ARG,ARG.3_1,ARG.3.1_1,
Argentina,Chaco,Bermejo,,26266,ARG,ARG.3_1,ARG.3.2_1,
Argentina,Chaco,Chacabuco,,33402,ARG,ARG.3_1,ARG.3.3_1,
Argentina,Chaco,Comandante Fernández,,107777,ARG,ARG.3_1,ARG.3.4_1,
Argentina,Chaco,Doce de Octubre,,31563,ARG,ARG.3_1,ARG.3.5_1,
Argentina,Chaco,Fray Justo Santa María de Oro,,14662,ARG,ARG.3_1,ARG.3.6_1,
Argentina,Chaco,General Belgrano,,13939,ARG,ARG.3_1,ARG.3.7_1,
Argentina,Chaco,General Donovan,,13849,ARG,ARG.3_1,ARG.3.8_1,
Argentina,Chaco,General Güemes,,72869,ARG,ARG.3_1,ARG.3.9_1,
Argentina,Chaco,Independencia,,24135,ARG,ARG.3_1,ARG.3.10_1,
Argentina,Chaco,Libertad,,12272,ARG,ARG.3_1,ARG.3.11_1,
Argentina,Chaco,Libertador General San Martín,,66457,ARG,ARG.3_1,ARG.3.12_1,
Argentina,Chaco,Maipú,,25672,ARG,ARG.3_1,ARG.3.13_1,
Argentina,Chaco,Mayor Luis J. Fontana,,57195,ARG,ARG.3_1,ARG.3.14_1,
Argentina,Chaco,Nueve de Julio,,30573,ARG,ARG.3_1,ARG.3.15_1,
Argentina,Chaco,O'Higgins,,21185,ARG,ARG.3_1,ARG.3.16_1,
Argentina,Chaco,Presidencia de la Plaza,,13176,ARG,ARG.3_1,ARG.3.17_1,
Argentina,Chaco,Primero de Mayo,,12980,ARG,ARG.3_1,ARG.3.18_1,
Argentina,Chaco,Quitilipi,,35596,ARG,ARG.3_1,ARG.3.19_1,
Argentina,Chaco,San Fernando,,421485,ARG,ARG.3_1,ARG.3.20_1,
Argentina,Chaco,San Lorenzo,,15382,ARG,ARG.3_1,ARG.3.21_1,
Argentina,Chaco,Sargento Cabral,,16966,ARG,ARG.3_1,ARG.3.22_1,
Argentina,Chaco,Tapenagá,,4150,ARG,ARG.3_1,ARG.3.23_1,
Argentina,Chaco,Veinticinco de Mayo,,31264,ARG,ARG.3_1,ARG.3.24_1,
Argentina,Chubut,Biedma,,119848,ARG,ARG.4_1,ARG.4.1_1,
Argentina,Chubut,Cushamen,,27894,ARG,ARG.4_1,ARG.4.2_1,
Argentina,Chubut,Escalante,,244830,ARG,ARG.4_1,ARG.4.3_1,
Argentina,Chubut,Florentino Ameghino,,1730,ARG,ARG.4_1,ARG.4.4_1,
Argentina,Chubut,Futaleufú,,50078,ARG,ARG.4_1,ARG.4.5_1,
Argentina,Chubut,Gaiman,,13035,ARG,ARG.4_1,ARG.4.6_1,
Argentina,Chubut,Gastre,,1353,ARG,ARG.4_1,ARG.4.7_1,
Argentina,Chubut,Languiñeo,,3244,ARG,ARG.4_1,ARG.4.8_1,
Argentina,Chubut,Mártires,,609,ARG,ARG.4_1,ARG.4.9_1,
Argentina,Chubut,Paso de Indios,,1822,ARG,ARG.4_1,ARG.4.10_1,
Argentina,Chubut,Rawson,,149622,ARG,ARG.4_1,ARG.4.11_1,
Argentina,Chubut,Rió Senguer,,5788,ARG,ARG.4_1,ARG.4.12_1,
Argentina,Chubut,Sarmiento,,15362,ARG,ARG.4_1,ARG.4.13_1,
Argentina,Chubut,Tehuelches,,5730,ARG,ARG.4_1,ARG.4.14_1,
Argentina,Chubut,Telsen,,1501,ARG,ARG.4_1,ARG.4.15_1,
Argentina,Ciudad de Buenos Aires,Distrito Federal,,3087889,ARG,ARG.5_1,ARG.5.1_1,
Argentina,Corrientes,Bella Vista,,40292,ARG,ARG.7_1,ARG.7.1_1,
Argentina,Corrientes,Berón de Astrada,,2478,ARG,ARG.7_1,ARG.7.2_1,
Argentina,Corrientes,Capital,,392925,ARG,ARG.7_1,ARG.7.3_1,
Argentina,Corrientes,Concepción,,24540,ARG,ARG.7_1,ARG.7.4_1,
Argentina,Corrientes,Curuzú Cuatiá,,46782,ARG,ARG.7_1,ARG.7.5_1,
Argentina,Corrientes,Empedrado,,16312,ARG,ARG.7_1,ARG.7.6_1,
Argentina,Corrientes,Esquina,,31257,ARG,ARG.7_1,ARG.7.7_1,
Argentina,Corrientes,General Alvear,,7731,ARG,ARG.7_1,ARG.7.8_1,
Argentina,Corrientes,General Paz,,14938,ARG,ARG.7_1,ARG.7.9_1,
Argentina,Corrientes,Goya,,92413,ARG,ARG.7_1,ARG.7.10_1,
Argentina,Corrientes,Itatí,,9322,ARG,ARG.7_1,ARG.7.11_1,
Argentina,Corrientes,Ituzaingó,,31143,ARG,ARG.7_1,ARG.7.12_1,
Argentina,Corrientes,Lavalle,,32382,ARG,ARG.7_1,ARG.7.13_1,
Argentina,Corrientes,Mburucuyá,,9531,ARG,ARG.7_1,ARG.7.14_1,
Argentina,Corrientes,Mercedes,,42643,ARG,ARG.7_1,ARG.7.15_1,
Argentina,Corrientes,Monte Caseros,,37878,ARG,ARG.7_1,ARG.7.16_1,
Argentina,Corrientes,Paso de los Libres,,51263,ARG,ARG.7_1,ARG.7.17_1,
Argentina,Corrientes,Saladas,,22956,ARG,ARG.7_1,ARG.7.18_1,
Argentina,Corrientes,San Cosme,,15963,ARG,ARG.7_1,ARG.7.19_1,
Argentina,Corrientes,San Luis del Palmar,,19228,ARG,ARG.7_1,ARG.7.20_1,
Argentina,Corrientes,San Martín,,14174,ARG,ARG.7_1,ARG.7.21_1,
Argentina,Corrientes,San Miguel,,10753,ARG,ARG.7_1,ARG.7.22_1,
Argentina,Corrientes,San Roque,,17861,ARG,ARG.7_1,ARG.7.23_1,
Argentina,Corrientes,Santo Tomé,,70836,ARG,ARG.7_1,ARG.7.24_1,
Argentina,Corrientes,Sauce,,8891,ARG,ARG.7_1,ARG.7.25_1,
Argentina,Córdoba,Calamuchita,,67946,ARG,ARG.6_1,ARG.6.1_1,
Argentina,Córdoba,Capital,,1361139,ARG,ARG.6_1,ARG.6.2_1,
Argentina,Córdoba,Colón,,316686,ARG,ARG.6_1,ARG.6.3_1,
Argentina,Córdoba,Cruz del Eje,,65663,ARG,ARG.6_1,ARG.6.4_1,
Argentina,Córdoba,General Roca,,38234,ARG,ARG.6_1,ARG.6.5_1,
Argentina,Córdoba,General San Martín,,141027,ARG,ARG.6_1,ARG.6.6_1,
Argentina,Córdoba,Ischilín,,32376,ARG,ARG.6_1,ARG.6.7_1,
Argentina,Córdoba,Juárez Celman,,68271,ARG,ARG.6_1,ARG.6.8_1,
Argentina,Córdoba,Marcos Juárez,,111502,ARG,ARG.6_1,ARG.6.9_1,
Argentina,Córdoba,Minas,,4539,ARG,ARG.6_1,ARG.6.10_1,
Argentina,Córdoba,Pocho,,5828,ARG,ARG.6_1,ARG.6.11_1,
