country,geoName,geo,geoCode
Ecuador,Pastaza Province,EC,EC-Y
Ecuador,Pichincha,EC,EC-P
Ecuador,Provincia de Napo,EC,EC-N
Ecuador,Santa Elena Province,EC,EC-SE
Ecuador,Santo Domingo de los Tsáchilas Province,EC,EC-SD
Ecuador,Sucumbíos Province,EC,EC-U
Ecuador,Tungurahua,EC,EC-T
Ecuador,Zamora-Chinchipe Province,EC,EC-Z
Colombia,Amazonas Department,CO,CO-AMA
Colombia,Antioquia,CO,CO-ANT
Colombia,Arauca,CO,CO-ARA
Colombia,Atlantico,CO,CO-ATL
Colombia,Bogota,CO,CO-DC
Colombia,Bolivar,CO,CO-BOL
Colombia,Boyaca,CO,CO-BOY
Colombia,Caldas,CO,CO-CAL
Colombia,Caquetá,CO,CO-CAQ
Colombia,Casanare,CO,CO-CAS
Colombia,Cauca Department,CO,CO-CAU
Colombia,Cesar,CO,CO-CES
Colombia,Choco,CO,CO-CHO
Colombia,Cordoba,CO,CO-COR
Colombia,Cundinamarca,CO,CO-CUN
Colombia,Guainia,CO,CO-GUA
Colombia,Guaviare,CO,CO-GUV
Colombia,Huila,CO,CO-HUI
Colombia,La Guajira,CO,CO-LAG
Colombia,Magdalena,CO,CO-MAG
Colombia,Meta,CO,CO-MET
Colombia,Narino,CO,CO-NAR
Colombia,North Santander,CO,CO-NSA
Colombia,Putumayo,CO,CO-PUT
Colombia,Quindio,CO,CO-QUI
Colombia,Risaralda,CO,CO-RIS
Colombia,San Andrés and Providencia,CO,CO-SAP
Colombia,Santander Department,CO,CO-SAN
Colombia,Sucre,CO,CO-SUC
Colombia,Tolima,CO,CO-TOL
Colombia,Valle del Cauca,CO,CO-VAC
Colombia,Vaupes,CO,CO-VAU
Colombia,Vichada,CO,CO-VID
Venezuela,Amazonas,VE,VE-Z
Venezuela,Anzoategui,VE,VE-B
Venezuela,Apure,VE,VE-C
Venezuela,Aragua,VE,VE-D
Venezuela,Barinas,VE,VE-E
Venezuela,Bolívar,VE,VE-F
Venezuela,Capital District,VE,VE-A
Venezuela,Carabobo,VE,VE-G
Venezuela,Cojedes,VE,VE-H
Venezuela,Delta Amacuro,VE,VE-Y
Venezuela,Falcón,VE,VE-I
Venezuela,Federal Dependencies,VE,VE-W
Venezuela,Guárico,VE,VE-J
Venezuela,Lara,VE,VE-K
Venezuela,Miranda,VE,VE-M
Venezuela,Monagas,VE,VE-N
Venezuela,Mérida,VE,VE-L
Venezuela,Nueva Esparta,VE,VE-O
Venezuela,Portuguesa,VE,VE-P
Venezuela,Sucre,VE,VE-R
Venezuela,Trujillo,VE,VE-T
Venezuela,Táchira,VE,VE-S
Venezuela,Vargas,VE,VE-X
Venezuela,Yaracuy,VE,VE-U
Venezuela,Zulia,VE,VE-V
Uruguay,Artigas Department,UY,UY-AR
Uruguay,Canelones Department,UY,UY-CA
Uruguay,Cerro Largo Department,UY,UY-CL
Uruguay,Colonia,UY,UY-CO
Uruguay,Durazno Department,UY,UY-DU
Uruguay,Flores Department,UY,UY-FS
Uruguay,Florida Department,UY,UY-FD
Uruguay,Lavalleja Department,UY,UY-LA
Uruguay,Maldonado Department,UY,UY-MA
Uruguay,Montevideo Department,UY,UY-MO
Uruguay,Paysandú Department,UY,UY-PA
Uruguay,Rivera Department,UY,UY-RV
Uruguay,Rocha Department,UY,UY-RO
Uruguay,Río Negro Department,UY,UY-RN
Uruguay,Salto,UY,UY-SA
Uruguay,San José Department,UY,UY-SJ
Uruguay,Soriano Department,UY,UY-SO
Uruguay,Tacuarembó Department,UY,UY-TA
Uruguay,Treinta y Tres Department,UY,UY-TT
