,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.5,0.0,18.75,49.75,0.0,32.5,42.25,28.25,12.75,40.5,11.5,35.5,0.0,0.0,11.0,0.0,11.75,60.0,28.25,23.5,57.0,32.75,35.25,68.25,32.0,51.25,9.25,7.25,23.0,0.0,26.75,8.0,13.5,23.0,0.0,0.0,12.0,0.0,0.0,23.5,23.75,10.0,0.0,12.0,11.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,13.75,6.5,22.75,24.25,0.0,18.75,9.0,22.75,35.75,28.25,0.0,0.0,23.25,21.5,29.75,22.75,0.0,40.75,46.75,60.25,6.5,49.75,0.0,37.25,7.25,23.5,43.75,0.0,36.0,31.75,33.25,45.0,0.0,0.0,8.0,0.0,13.25,0.0,20.0,0.0,39.5,0.0,0.0,0.0,24.75,26.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,47.75,0.0,12.75,0.0,9.0,22.75,52.0,37.0,0.0,0.0,32.5,35.0,32.5,0.0,0.0,65.0,45.25,35.5,0.0,37.25,10.75,27.0,18.75,43.0,64.5,0.0,38.0,27.75,54.25,47.25,0.0,0.0,8.0,0.0,32.75,0.0,0.0,0.0,19.5,0.0,0.0,0.0,24.75,43.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75,0.0,0.0,0.0,37.5,0.0,0.0,10.0,14.5,38.75,42.75,42.0,0.0,12.0,39.25,0.0,13.0,0.0,11.0,12.75,32.75,31.25,12.0,22.25,31.0,64.5,0.0,45.5,24.75,67.25,21.5,57.25,36.75,23.5,0.0,0.0,13.5,0.0,12.75,10.75,0.0,11.0,25.5,12.0,0.0,0.0,16.5,50.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,0.0,12.0,0.0,37.5,0.0,56.75,11.75,0.0,67.75,13.0,11.5,0.0,0.0,60.25,13.5,27.5,0.0,22.75,93.75,10.25,22.0,0.0,51.0,52.5,44.25,11.25,22.0,25.0,23.25,43.25,46.25,45.5,34.75,11.5,0.0,0.0,0.0,0.0,0.0,0.0,22.5,12.0,11.75,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25,8.0,0.0,0.0,8.75,0.0,40.75,12.75,9.25,50.5,23.0,19.25,13.0,40.0,48.5,0.0,0.0,10.5,21.25,24.5,44.25,40.75,9.75,26.25,34.75,77.75,12.5,7.25,8.75,20.25,22.0,30.25,29.0,33.75,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,9.5,0.0,10.5,10.75,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,24.0,20.0,0.0,0.0,0.0,24.25,6.25,7.75,64.5,16.25,14.25,31.5,44.5,47.0,0.0,0.0,17.0,40.25,48.75,34.0,7.5,19.25,23.25,37.75,47.75,11.75,0.0,27.0,13.0,6.25,19.75,18.5,10.5,22.75,0.0,0.0,0.0,0.0,12.25,0.0,11.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.5,0.0,36.25,0.0,21.25,10.5,12.75,51.5,64.25,0.0,12.75,0.0,36.5,12.5,25.75,11.75,10.5,33.25,50.5,41.5,0.0,47.5,42.25,42.5,0.0,0.0,21.25,21.25,36.0,19.5,0.0,23.0,0.0,0.0,14.25,0.0,10.75,10.5,0.0,10.0,11.5,12.25,12.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,0.0,0.0,35.75,0.0,52.5,10.75,38.0,38.25,25.0,0.0,12.5,12.25,11.75,25.75,13.5,0.0,10.75,42.75,58.25,28.5,23.25,37.0,61.75,49.75,18.5,11.25,35.5,50.25,39.75,21.0,0.0,11.75,20.0,0.0,0.0,0.0,11.75,10.5,0.0,10.75,11.5,23.75,22.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,38.5,0.0,0.0,0.0,0.0,10.5,64.0,9.75,0.0,0.0,9.5,9.75,25.5,0.0,0.0,44.5,30.0,10.0,0.0,28.25,45.5,43.25,30.0,32.25,11.75,47.5,21.25,82.0,26.0,48.25,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
