,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21
11,,39.75,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,0.0,14.75,24.0,46.5,0.0,0.0,0.0,0.0,0.0,12.0,64.75,0.0,0.0,22.75,45.25,0.0,0.0,61.0,33.75,0.0,47.0,12.0,0.0,0.0,13.5,0.0,0.0,87.5,48.5,0.0,0.0,0.0,26.5,,,
12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,0.0,0.0,20.0,0.0,0.0,28.5,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25,6.75,0.0,31.25,0.0,29.0,9.5,10.0,9.75,30.75,90.0,20.75,0.0,54.75,52.5,0.0,7.25,7.5,0.0,0.0,52.0,,,
13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,0.0,23.5,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,9.75,0.0,17.25,0.0,12.25,0.0,22.0,39.25,10.5,57.75,39.25,11.5,50.75,33.75,25.25,6.25,7.25,0.0,0.0,43.5,34.75,,
14,,,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,67.25,0.0,0.0,0.0,0.0,0.0,0.0,47.5,51.25,12.5,0.0,31.0,20.25,0.0,0.0,22.0,11.75,0.0,12.25,66.5,25.0,0.0,51.0,0.0,0.0,68.25,58.25,0.0,12.75,0.0,37.25,0.0,,
15,,,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,12.75,0.0,0.0,0.0,0.0,0.0,34.5,51.25,20.5,0.0,51.0,21.0,0.0,0.0,41.5,11.5,0.0,66.5,45.75,25.0,0.0,0.0,0.0,37.25,34.25,57.75,0.0,13.75,0.0,36.0,0.0,,
16,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0.0,0.0,36.75,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25,51.5,0.0,22.75,0.0,34.75,11.75,11.0,33.0,0.0,42.75,39.0,37.0,37.75,26.5,12.0,23.0,37.0,0.0,0.0,37.5,33.5,,
17,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.75,0.0,12.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,33.25,0.0,0.0,23.25,18.25,36.75,0.0,40.75,18.75,7.0,0.0,28.25,0.0,23.25,50.0,46.25,0.0,0.0,20.5,34.75,12.75,59.5,,
18,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,45.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,21.25,0.0,0.0,8.25,11.75,46.25,0.0,21.25,20.25,11.75,25.5,15.0,0.0,35.75,0.0,77.25,25.25,0.0,28.5,9.0,13.75,58.0,10.5,
19,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,13.0,0.0,0.0,0.0,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,31.0,0.0,0.0,0.0,25.25,0.0,0.0,47.5,11.25,55.0,29.75,38.5,73.5,39.75,23.0,12.25,10.75,0.0,0.0,85.0,34.0,40.0,
20,,,,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,38.5,12.25,0.0,0.0,0.0,0.0,0.0,25.75,30.5,12.75,0.0,32.0,13.0,0.0,0.0,0.0,12.75,0.0,12.0,50.0,25.0,0.0,0.0,0.0,28.75,25.5,70.25,0.0,23.5,0.0,66.0,0.0,29.25,
21,,,,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,64.75,12.75,0.0,0.0,0.0,0.0,0.0,23.25,32.0,34.75,0.0,19.25,8.5,0.0,0.0,36.75,54.75,0.0,8.25,60.75,0.0,0.0,14.0,0.0,14.5,38.25,31.75,0.0,0.0,0.0,25.0,0.0,46.25,
22,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,26.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25,22.25,0.0,24.0,0.0,12.0,0.0,0.0,23.75,9.75,40.25,66.25,49.25,63.25,28.0,0.0,11.75,23.0,0.0,0.0,34.75,43.25,20.75,
23,,,,0.0,0.0,0.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,29.75,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,22.25,0.0,60.0,56.25,0.0,0.0,58.25,0.0,0.0,12.75,53.75,25.0,0.0,48.75,0.0,48.5,82.0,52.0,0.0,61.0,0.0,62.25,0.0,29.0,
24,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,0.0,45.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,0.0,0.0,43.25,0.0,35.25,50.75,0.0,22.75,22.5,33.25,27.0,40.25,0.0,0.0,50.0,46.5,24.5,0.0,11.5,12.0,0.0,57.75,0.0,
25,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,19.25,0.0,0.0,0.0,19.75,0.0,0.0,0.0,0.0,15.75,0.0,11.25,22.0,10.5,56.0,0.0,8.0,11.5,8.0,13.0,13.5,0.0,31.75,83.75,48.75,12.0,0.0,23.75,21.75,0.0,68.75,18.25,0.0
26,,,,,0.0,0.0,29.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,24.0,34.25,0.0,0.0,0.0,21.25,0.0,33.25,28.5,0.0,0.0,10.0,44.5,0.0,0.0,11.0,0.0,0.0,30.5,55.25,25.0,0.0,23.0,0.0,39.0,45.25,33.0,0.0,13.25,0.0,62.0,0.0,17.25,0.0
27,,,,,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,59.75,11.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,0.0,0.0,33.0,0.0,0.0,0.0,35.5,0.0,0.0,11.5,32.25,0.0,0.0,13.25,0.0,0.0,46.5,46.0,0.0,34.75,0.0,0.0,0.0,11.0,0.0
