,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03
89,,,,,,,,,,,,,,,,0.0,33.5,0.0,0.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,94.25,11.5,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,31.5,44.75,76.75,0.0,46.25,8.25,8.5,0.0,0.0,42.25,28.0,0.0,40.25,36.0,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,0.0,0.0,0.0,65.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,9.5,0.0,0.0,21.75,40.5,11.5,10.25,38.5,26.0,0.0,22.5,0.0,0.0,49.0,0.0,12.25,49.75,30.0,34.25,64.0,57.25,0.0,32.75,0.0,0.0,0.0,0.0,9.0,0.0,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,0.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,20.5,12.75,0.0,0.0,0.0,24.5,28.75,15.0,33.25,0.0,25.0,0.0,0.0,0.0,0.0,25.75,0.0,58.0,0.0,10.75,73.0,30.25,19.5,0.0,0.0,10.5,23.25,0.0,10.5,32.25,52.5,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,0.0,0.0,0.0,57.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,42.75,0.0,21.25,14.5,0.0,0.0,10.75,35.0,44.0,10.5,0.0,0.0,25.0,48.5,10.5,32.75,29.5,0.0,67.25,63.25,0.0,24.75,0.0,47.25,0.0,0.0,21.0,0.0,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,0.0,5.25,0.0,0.0,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,36.0,29.25,11.75,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,15.0,41.0,0.0,50.5,6.0,19.75,0.0,0.0,32.25,14.75,0.0,23.0,16.0,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,0.0,0.0,0.0,53.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,13.75,12.5,0.0,14.0,24.5,58.5,0.0,37.25,13.0,0.0,37.75,0.0,0.0,15.75,23.25,0.0,25.0,7.75,24.75,79.0,44.25,0.0,0.0,0.0,35.5,0.0,0.0,11.75,0.0,0.0,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,10.25,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,0.0,0.0,7.75,21.0,12.5,0.0,0.0,0.0,22.75,38.75,0.0,0.0,0.0,17.25,0.0,0.0,0.0,0.0,21.75,0.0,32.75,24.25,11.25,39.75,13.25,37.25,34.5,0.0,12.5,14.25,23.5,7.75,36.75,0.0,68.75,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,21.0,0.0,0.0,0.0,0.0,0.0,22.75,0.0,10.75,0.0,54.75,0.0,0.0,0.0,0.0,32.0,0.0,52.0,32.5,0.0,89.5,33.75,35.75,0.0,0.0,42.75,14.25,0.0,18.5,13.25,33.25,31.25,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,18.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,43.0,54.0,0.0,33.25,0.0,12.5,0.0,0.0,0.0,0.0,13.5,0.0,61.5,37.25,11.25,41.25,43.5,29.25,11.25,0.0,10.0,21.0,11.5,24.0,31.5,11.0,67.0,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,21.25,9.0,0.0,29.0,58.5,30.0,0.0,10.5,62.5,44.0,26.25,0.0,0.0,62.75,10.25,22.0,61.25,0.0,39.25,91.0,43.25,0.0,23.0,0.0,0.0,0.0,0.0,27.25,0.0,0.0,,,,,,,,,,,,,,,,
