,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07
14,,9.5,23.25,11.75,2.75,2.75,48.75,35.0,25.75,31.0,30.5,34.25,27.5,24.25,22.0,46.0,21.25,66.5,72.75,74.0,89.25,70.0,75.5,60.25,57.25,35.25,55.75,32.5,16.5,37.25,15.25,21.25,7.0,0.0,13.5,4.5,7.0,2.25,2.25,24.0,9.75,19.75,22.0,41.25,41.25,59.75,55.5,93.5,65.25,59.75,65.5,33.25,,
15,,0.0,19.75,5.75,8.5,20.0,45.0,51.75,39.5,15.25,39.75,38.25,30.0,42.75,23.25,32.25,43.5,46.5,63.0,53.75,56.5,45.5,79.25,56.25,49.25,31.5,23.25,31.5,19.0,32.25,24.0,12.5,20.0,5.0,2.25,9.5,11.25,2.25,9.25,12.0,12.25,19.75,33.25,34.0,38.5,50.0,48.5,84.5,68.75,34.0,38.25,42.0,,
16,,10.25,23.5,8.75,12.25,10.75,41.5,52.25,30.5,26.0,28.75,36.5,30.0,24.0,22.25,34.5,31.5,57.5,67.0,73.0,68.25,59.5,81.0,55.25,69.0,28.5,38.75,26.25,16.5,29.0,20.75,8.5,25.75,2.25,12.25,5.0,13.75,0.0,2.5,9.25,7.75,27.75,20.5,20.25,46.5,41.5,60.25,85.0,50.25,39.75,43.75,43.0,,
17,,4.5,18.5,9.75,9.75,49.5,44.5,48.75,19.0,33.5,23.5,29.5,23.5,10.5,35.0,49.0,41.75,39.25,67.0,47.5,71.75,49.25,55.5,67.5,33.5,35.0,29.75,19.75,3.25,19.5,1.75,6.75,26.25,17.0,8.0,1.75,7.75,5.25,5.5,12.0,5.0,18.75,10.25,31.0,34.75,32.75,16.25,87.5,40.5,46.0,45.0,19.0,28.0,
18,,0.0,22.75,2.5,19.0,24.25,40.0,39.0,37.25,23.0,50.25,35.25,30.75,44.0,11.0,15.0,43.5,61.5,97.25,43.25,57.0,37.0,71.0,52.75,49.75,43.5,36.5,26.25,11.75,37.5,10.75,15.0,10.25,18.0,6.75,9.0,6.75,8.75,2.0,11.5,4.5,19.75,6.25,21.0,27.5,60.25,37.0,90.0,64.0,9.5,26.5,21.0,19.25,
19,,7.25,8.75,12.25,7.5,10.75,44.0,38.5,20.5,24.0,40.25,24.75,26.25,29.0,21.25,32.5,22.0,60.5,69.5,71.0,61.25,60.0,75.5,43.75,52.5,33.0,41.75,19.0,9.5,21.75,17.25,15.5,17.25,8.0,5.75,6.25,5.75,3.75,3.75,12.0,6.0,12.25,21.0,28.5,44.0,39.25,54.5,93.25,52.25,40.75,38.5,26.25,23.75,
20,,,8.75,16.5,16.0,7.0,43.25,54.75,39.25,25.0,14.5,42.25,26.0,44.75,23.0,44.25,31.75,51.75,56.0,75.0,77.75,57.25,81.25,80.5,71.0,30.5,45.25,29.75,9.75,24.5,12.25,9.75,14.75,7.0,15.5,11.25,6.5,6.25,4.5,10.5,4.25,11.75,13.75,23.25,49.75,52.75,68.25,75.25,53.75,36.75,38.75,32.5,32.75,
21,,,6.75,3.0,5.25,29.75,49.0,81.75,16.0,48.5,14.75,44.75,31.0,27.0,24.0,52.75,43.0,45.75,73.0,81.25,68.0,34.5,68.75,78.75,38.75,37.25,40.5,22.75,10.0,23.5,6.25,20.5,20.0,22.25,8.75,2.0,6.5,15.25,4.75,22.0,14.5,16.0,21.0,21.75,41.0,38.0,20.0,72.75,43.5,40.75,32.5,29.5,14.5,
22,,,17.0,9.5,19.0,50.75,39.5,73.75,32.0,42.25,45.75,41.0,35.25,25.75,36.5,30.0,46.75,45.0,80.0,75.5,71.75,30.0,78.25,67.25,47.75,34.5,38.25,14.0,13.5,17.25,9.5,20.0,14.25,27.5,4.5,5.0,14.75,17.0,9.5,5.25,7.75,21.25,18.5,33.5,50.25,36.5,49.5,86.75,57.0,43.75,34.0,38.75,31.75,
23,,,,3.0,13.75,43.25,50.5,63.0,12.75,52.75,17.25,34.0,21.25,21.25,28.75,50.5,52.5,43.5,94.75,56.25,74.5,38.0,79.0,72.0,33.0,59.0,25.25,27.5,8.5,32.0,6.5,19.5,20.25,27.5,18.25,0.0,4.25,26.75,6.5,11.25,7.5,9.5,42.0,15.75,26.25,44.5,38.75,82.5,44.25,43.25,37.25,22.5,14.75,14.5
24,,,,6.25,3.75,8.5,38.0,55.0,23.25,19.0,26.25,51.0,23.5,28.0,35.25,63.5,28.25,83.25,61.0,88.75,84.0,84.75,90.25,53.75,55.25,37.5,38.75,29.5,18.25,30.25,18.5,18.5,15.5,5.75,12.75,8.0,8.0,0.0,2.25,23.25,13.5,7.75,6.75,46.0,55.25,64.75,70.25,93.5,77.25,51.75,62.25,63.5,25.75,35.0
