,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30
66,,,,,,,,,,,41.0,37.0,41.75,45.0,12.25,4.0,3.5,17.0,33.75,3.25,10.25,0.0,0.0,0.0,20.0,0.0,4.25,0.0,0.0,9.75,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,26.5,14.25,0.0,20.0,30.0,31.0,45.5,31.5,7.0,39.25,16.0,43.0,11.0,15.5,41.5,10.0,14.0,16.0,26.0,14.5,9.0,,,,
67,,,,,,,,,,,62.75,46.75,6.0,13.25,3.25,0.0,27.25,8.25,5.5,3.5,3.5,0.0,6.0,9.0,0.0,2.25,2.25,0.0,2.25,0.0,0.0,5.25,0.0,6.5,0.0,3.25,0.0,0.0,0.0,7.5,0.0,14.25,0.0,10.5,12.75,35.5,24.25,25.75,41.5,59.75,42.75,18.75,5.75,0.0,10.0,17.25,0.0,7.75,0.0,3.0,7.25,0.0,,,,
68,,,,,,,,,,,42.5,34.0,32.75,26.0,17.25,10.5,6.0,13.0,6.25,2.75,8.5,0.0,0.0,0.0,33.25,0.0,5.5,0.0,0.0,20.25,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,12.25,0.0,0.0,4.0,6.0,0.0,17.5,42.75,60.0,51.0,69.0,15.0,46.75,26.0,43.25,23.0,39.0,21.0,7.75,25.75,0.0,30.5,16.25,7.0,,,,
69,,,,,,,,,,,50.25,44.25,12.75,25.25,3.5,0.0,21.0,14.0,6.75,13.0,0.0,4.75,7.0,10.25,0.0,6.75,7.0,0.0,10.5,4.0,0.0,9.5,0.0,6.5,0.0,4.0,0.0,0.0,0.0,10.5,0.0,16.5,0.0,4.25,4.25,17.75,15.5,18.5,48.25,73.5,38.5,18.5,4.0,0.0,29.75,22.75,3.5,7.5,5.5,0.0,2.25,0.0,,,,
70,,,,,,,,,,,,46.5,30.75,14.5,13.25,6.25,6.0,3.75,11.75,8.5,8.5,0.0,0.0,0.0,35.5,0.0,5.5,0.0,0.0,21.5,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,4.0,0.0,0.0,7.0,45.25,65.0,55.25,63.75,16.25,49.25,22.5,46.75,24.25,41.5,26.25,3.5,23.25,0.0,42.25,17.25,3.0,,,,
71,,,,,,,,,,,,38.5,9.5,31.75,2.5,0.0,14.75,11.25,7.75,9.25,2.75,9.25,8.75,5.25,0.0,7.75,8.0,0.0,2.75,15.75,0.0,12.75,0.0,7.75,0.0,5.0,0.0,0.0,0.0,6.5,0.0,14.5,0.0,4.25,8.5,30.25,15.25,16.25,33.75,61.75,52.0,11.25,8.25,0.0,26.5,24.0,7.0,6.75,2.5,0.0,4.5,0.0,,,,
72,,,,,,,,,,,,40.25,32.5,36.75,7.0,3.0,8.75,0.0,23.0,0.0,12.25,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.75,12.0,8.75,0.0,4.5,27.0,20.0,50.75,70.75,21.25,23.75,8.0,38.0,24.5,25.5,24.25,13.5,9.75,14.5,19.5,18.25,6.5,,,,
73,,,,,,,,,,,,43.0,33.25,45.75,5.25,7.25,14.25,16.25,19.75,3.25,3.25,0.0,0.0,0.0,22.25,0.0,7.5,0.0,0.0,13.25,0.0,0.0,10.75,0.0,0.0,0.0,0.0,0.0,13.5,0.0,10.75,3.25,3.25,0.0,6.25,3.5,16.75,35.5,59.25,14.25,58.0,17.5,44.25,6.5,24.75,20.0,24.5,9.0,4.5,33.25,21.75,2.75,0.0,,,
74,,,,,,,,,,,,51.25,9.0,26.5,2.75,0.0,12.0,14.25,9.5,2.75,10.0,0.0,6.5,0.0,0.0,3.75,3.75,0.0,2.75,0.0,0.0,6.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,8.75,8.25,32.5,3.25,20.0,34.0,75.75,44.75,18.5,13.75,0.0,20.25,26.5,2.5,5.0,0.0,0.0,5.5,0.0,0.0,,,
75,,,,,,,,,,,,,34.75,39.0,6.5,6.5,10.75,18.0,11.5,8.0,11.5,0.0,0.0,0.0,24.5,0.0,7.0,0.0,0.0,19.5,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,7.75,0.0,3.25,16.75,0.0,0.0,7.5,11.75,21.75,34.5,60.25,7.75,31.5,21.75,33.5,7.25,19.25,35.0,29.75,12.0,12.0,23.75,20.25,3.5,0.0,,,
76,,,,,,,,,,,,,32.75,20.0,10.5,8.0,3.75,5.0,7.5,3.25,5.0,0.0,0.0,0.0,23.5,0.0,3.25,0.0,0.0,3.75,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,5.0,0.0,11.0,0.0,7.75,13.25,7.75,37.25,48.5,18.75,27.5,15.0,30.0,9.0,28.75,47.5,10.25,10.0,11.75,28.5,12.25,2.75,0.0,,,
77,,,,,,,,,,,,,25.75,3.5,11.25,15.5,31.5,20.75,41.75,14.25,19.5,7.5,0.0,0.0,4.0,0.0,25.75,0.0,0.0,0.0,0.0,0.0,10.5,15.0,0.0,4.5,0.0,4.0,11.0,0.0,4.0,14.75,13.5,11.0,7.25,13.5,66.5,10.75,57.25,57.75,31.25,13.25,26.75,0.0,35.0,12.5,4.0,11.25,36.25,28.0,9.75,15.75,7.0,,,
78,,,,,,,,,,,,,15.25,25.25,5.25,9.5,7.0,10.0,17.25,7.0,3.25,0.0,0.0,0.0,30.25,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,0.0,3.0,0.0,7.75,0.0,7.5,7.0,44.25,29.5,74.75,17.75,42.5,12.25,46.0,24.5,27.25,20.75,0.0,11.5,11.25,19.5,16.75,0.0,0.0,0.0,,
79,,,,,,,,,,,,,15.75,35.5,26.0,4.5,0.0,11.0,20.75,4.75,10.75,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,5.0,22.25,9.75,0.0,13.25,5.25,50.0,53.0,58.25,28.25,48.0,15.75,27.5,12.0,15.25,47.25,6.5,16.25,28.0,15.5,26.75,0.0,0.0,0.0,,
80,,,,,,,,,,,,,11.75,37.5,7.5,0.0,23.0,12.5,6.75,8.0,3.25,12.75,20.0,3.0,0.0,3.25,3.25,0.0,3.25,6.25,0.0,16.75,0.0,7.5,0.0,8.5,0.0,0.0,0.0,10.75,0.0,8.5,0.0,0.0,13.0,30.0,24.5,26.0,29.0,71.25,41.75,29.0,14.5,0.0,13.0,16.0,2.75,13.0,3.25,3.5,8.5,0.0,0.0,0.0,,
81,,,,,,,,,,,,,,28.25,5.25,9.75,8.75,4.25,12.5,0.0,6.25,0.0,0.0,0.0,6.0,0.0,3.75,0.0,0.0,10.25,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,6.5,0.0,2.75,13.25,3.25,0.0,2.75,9.0,29.25,48.25,52.75,22.0,44.5,8.0,48.0,21.25,33.5,17.75,24.75,12.5,16.75,19.0,32.75,3.75,0.0,0.0,,
