,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31
119,,,,,,,,,,,,,,,,,,,11.5,30.75,10.75,19.25,14.75,28.5,16.0,8.5,11.0,0.0,15.75,0.0,0.0,24.5,0.0,0.0,17.25,0.0,0.0,0.0,7.25,0.0,0.0,9.75,13.5,25.0,7.25,0.0,0.0,7.75,12.0,41.5,8.5,10.75,7.0,21.5,0.0,17.75,0.0,0.0,19.0,6.0,6.0,0.0,28.75,5.5,10.75,13.75,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,13.0,0.0,0.0,46.0,25.75,61.25,44.25,0.0,0.0,0.0,22.5,39.75,0.0,0.0,9.75,0.0,0.0,24.25,0.0,23.25,0.0,31.25,0.0,0.0,0.0,29.0,0.0,61.0,0.0,28.75,9.5,10.75,0.0,0.0,14.75,0.0,0.0,0.0,0.0,19.75,42.25,21.25,6.75,0.0,26.5,20.0,21.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,32.75,36.5,0.0,89.25,10.5,42.5,22.0,0.0,0.0,19.0,60.0,0.0,0.0,0.0,0.0,0.0,42.25,0.0,0.0,0.0,0.0,0.0,21.25,30.0,0.0,65.5,23.75,0.0,57.0,0.0,45.25,0.0,35.75,24.5,22.5,33.25,0.0,9.25,0.0,24.5,34.25,34.0,0.0,0.0,36.75,0.0,0.0,25.25,14.0,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,20.75,6.25,0.0,32.5,6.5,26.25,0.0,6.0,6.0,0.0,15.75,35.25,0.0,9.75,0.0,0.0,10.0,0.0,0.0,0.0,0.0,13.75,10.25,0.0,0.0,0.0,28.5,0.0,23.0,16.5,25.0,15.75,0.0,0.0,33.75,21.25,0.0,13.25,0.0,0.0,0.0,13.25,10.5,0.0,18.75,17.25,10.5,4.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,20.25,81.5,0.0,0.0,8.5,20.0,0.0,20.5,11.75,0.0,0.0,0.0,26.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,9.25,0.0,22.5,0.0,0.0,18.25,13.0,21.0,0.0,32.25,0.0,6.75,10.25,0.0,6.75,15.5,6.25,0.0,15.0,0.0,6.5,25.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,30.25,0.0,0.0,0.0,36.5,64.25,0.0,10.25,0.0,0.0,38.25,62.0,0.0,0.0,35.5,0.0,0.0,40.25,0.0,0.0,0.0,39.75,0.0,0.0,0.0,38.5,35.0,31.75,0.0,72.25,56.0,21.75,0.0,0.0,0.0,0.0,0.0,0.0,7.5,16.25,37.5,49.5,0.0,0.0,22.75,16.25,24.25,0.0,12.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,18.5,65.25,0.0,10.25,0.0,0.0,29.75,45.25,0.0,0.0,27.75,0.0,0.0,20.25,0.0,0.0,0.0,30.25,0.0,0.0,0.0,38.5,24.0,33.25,0.0,48.0,33.25,33.5,0.0,0.0,0.0,0.0,0.0,0.0,7.75,16.25,62.75,41.75,0.0,0.0,15.75,16.5,16.5,0.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,54.75,0.0,0.0,6.25,22.25,0.0,7.5,19.25,0.0,0.0,0.0,11.25,5.25,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,27.75,0.0,36.5,0.0,0.0,23.75,21.0,12.75,0.0,43.0,0.0,29.5,0.0,0.0,16.25,20.5,23.75,0.0,32.0,0.0,6.0,20.75,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,53.75,0.0,0.0,37.75,15.75,0.0,24.5,39.5,0.0,0.0,0.0,18.5,21.25,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,18.75,0.0,27.25,0.0,0.0,43.75,21.75,0.0,0.0,0.0,0.0,26.0,16.75,0.0,9.5,9.5,0.0,0.0,27.0,0.0,19.5,31.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,0.0,0.0,13.75,21.75,31.75,21.0,23.25,34.25,0.0,9.75,11.5,0.0,0.0,0.0,0.0,0.0,25.0,0.0,30.5,0.0,9.75,0.0,0.0,0.0,53.5,24.75,0.0,0.0,23.25,25.0,27.75,0.0,0.0,24.75,0.0,0.0,0.0,19.5,10.5,51.0,30.25,26.75,0.0,16.0,20.25,18.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
