,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04
15,,4.75,12.5,9.0,23.5,0.0,45.0,24.75,39.75,26.0,34.0,50.0,20.25,19.25,14.75,12.0,20.75,16.5,19.0,23.75,51.75,96.5,59.5,14.5,42.0,31.75,38.5,4.25,5.25,12.25,3.0,14.25,3.0,9.25,0.0,0.0,3.5,8.25,0.0,6.25,0.0,0.0,0.0,5.25,20.5,60.0,22.5,9.25,67.25,25.25,14.75,8.0,,,,,,
16,,0.0,0.0,8.25,25.5,0.0,33.25,59.25,29.75,23.0,24.75,16.75,23.25,15.0,12.0,20.5,51.5,28.25,8.25,7.5,63.0,62.25,75.0,65.0,41.75,8.25,21.25,3.5,30.5,23.0,6.0,3.0,6.0,3.0,3.25,14.75,6.5,17.5,3.75,16.0,0.0,9.25,0.0,0.0,4.25,21.5,31.75,23.75,0.0,42.0,21.25,8.25,32.25,,,,,
17,,0.0,5.75,12.25,18.25,4.25,48.0,21.25,29.75,5.0,22.75,0.0,10.75,27.5,6.75,8.25,53.5,0.0,44.75,19.25,69.25,88.25,96.5,33.75,26.5,11.25,29.75,15.0,16.25,3.75,7.75,0.0,4.0,10.25,0.0,0.0,10.0,0.0,0.0,4.75,0.0,0.0,16.75,13.0,3.5,17.75,16.75,6.75,32.0,25.25,20.25,21.75,20.5,,,,,
18,,0.0,8.75,7.5,5.25,0.0,37.75,32.5,66.5,52.25,19.0,60.75,21.75,20.0,14.75,27.0,11.0,7.0,16.75,71.0,25.25,80.5,60.75,56.25,32.5,33.75,66.0,5.75,8.25,32.0,0.0,19.75,0.0,5.0,0.0,0.0,0.0,18.0,0.0,7.5,0.0,0.0,0.0,0.0,29.5,43.5,6.75,9.0,53.0,49.25,12.75,32.0,43.0,,,,,
19,,,3.5,6.0,21.5,0.0,30.25,11.5,37.0,24.0,4.5,25.75,11.25,20.0,16.75,11.5,10.5,9.0,18.75,27.0,38.75,39.25,47.75,40.75,39.0,20.75,27.75,17.25,11.25,9.0,7.25,7.0,7.25,12.0,2.5,0.0,0.0,5.0,0.0,3.0,0.0,0.0,5.5,0.0,30.25,47.25,3.75,19.5,59.25,28.5,20.0,15.0,22.75,,,,,
20,,,12.0,5.0,42.5,15.0,39.75,44.5,35.0,12.0,24.75,17.25,8.25,15.75,13.25,18.5,51.25,52.5,15.75,0.0,58.0,55.0,69.75,84.25,49.75,0.0,21.5,14.0,16.25,24.0,16.5,12.25,4.5,8.5,0.0,3.75,3.5,19.0,4.25,24.75,0.0,11.0,0.0,0.0,13.0,26.0,37.75,67.25,0.0,61.0,15.5,15.75,58.5,,,,,
21,,,12.0,0.0,24.75,5.0,40.25,32.75,35.0,20.0,18.0,32.25,24.5,27.75,9.0,29.5,45.0,20.0,24.25,39.0,59.75,66.5,82.25,42.75,60.25,21.25,32.75,8.25,14.25,7.5,4.5,3.5,6.5,12.25,3.75,8.0,8.5,10.0,0.0,3.75,0.0,0.0,6.75,0.0,35.25,27.75,24.25,27.0,49.0,51.5,25.5,20.75,18.0,,,,,
22,,,,10.5,18.0,5.75,45.5,80.5,29.25,22.25,38.25,14.75,13.25,7.75,15.25,20.5,66.5,53.5,27.0,16.0,49.0,68.5,44.5,81.25,57.5,6.0,19.75,4.0,19.25,23.75,12.25,4.0,5.25,19.5,8.75,19.25,13.0,9.5,4.75,14.75,0.0,12.25,0.0,0.0,0.0,20.5,27.0,55.75,0.0,35.75,11.5,10.5,59.75,19.75,,,,
23,,,,5.75,38.75,16.75,65.0,41.25,28.75,29.75,16.75,3.25,20.25,28.25,34.5,10.0,38.75,0.0,50.0,26.75,73.25,77.0,77.0,60.25,69.25,11.75,43.0,23.0,32.25,8.75,17.0,0.0,9.25,8.0,0.0,0.0,9.0,9.75,0.0,11.0,0.0,0.0,0.0,7.75,31.0,40.0,33.75,37.25,64.75,63.75,24.5,16.0,21.75,31.25,,,,
24,,,,11.25,11.5,0.0,37.25,13.75,60.0,43.0,25.25,43.5,22.75,17.5,8.0,25.5,14.25,9.25,12.25,41.25,39.0,90.5,46.5,26.0,19.75,33.75,17.75,7.5,3.75,10.75,0.0,11.0,0.0,8.25,9.25,0.0,0.0,15.5,0.0,8.75,0.0,0.0,0.0,0.0,41.75,68.5,13.5,11.75,47.75,47.25,30.25,11.0,27.0,29.0,,,,
