,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14.75,24.25,11.5,51.25,53.25,21.25,42.0,18.5,15.5,0.0,52.75,9.0,0.0,0.0,0.0,0.0,39.25,0.0,0.0,4.75,13.25,19.25,25.75,13.5,0.0,29.0,0.0,0.0,0.0,33.25,0.0,6.75,8.75,0.0,8.0,14.5,0.0,12.25,7.5,0.0,13.25,17.5,14.5,0.0,27.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,14.0,7.5,17.5,49.0,40.0,16.5,34.5,20.25,9.0,12.0,31.25,9.0,0.0,6.25,8.75,5.5,33.25,12.5,11.75,12.75,13.5,15.0,11.5,28.5,0.0,6.25,0.0,0.0,7.5,18.75,7.75,12.0,0.0,6.25,8.0,9.0,13.0,9.25,13.25,9.25,7.5,7.5,17.25,0.0,10.5,5.75,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75,9.0,0.0,6.75,51.25,9.0,11.5,11.75,34.25,26.5,39.75,0.0,0.0,0.0,6.25,23.25,5.5,23.25,13.5,18.25,24.5,31.0,5.25,5.0,21.5,0.0,15.5,10.25,3.25,11.5,19.5,25.0,10.75,0.0,6.25,10.5,15.0,0.0,9.0,5.75,0.0,9.0,0.0,0.0,0.0,6.75,5.75,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.25,0.0,21.25,9.0,35.75,46.25,0.0,56.5,0.0,74.5,0.0,0.0,0.0,0.0,25.5,6.5,23.75,9.75,5.75,60.5,25.75,0.0,19.75,67.0,0.0,0.0,0.0,0.0,16.5,23.75,25.75,6.25,0.0,8.0,30.75,11.0,15.5,6.5,11.25,4.25,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,14.25,14.75,11.75,16.5,20.5,0.0,48.75,14.0,19.75,0.0,34.5,5.0,0.0,0.0,3.25,10.5,17.75,3.75,0.0,5.5,0.0,5.75,0.0,7.25,0.0,15.5,0.0,0.0,20.25,27.5,0.0,0.0,4.0,5.0,9.0,12.25,14.25,14.0,3.25,4.25,12.0,0.0,15.25,0.0,4.75,0.0,0.0,0.0,0.0,10.75,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,26.5,7.5,14.0,32.5,13.0,65.0,38.75,12.5,0.0,13.75,6.25,0.0,0.0,5.25,0.0,7.0,24.75,0.0,0.0,18.5,19.5,23.0,18.25,0.0,41.75,0.0,0.0,16.25,34.5,0.0,4.75,19.5,12.5,11.5,26.5,16.25,16.75,0.0,6.25,22.5,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,11.5,43.75,8.0,48.25,18.75,0.0,37.75,20.25,42.5,0.0,32.5,0.0,0.0,0.0,4.5,4.5,27.0,0.0,0.0,0.0,0.0,5.75,22.0,0.0,0.0,28.75,11.25,0.0,17.5,42.25,0.0,18.0,15.0,11.0,31.75,13.5,9.25,0.0,0.0,6.25,16.75,9.5,9.75,0.0,10.75,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,6.0,19.25,27.75,20.25,25.5,44.5,25.25,12.0,0.0,11.5,19.5,0.0,0.0,20.0,6.25,18.0,9.25,0.0,18.5,9.75,18.5,26.75,11.5,0.0,27.75,3.5,0.0,21.5,22.5,0.0,9.25,10.0,4.75,11.5,16.25,15.25,6.5,10.25,5.75,11.25,0.0,4.25,0.0,11.5,0.0,0.0,0.0,0.0,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.0,21.75,50.75,31.5,25.25,12.5,30.0,11.75,53.25,0.0,0.0,0.0,5.75,5.0,14.25,15.25,30.25,4.0,29.5,21.25,0.0,8.5,36.25,0.0,0.0,0.0,16.5,4.75,13.5,34.5,9.0,0.0,5.25,15.5,4.5,5.0,5.0,15.0,9.25,10.5,0.0,0.0,0.0,0.0,14.75,0.0,0.0,0.0,0.0,19.5,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,9.25,9.25,50.0,38.25,14.75,59.75,9.5,46.0,0.0,42.75,14.75,0.0,0.0,18.5,0.0,28.0,0.0,0.0,16.5,8.5,14.25,16.75,0.0,0.0,20.75,10.0,0.0,9.25,29.25,0.0,0.0,12.75,5.25,0.0,11.75,5.25,0.0,13.0,7.75,9.5,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,8.75,0.0,,,,,,,,,,,,,,,,,,,,,,
