Manufacturer,Recipient,ISO,Source URL,Deal Date,Vaccine Name,Committed $,Secured Doses,Optioned Doses,Status,Vaccine Developer,Deal Type,Distributor
Bharat Biotech,Brazil,BRA,https://www.reuters.com/article/health-coronavirus-brazil-india/private-brazilian-clinics-to-buy-covid-19-vaccine-from-bharat-biotech-idINKBN2991NL,1970-01-01 00:26:49.718400,Covaxin,1200000000,5000000,--,Formalized,Bharat Biotech,Private Purchase,--
--,Egypt,EGY,"https://www.reuters.com/world/africa/egypt-purchase-20-million-doses-sinopharm-vaccine-2021-04-20/#:~:text=AfricaEgypt%20to%20purchase%2020%20million%20doses%20of%20Sinopharm%20vaccine&text=Egypt%20has%20agreed%20to%20purchase,health%20ministry%20said%20on%20Tuesday.",1970-01-01 00:26:49.718400,--,--,20000000,110000000,--,--,Bilateral,--
--,UAE,ARE,https://www.reuters.com/article/health-coronavirus-vaccine-cnbg/chinas-cnbg-has-supplied-3-million-covid-19-vaccine-doses-to-uae-idUSL4N2JG231,1970-01-01 00:26:49.804800,--,3720000,3000000,--,Formalized,--,--,--
--,Macedonia,MKD,http://zdravstvo.gov.mk/severna-makedonija-dobiva-800-iljadi-dozi-od-fajzer-5-850-stigaat-vo-fevruari/,1970-01-01 00:26:49.804800,--,--,800000,--,--,--,--,--
--,Serbia,SRB,https://rdif.ru/Eng_fullNews/6273/,1970-01-01 00:26:49.804800,--,--,2000000,--,Formalized,--,Bilateral,Saudi Chemicals
--,Peru,PER,https://cdn.www.gob.pe/uploads/document/file/1616529/Documento.pdf,1970-01-01 00:26:49.891200,--,--,1000000,--,--,--,--,Bio Farma
--,Peru,PER,https://cdn.www.gob.pe/uploads/document/file/1616529/informacion-general-de-acuerdos-y-contratos-para-la-provision-de-vacunas-contra-la-covid-19.pdf.pdf,1970-01-01 00:26:49.891200,--,--,14040000,--,Formalized,--,Bilateral,--
--,South Africa,ZAF,https://www.reuters.com/article/uk-health-coronavirus-safrica/serum-institute-refunds-safrica-for-undelivered-astrazeneca-doses-idUSKBN2BV20W,1970-01-01 00:26:49.977600,Covishield,--,1000000,--,--,Serum Institute of India,--,Biovac
--,Kenya,KEN,https://www.reuters.com/article/uk-health-coronavirus-kenya/kenya-expects-24-million-covid-19-vaccine-doses-to-start-arriving-next-month-idUSKBN29C1GS,1970-01-01 00:26:49.977600,--,--,24000000,--,Formalized,--,Bilateral,--
--,Brazil,BRA,https://www.bio.fiocruz.br/index.php/br/noticias/2218-2-milhoes-de-doses-devem-estar-liberados-na-madrugada-desta-quarta,1970-01-01 00:26:50.064000,--,--,10000000,--,Formalized,--,Bilateral,Beximco Pharmaceuticals
--,Philippines,PHL,https://www.reuters.com/article/us-health-coronavirus-philippines-vaccin/philippines-signs-deal-to-secure-30-million-doses-of-covid-19-vaccine-covovax-distributor-idUSKBN29F0FG,1970-01-01 00:26:50.236800,Covovax,320359790,30000000,--,--,Novavax,--,Faberco Life Sciences
Bharat Biotech,India,IND,https://twitter.com/ianuragthakur/status/1391435021773246466?s=20,1970-01-01 00:26:50.323200,Covaxin,1200000000,80000000,--,Formalized,Bharat Biotech,Bilateral,--
--,Philippines,PHL,https://www.reuters.com/world/asia-pacific/philippines-signs-deal-40-mln-pfizerbiontech-vaccine-doses-report-2021-06-20/,1970-01-01 00:26:50.323200,--,--,26000000,--,--,--,--,Bio Farma
Valneva,European Commission,--,https://ec.europa.eu/commission/presscorner/detail/en/ip_21_51,1970-01-01 00:26:50.409600,VLA2001,--,60000000,--,In discussion,Valneva,Multilateral,--
Serum Institute of India,Bangladesh,BGD,https://www.reuters.com/article/us-health-coronavirus-bangladesh-vaccine/exclusive-bangladeshs-beximco-could-start-private-sales-of-astrazeneca-vaccine-next-month-idUKKBN29H1YC,1970-01-01 00:26:50.409600,Covishield,2100000000,3000000,500000000,Formalized,Serum Institute of India,Licensing deal,Beximco Pharmaceuticals
Pfizer/BioNTech,African Union,USA,https://www.reuters.com/article/health-coronavirus-africa-vaccine/exclusive-covid-19-shots-to-cost-3-to-10-under-african-union-vaccine-plan-idUSL1N2JU2WH,1970-01-01 00:26:50.496000,Comirnaty,--,50000000,--,Formalized,Pfizer BioNTech,Multilateral,--
--,West Bank and Gaza,PSE,https://www.aljazeera.com/news/2021/1/13/how-will-palestinians-get-the-covid-vaccine,1970-01-01 00:26:50.496000,--,10000000,2000000,--,--,--,--,--
--,Bolivia,BOL,https://www.minsalud.gob.bo/5169-gobierno-boliviano-suscribe-contrato-para-compra-de-5-millones-de-vacunas-astrazeneca-oxford,1970-01-01 00:26:50.496000,--,--,5000000,--,Cancelled,--,Bilateral,Beximco Pharmaceuticals
--,Serbia,SRB,https://www.srbija.gov.rs/vest/en/166281/serbia-receives-one-million-doses-of-chinese-sinopharm-covid-19-vaccine.php,1970-01-01 00:26:50.755200,--,3720000,2000000,--,--,--,--,--
--,Dominican Rep.,DOM,https://dominicantoday.com/dr/covid-19/2021/01/16/representatives-of-the-health-system-welcome-government-agreement-with-pfizer-and-biontech/,1970-01-01 00:26:50.755200,--,--,7900000,--,--,--,Bilateral,--
--,Lebanon,LBN,https://www.reuters.com/article/idUSKBN29213T,1970-01-01 00:26:50.841600,--,--,2100000,--,--,--,--,--
--,South Africa,ZAF,https://www.reuters.com/article/us-health-coronavirus-safrica-johnson-jo/south-africa-could-get-20-million-more-jj-vaccine-doses-health-minister-says-idUSKBN2B40VP,1970-01-01 00:26:50.928000,--,--,11000000,20000000,Formalized,--,--,--
--,Uzbekistan,UZB,https://www.reuters.com/article/health-coronavirus-uzbekistan-vaccine/uzbekistan-to-buy-100000-doses-of-pfizer-biontech-vaccine-idUSR4N2I600R,1970-01-01 00:26:50.928000,--,--,100000,--,In discussion,--,--,--
--,Morocco,MAR,https://www.reuters.com/article/idUSKBN29R1O0,1970-01-01 00:26:51.273600,--,320359790,12500000,--,--,--,--,--
--,Cote d'Ivoire,CIV,https://www.reuters.com/article/uk-health-coronavirus-ivorycoast/ivory-coast-says-delivery-of-its-first-doses-of-pfizer-vaccine-delayed-to-mid-feb-idUSKBN29Q0TU,1970-01-01 00:26:51.273600,--,--,100000,--,--,--,Bilateral,Fosun Biotech
--,COVAX,CIV,https://www.unicef.org/press-releases/covax-announces-new-agreement-plans-first-deliveries,1970-01-01 00:26:51.273600,--,--,40000000,--,--,--,Multilateral,--
--,Egypt,EGY,https://www.arabnews.com/node/1797771/middle-east,1970-01-01 00:26:51.446400,Covishield,--,20000000,--,Formalized,Serum Institute of India,Bilateral,Beximco Pharmaceuticals
--,Saudi Arabia,SAU,https://www.reuters.com/article/health-coronavirus-india-saudi-exclusive/exclusive-saudi-arabia-to-get-three-million-astrazeneca-shots-in-about-a-week-from-india-idUSKBN29V0DE,1970-01-01 00:26:51.532800,Covishield,--,3000000,--,--,Serum Institute of India,--,Faberco Life Sciences
--,Uruguay,URY,https://www.gub.uy/ministerio-salud-publica/comunicacion/noticias/gobierno-adquirio-375-millones-vacunas-contra-covid-19-aspira-inocular-28,1970-01-01 00:26:51.619200,--,--,1750000,--,--,--,Bilateral,Lekhim
--,Uruguay,URY,https://www.gub.uy/ministerio-salud-publica/comunicacion/noticias/gobierno-adquirio-375-millones-vacunas-contra-covid-19-aspira-inocular-28,1970-01-01 00:26:51.619200,--,--,2000000,30000000,--,--,--,--
JCR Pharmaceuticals,Japan,JPN,https://www.reuters.com/article/idUSKBN29X0AK,1970-01-01 00:26:51.705600,Vaxzevria,--,90000000,22000000,Formalized,AstraZeneca,--,--
Serum Institute of India,African Union,USA,https://www.reuters.com/article/idUSKBN29X1CE,1970-01-01 00:26:51.792000,Covishield,2100000000,400000000,500000000,Cancelled,Serum Institute of India,Multilateral,--
--,Hungary,HUN,https://www.facebook.com/1443632629226845/posts/2853863864870374/?d=n,1970-01-01 00:26:51.792000,--,--,5000000,110000000,--,--,Bilateral,Danubia Pharma
--,Kuwait,KWT,https://gulfnews.com/world/gulf/kuwait/kuwait-no-choosing-between-vaccines-health-officials-say-1.76376908,1970-01-01 00:26:51.878400,--,320359790,3000000,--,--,--,--,--
--,Colombia,COL,https://www.reuters.com/article/us-health-coronavirus-colombia-vaccine/colombia-reaches-covid-19-vaccine-agreements-with-moderna-sinovac-idUSKBN29Z01X,1970-01-01 00:26:51.878400,--,--,10000000,16000000,--,--,--,--
--,Malaysia,MYS,https://www.reuters.com/article/us-health-coronavirus-malaysia/malaysias-solution-group-to-supply-3-5-million-doses-of-cansino-vaccine-to-government-idUSKBN2A41I2,1970-01-01 00:26:51.878400,--,--,3500000,--,Formalized,--,--,Solution Group
--,Myanmar,MMR,https://www.reuters.com/article/health-coronavirus-myanmar-vaccine/refile-myanmar-launches-vaccination-drive-prioritises-frontline-healthcare-workers-idUSL4N2K13DT,1970-01-01 00:26:51.878400,--,320359790,30000000,--,--,--,--,--
Serum Institute of India,Algeria,DZA,https://www.mea.gov.in/vaccine-supply.htm,1970-01-01 00:26:52.051200,Covishield,2100000000,50000,500000000,Formalized,Serum Institute of India,Bilateral,--
Bharat Biotech,Brazil,BRA,https://timesofindia.indiatimes.com/india/brazil-suspends-bharat-biotechs-covaxin-order-for-20m-doses/articleshow/84003893.cms,1970-01-01 00:26:52.310400,Covaxin,1200000000,20000000,--,Cancelled,Bharat Biotech,Bilateral,--
--,Switzerland,CHE,https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-82224.html,1970-01-01 00:26:52.310400,--,2664000000,5000000,180000000,Formalized,--,Bilateral,--
--,Switzerland,CHE,https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-82224.html,1970-01-01 00:26:52.310400,--,--,6000000,80000000,Formalized,--,--,--
--,UAE,ARE,https://www.mea.gov.in/vaccine-supply.htm,1970-01-01 00:26:52.310400,--,52500000,200000,--,--,--,--,--
--,Panama,PAN,https://www.reuters.com/article/health-coronavirus-panama/panama-seeks-3-million-doses-of-russias-covid-19-vaccine-letter-idUSL1N2KB06X,1970-01-01 00:26:52.396800,--,--,3000000,--,In discussion,--,Bilateral,Em-Impex
--,Paraguay,PRY,https://tass.com/society/1308633,1970-01-01 00:26:52.396800,--,--,1400000,--,Formalized,--,Bilateral,Em-Impex
--,Peru,PER,https://cdn.www.gob.pe/uploads/document/file/1616529/informacion-general-de-acuerdos-y-contratos-para-la-provision-de-vacunas-contra-la-covid-19.pdf.pdf,1970-01-01 00:26:52.483200,--,--,20001150,--,--,--,--,--
--,Ukraine,UKR,https://www.facebook.com/moz.ukr/photos/a.300751836754595/1790149027814861/,1970-01-01 00:26:52.483200,--,52500000,4000000,--,--,--,--,--
--,Macao,MAC,https://news.cgtn.com/news/2021-02-06/Macao-SAR-receives-100-000-doses-of-Sinopharm-s-COVID-19-vaccine-XF1rBZ3u1O/index.html,1970-01-01 00:26:52.569600,--,--,100000,--,--,--,--,Bio Farma
Gamaleya Research Institute,Iran,IRN,https://www.reuters.com/article/health-coronavirus-iran-vaccination-int/iran-starts-covid-vaccination-awaits-more-vaccine-deliveries-idUSKBN2A9120,1970-01-01 00:26:52.828800,Sputnik V,350000000,2000000,--,Formalized,Gamaleya Research Institute,Bilateral,--
--,Zimbabwe,ZWE,https://www.reuters.com/article/health-coronavirus-zimbabwe-vaccine/update-1-zimbabwe-to-buy-12-mln-more-covid-19-vaccine-doses-from-china-idUSL1N2KU20B,1970-01-01 00:26:52.915200,--,--,1800000,--,--,--,--,Saigon Pharmaceutical Company Limited
Sinopharm (Beijing),Bolivia,BOL,https://www.minsalud.gob.bo/5277-gobierno-suscribe-acuerdo-con-china-para-adquisicion-de-medio-millon-de-vacunas-contra-la-covid-19,1970-01-01 00:26:53.001600,BBIBP-CorV,198000000,400000,--,Formalized,Sinopharm (Beijing),--,--
Providence Therapeutics,Canada,CAN,https://www.providencetherapeutics.com/providence-therapeutics-enters-into-agreement-with-government-of-manitoba-to-supply-2-million-doses-of-its-covid-19-vaccine,1970-01-01 00:26:53.001600,PTX-COVID19-B,--,2000000,--,Formalized,Providence Therapeutics,Bilateral,--
--,Senegal,SEN,https://www.reuters.com/article/uk-health-coronavirus-senegal-vaccine/senegal-pays-3-7-million-for-200000-doses-of-chinas-sinopharm-vaccine-idUSKBN2AD06Y,1970-01-01 00:26:53.088000,--,3720000,200000,--,--,--,--,Bio Farma
--,Philippines,PHL,https://peace.gov.ph/2021/05/first-batch-of-gamaleyas-sputnik-v-vaccines-arrive-govt-to-reassess-logistics-capabilities-in-handling-highly-sensitive-vaccines/?fbclid=IwAR3QxAxFr_F4WF_01s3sya30vmeyBI6edXc2YXSt1K38HgZ9t4H-UT44dqI,1970-01-01 00:26:53.347200,--,--,10000000,10000000,Formalized,--,Bilateral,Em-Impex
--,Dominican Rep.,DOM,https://dominicantoday.com/dr/covid-19/2021/03/01/chinese-vaccine-arrives-as-pfizer-and-astrazeneca-fumble/,1970-01-01 00:26:53.347200,--,--,10768000,330000000,--,--,Bilateral,--
--,El Salvador,SLV,https://www.mea.gov.in/vaccine-supply.htm,1970-01-01 00:26:53.347200,Covishield,--,20000,--,Formalized,Serum Institute of India,Bilateral,Beximco Pharmaceuticals
--,Philippines,PHL,https://cnnphilippines.com/news/2021/4/15/Isko-Moreno-Manila-AstraZeneca-vaccine.html,1970-01-01 00:26:53.347200,--,--,800000,--,Formalized,--,Bilateral,--
--,Dominican Rep.,DOM,https://www.reuters.com/article/health-coronavirus-dominicanrepublic-vac/dominican-republic-launches-covid-19-vaccination-campaign-idUSL8N2KM77N,1970-01-01 00:26:53.433600,Covishield,--,110000,--,Formalized,Serum Institute of India,Bilateral,Beximco Pharmaceuticals
--,Nepal,NPL,https://kathmandupost.com/health/2021/02/16/cabinet-clears-way-for-procuring-2-million-doses-of-covid-19-vaccine-from-india,1970-01-01 00:26:53.433600,--,320359790,2000000,--,--,--,--,--
Serum Institute of India,Argentina,ARG,https://www.reuters.com/article/salud-coronavirus-argentina-vacunas-idLTAKBN2AH1V4,1970-01-01 00:26:53.520000,Covishield,2100000000,1160000,500000000,Formalized,Serum Institute of India,Bilateral,--
--,European Commission,COL,https://investors.modernatx.com/news-releases/news-release-details/european-commission-purchases-additional-150-million-doses-covid,1970-01-01 00:26:53.520000,--,--,150000000,--,--,--,Multilateral,--
--,Uzbekistan,UZB,https://www.reuters.com/article/healthcoronavirus-uzbekistan-russia-vacc/uzbekistan-to-buy-russian-covid-19-vaccine-produce-chinese-one-idUSL8N2KN2YJ,1970-01-01 00:26:53.520000,--,--,1000000,--,--,--,Bilateral,Laxisam
--,Sri Lanka,LKA,https://www.livemint.com/news/india/sri-lanka-to-procure-10mn-doses-of-astrazeneca-covid-vaccine-from-india-official-11613730946366.html;http://www.dailymirror.lk/breaking_news/First-consignment-of-COVAX-vaccine-to-arrive-on-Sunday/108-206943,1970-01-01 00:26:53.692800,--,52500000,10000000,--,--,--,--,Biovac
--,Mauritius,MUS,https://twitter.com/DrSJaishankar/status/1363792442819026944?s=20,1970-01-01 00:26:53.952000,--,320359790,100000,--,--,--,--,--
--,Ukraine,UKR,https://www.facebook.com/moz.ukr/photos/a.300751836754595/1790149027814861/,1970-01-01 00:26:54.124800,--,--,100000,30000000,--,--,--,--
--,Honduras,HND,https://www.reuters.com/article/healthcoronavirus-honduras/honduras-orders-70000-doses-of-russias-sputnik-v-covid-19-vaccine-idUSL1N2KU28H,1970-01-01 00:26:54.124800,--,--,1400000,--,--,--,Bilateral,--
Gamaleya Research Institute,Honduras,HND,https://www.salud.gob.hn/site/index.php/component/k2/item/2155-llega-el-primer-lote-de-vacunas-rusas-compradas-por-el-gobierno-de-honduras,1970-01-01 00:26:54.124800,Sputnik V,350000000,4200000,--,Formalized,Gamaleya Research Institute,Bilateral,--
Sinopharm (Beijing),Argentina,ARG,https://www.argentina.gob.ar/sites/default/files/informe_130-_hdn.pdf,1970-01-01 00:26:54.211200,BBIBP-CorV,198000000,6000000,--,--,Sinopharm (Beijing),--,--
--,Canada,CAN,"https://www.biospace.com/article/releases/canada-to-receive-2-million-doses-of-astrazeneca-s-covid-19-vaccine-manufactured-by-the-serum-institute-of-india/#:~:text=Following%20Health%20Canada's%20authorization%20of,Verity%20Pharmaceuticals%20Canada%20Inc.%2FSerum",1970-01-01 00:26:54.297600,--,--,2000000,--,Formalized,--,Bilateral,Beximco Pharmaceuticals
--,Iraq,IRQ,https://abcnews.go.com/Health/wireStory/iraq-launches-vaccine-program-arrival-china-doses-76200686,1970-01-01 00:26:54.643200,--,--,2000000,--,Formalized,--,Bilateral,--
--,UK,GBR,https://www.reuters.com/article/us-health-coronavirus-britain-india/uk-to-receive-10-million-astrazeneca-covid-19-vaccine-doses-from-indias-serum-institute-idUSKCN2AU2LW,1970-01-01 00:26:54.643200,--,52500000,10000000,--,--,--,--,--
--,Slovakia,SVK,https://www.euronews.com/2021/03/01/slovakia-receives-200-000-doses-of-russia-s-sputnik-v-coronavirus-vaccine,1970-01-01 00:26:54.643200,--,--,2000000,--,Formalized,--,Bilateral,Saudi Chemicals
Moderna,Brazil,BRA,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias/2021/03/presidente-discute-antecipacao-da-entrega-de-vacina-da-pfizer-ao-brasil,1970-01-01 00:26:54.816000,mRNA-1273,--,13000000,5000000,In discussion,Moderna,--,--
--,South Korea,KOR,https://www.businesswire.com/news/home/20210303006074/en/GC-Pharma-Finalises-Agreement-With-Moderna-and-the-Government-of-the-Republic-of-Korea-for-COVID-19-Vaccines-Distribution,1970-01-01 00:26:54.816000,--,--,40000000,--,--,--,--,GC Pharma
--,Philippines,PHL,https://investors.modernatx.com/news-releases/news-release-details/moderna-announces-supply-agreement-provide-13-million-doses,1970-01-01 00:26:55.075200,--,39820800,13000000,--,Formalized,--,Bilateral,--
--,Philippines,PHL,https://investors.modernatx.com/news-releases/news-release-details/moderna-announces-supply-agreement-provide-13-million-doses,1970-01-01 00:26:55.075200,--,39820800,7000000,--,Formalized,--,Private Purchase,--
--,Mexico,MEX,https://www.gob.mx/sre/en/articulos/mexico-accelerates-national-vaccination-plan-will-receive-22-million-additional-doses-of-sinovac-and-sinopharm-vaccines-266424,1970-01-01 00:26:55.248000,--,--,12000000,--,--,--,--,Bio Farma
--,Mexico,MEX,https://www.gob.mx/sre/en/articulos/mexico-accelerates-national-vaccination-plan-will-receive-22-million-additional-doses-of-sinovac-and-sinopharm-vaccines-266424,1970-01-01 00:26:55.248000,--,--,20000000,--,--,--,--,Bio Farma
--,Tunisia,TUN,https://www.france24.com/en/live-news/20210309-tunisia-receives-first-big-vaccine-delivery,1970-01-01 00:26:55.248000,--,--,500000,--,Formalized,--,Bilateral,Saudi Chemicals
--,Viet Nam,VNM,https://www.bloomberg.com/news/articles/2021-06-03/vietnam-will-have-120-million-virus-vaccine-doses-this-year,1970-01-01 00:26:55.248000,--,3191598000,5000000,300000000,--,--,--,--
--,Ghana,GHA,https://www.mea.gov.in/vaccine-supply.htm,1970-01-01 00:26:55.334400,Covishield,--,2000,--,Formalized,Serum Institute of India,Bilateral,Beximco Pharmaceuticals
--,European Commission,SLV,https://ec.europa.eu/commission/presscorner/detail/en/ip_21_1101,1970-01-01 00:26:55.334400,--,--,4000000,--,--,--,Multilateral,--
Bharat Biotech,Iran,IRN,https://www.dnaindia.com/world/report-iran-to-get-500000-doses-of-covaxin-first-tranche-sent-already-2880583,1970-01-01 00:26:55.334400,Covaxin,1200000000,500000,--,Formalized,Bharat Biotech,Bilateral,--
--,Pakistan,PAK,https://twitter.com/DevelopmentPk/status/1386350840781410308?s=20,1970-01-01 00:26:55.334400,--,--,20000000,--,--,--,--,Solution Group
--,USA,USA,https://www.reuters.com/article/health-coronavirus-biden/update-5-biden-prepares-for-challenges-with-extra-100-mln-doses-of-jj-covid-19-vaccine-idUSL1N2L814X,1970-01-01 00:26:55.334400,--,--,100000000,22000000,In discussion,--,--,--
--,Peru,PER,https://andina.pe/ingles/noticia-peru-covid19-vaccine-agreements-signed-and-under-negotiation-837058.aspx,1970-01-01 00:26:55.420800,--,39820800,12000000,--,--,--,--,--
Bharat Biotech,Philippines,PHL,https://www.pna.gov.ph/articles/1138167,1970-01-01 00:26:55.420800,Covaxin,1200000000,8000000,--,Formalized,Bharat Biotech,Bilateral,--
--,Peru,PER,https://andina.pe/ingles/noticia-peru-covid19-vaccine-agreements-signed-and-under-negotiation-837058.aspx,1970-01-01 00:26:55.420800,--,--,5000000,3000000,In discussion,--,--,--
Instituto Butantan,Peru,PER,https://andina.pe/ingles/noticia-peru-covid19-vaccine-agreements-signed-and-under-negotiation-837058.aspx,1970-01-01 00:26:55.420800,Coronavac,--,7000000,--,In discussion,Sinovac,--,Bio Farma
Janssen,Brazil,BRA,https://www.gov.br/saude/pt-br/assuntos/noticias/ministerio-da-saude-fecha-acordo-com-pfizer-e-janssen-para-mais-138-milhoes-de-doses-de-vacinas-covid-19,1970-01-01 00:26:55.507200,Ad26.COV 2.S,--,38000000,--,Formalized,Janssen Pharmaceuticals,--,Bio Farma
Sinopharm (Beijing),Bahrain,BHR,http://www.chinadaily.com.cn/a/202103/13/WS604c2a24a31024ad0baaef7a.html,1970-01-01 00:26:55.593600,BBIBP-CorV,198000000,300000,--,--,Sinopharm (Beijing),--,--
--,Indonesia,IDN,https://www.reuters.com/article/us-health-coronavirus-indonesia-vaccine/indonesia-orders-20-million-covid-19-vaccine-doses-for-private-inoculations-idUSKBN2B70LV,1970-01-01 00:26:55.680000,--,--,15000000,110000000,--,--,Bilateral,Bio Farma
--,Libya,LBY,http://www.xinhuanet.com/english/africa/2021-04/05/c_139858648.htm,1970-01-01 00:26:55.766400,Sputnik V,--,5000000,--,Formalized,--,--,SK-Pharmacy
--,--,--,https://tengrinews.kz/kazakhstan_news/kitay-otpravit-kazahstan-3-milliona-doz-vaktsin-koronavirusa-432774/,1970-01-01 00:26:55.766400,Sputnik Light,--,1000000,--,--,--,--,SK-Pharmacy
--,Kazakhstan,KAZ,https://tengrinews.kz/kazakhstan_news/kitay-otpravit-kazahstan-3-milliona-doz-vaktsin-koronavirusa-432774/,1970-01-01 00:26:55.766400,--,--,3000000,--,--,--,--,Bio Farma
Bharat Biotech,Mauritius,MUS,https://www.mea.gov.in/vaccine-supply.htm,1970-01-01 00:26:55.766400,Covaxin,1200000000,200000,--,Formalized,Bharat Biotech,Bilateral,--
--,El Salvador,SLV,https://www.reuters.com/article/health-coronavirus-el-salvador-china/el-salvador-acquires-two-million-covid-19-vaccines-from-china-idINKBN2BK02Z,1970-01-01 00:26:55.766400,--,--,2000000,330000000,--,--,Bilateral,--
Ocugen,USA,USA,https://www.reuters.com/article/us-health-coronavirus-india-vaccine/ocugen-seeks-to-sell-100-million-indian-vaccine-doses-in-u-s-in-2021-idUSKBN2B72GH,1970-01-01 00:26:55.766400,Covaxin,--,100000000,80000000,In discussion,Bharat Biotech,Licensing deal,--
Gamaleya Research Institute,Armenia,ARM,https://www.reuters.com/article/us-health-coronavirus-russia-vaccine-arm/armenia-to-receive-1-million-doses-of-russias-sputnik-v-shot-tass-idUKKBN2C11O8,1970-01-01 00:26:55.766400,Sputnik V,350000000,1000000,--,--,Gamaleya Research Institute,Bilateral,--
--,Georgia,GEO,https://agenda.ge/en/news/2021/891,1970-01-01 00:26:55.766400,--,--,100000,110000000,--,--,Bilateral,--
Gamaleya Research Institute,Cyprus,CYP,https://www.reuters.com/article/health-coronavirus-cyprus-vaccine/cyprus-will-buy-russias-sputnik-jab-if-approved-by-eu-regulator-idUSL8N2LE2FO,1970-01-01 00:26:55.852800,Sputnik V,350000000,50000,--,In discussion,Gamaleya Research Institute,Bilateral,--
--,Pakistan,PAK,https://www.thenews.com.pk/latest/805728-first-shipment-of-privately-imported-russian-vaccine-sputnik-arrives-in-karachi,1970-01-01 00:26:55.939200,--,--,200000,--,Formalized,--,Private Purchase,Em-Impex
--,Sri Lanka,LKA,https://abcnews.go.com/Health/wireStory/latest-india-adds-368000-virus-cases-3417-deaths-77457259,1970-01-01 00:26:55.939200,--,--,13000000,--,Formalized,--,Bilateral,Saudi Chemicals
--,Serbia,SRB,https://news.cgtn.com/news/2021-03-18/Serbia-purchases-2-million-more-doses-of-Sinopharm-vaccine--YJDYMuni8w/index.html,1970-01-01 00:26:56.025600,--,3720000,2000000,--,--,--,--,--
Gamaleya Research Institute,Guyana,GUY,https://guyanachronicle.com/2021/03/20/guyana-to-get-205000-doses-of-russian-vaccines/,1970-01-01 00:26:56.198400,Sputnik V,350000000,200000,--,Formalized,Gamaleya Research Institute,Bilateral,--
--,Benin,BEN,https://www.gouv.bj/actualite/1226/lutte-contre-pandemie-coronavirus--covid-19-benin-recu-203.000-doses-vaccins-chine/,1970-01-01 00:26:56.371200,--,--,103000,500000,--,--,--,Keymen Ilac Sanayi ve Ticaret
Sinovac,Albania,ALB,https://www.reuters.com/article/us-health-coronavirus-albania-vaccines/albania-gets-192000-doses-of-chinese-sinovac-vaccine-idUSKBN2BH2N9,1970-01-01 00:26:56.630400,Coronavac,--,500000,500000,--,Sinovac,--,Keymen Ilac Sanayi ve Ticaret
R-Pharm,Lebanon,LBN,https://www.moph.gov.lb/en/Pages/127/48209/,1970-01-01 00:26:56.630400,Vaxzevria,--,1500000,--,In discussion,AstraZeneca,Bilateral,--
--,Mongolia,MNG,https://www.montsame.mn/en/read/262009,1970-01-01 00:26:56.630400,--,--,1000000,--,--,--,Bilateral,Em-Impex
--,Lebanon,LBN,https://www.moph.gov.lb/en/Pages/127/48209/,1970-01-01 00:26:56.630400,Sputnik V,--,1000000,--,In discussion,--,--,SK-Pharmacy
--,Thailand,THA,https://www.bangkokpost.com/thailand/general/2145683/ddc-defends-sinovac-jab-purchase,1970-01-01 00:26:56.716800,--,187126833,10900000,--,--,--,--,Bio Farma
Anhui Zhifei Longcom Biopharmaceutical,Uzbekistan,UZB,https://world.huanqiu.com/article/42US1hxSkv3,1970-01-01 00:26:56.889600,Recombinant SARS-CoV-2 vaccine,1000000,Formalized,Anhui Zhifei Longcom Biophamaceutical,Bilateral,,,
--,Kuwait,KWT,https://gulfnews.com/world/gulf/kuwait/kuwait-1-million-doses-of-moderna-vaccine-pending-approval-1.78188044,1970-01-01 00:26:56.976000,--,39820800,1000000,--,In discussion,--,--,Takeda
--,Chile,CHL,https://www.reuters.com/article/us-health-coronavirus-chile-vaccine/chile-inks-deal-for-1-8-million-doses-of-cansino-covid-19-vaccine-as-inoculation-drive-plows-ahead-idUSKBN2BM2HM,1970-01-01 00:26:57.062400,--,--,1800000,--,Formalized,--,--,Belcher Farmaceutica do Brasil
Gamaleya Research Institute,Austria,AUT,https://www.reuters.com/article/us-health-coronavirus-austria-sputnik/austria-in-talks-to-buy-a-million-doses-of-russias-sputnik-v-vaccine-idUSKBN2BM1HV,1970-01-01 00:26:57.062400,Sputnik V,350000000,1000000,--,In discussion,Gamaleya Research Institute,Bilateral,--
Belmedpreparaty,Belarus,BLR,https://eng.belta.by/society/view/belarus-to-roll-out-first-commercial-batch-of-sputnik-v-in-mid-april-138660-2021/,1970-01-01 00:26:57.148800,Sputnik V,1200000000,100000,--,--,Gamaleya Research Institute,Licensing deal,--
--,Pakistan,PAK,https://www.dawn.com/news/1620410/,1970-01-01 00:26:57.321600,--,--,10000000,--,--,--,--,Solution Group
--,Azerbaijan,AZE,https://caspiannews.com/news-detail/azerbaijan-gets-first-batch-of-covid-19-vaccine-directly-from-china-2021-4-2-0/,1970-01-01 00:26:57.321600,--,--,5000000,500000,--,--,--,Keymen Ilac Sanayi ve Ticaret
--,Mongolia,MNG,https://www.montsame.mn/en/read/262799,1970-01-01 00:26:57.408000,--,--,2000000,--,--,--,--,Bio Farma
