Manufacturer,Recipient,ISO,Source URL,Deal Date,Vaccine Name,Committed $,Secured Doses,Optioned Doses,Status,Vaccine Developer,Deal Type,Distributor
AstraZeneca,Australia,AUS,https://www.health.gov.au/australias-vaccine-agreements,1970-01-01 00:26:40.128000,Vaxzevria,--,3800000,--,--,AstraZeneca,--,--
Shilpa Biologicals,India,IND,https://www.bseindia.com/xml-data/corpfiling/AttachLive/49a5a4d4-6865-4995-ade9-c41789a5390f.pdf,1970-01-01 00:26:40.214400,Sputnik V,10000000,100000000,--,--,Gamaleya Research Institute,Licensing deal,Dr. Reddy's
Sanofi/GSK,Canada,CAN,https://www.gsk.com/en-gb/media/press-releases/sanofi-and-gsk-sign-agreements-with-the-government-of-canada-to-supply-up-to-72-million-doses-of-adjuvanted-covid-19-vaccine/,1970-01-01 00:26:40.732800,Vidprevtyn,--,72000000,--,Formalized,Sanofi Pasteur - GSK,Bilateral,--
Moderna,Canada,CAN,https://investors.modernatx.com/news-releases/news-release-details/canada-purchases-additional-4-million-doses-modernas-covid-19,1970-01-01 00:26:40.732800,mRNA-1273,--,44000000,16000000,Formalized,Moderna,--,--
--,European Commission,CAN,https://www.reuters.com/article/idUSKBN28R1HO,1970-01-01 00:26:40.819200,--,--,100000000,100000000,In discussion,--,Multilateral,--
--,Uzbekistan,UZB,https://rdif.ru/Eng_fullNews/5940/,1970-01-01 00:26:40.992000,--,--,35000000,--,--,--,Licensing deal,Laxisam
ReiThera,European Commission,CAN,https://www.reuters.com/article/health-coronavirus-eu-vaccines/exclusive-eu-in-early-talks-with-italys-reithera-over-potential-vaccine-supply-deal-source-idUSKCN26C1JC,1970-01-01 00:26:41.251200,GRAd-COV2,--,2000000,--,In discussion,ReiThera,Multilateral,--
--,Qatar,QAT,https://www.albawaba.com/business/pr/pfizer-and-biontech-supply-qatar-their-bnt162-mrna-based-vaccine-candidate-against-0,1970-01-01 00:26:41.337600,--,--,40000000,--,--,--,--,--
--,COVAX,CHL,https://www.gavi.org/news/media-room/gavi-signs-agreement-johnson-johnson-supply-its-covid-19-vaccine-covax,1970-01-01 00:26:41.424000,--,--,200000000,300000000,--,--,Multilateral,--
--,Saudi Arabia,SAU,https://www.reuters.com/article/idUSL4N2GS24X,1970-01-01 00:26:41.424000,--,--,10000000,10000000,Unconfirmed,--,Licensing deal,Saudi Chemicals
--,European Commission,--,https://www.reuters.com/article/health-coronavirus-eu-jj/eu-snubs-extra-300-mln-jj-astra-shots-in-bet-on-pfizer-source-idUSL1N2MD1HT,1970-01-01 00:26:42.115200,--,--,--,300000000,--,--,--,--
--,New Zealand,NZL,https://www.reuters.com/article/us-health-coronavirus-newzealand/new-zealand-to-buy-enough-pfizer-covid-19-vaccines-for-entire-population-idUSKBN2B008J,1970-01-01 00:26:42.374400,--,--,10000000,--,--,--,--,--
