ISO3_CODE,BOL,BOL,BOL,BOL,BOL,BOL,BOL,BOL,BOL
ADM1_ISOCODE,BO-B,BO-C,BO-H,BO-L,BO-N,BO-O,BO-P,BO-S,BO-T
2021-07-12,19932,67524,28314,94314,6692,22802,21198,158838,34627
2021-07-13,19943,67735,28438,94360,6707,22909,21242,159351,34751
2021-07-14,19965,67936,28611,94500,6717,22958,21325,159887,34916
2021-07-15,20019,68175,28787,94658,6724,22986,21419,160383,35061
2021-07-16,20033,68417,28976,94846,6733,23019,21473,160907,35175
2021-07-17,20051,68693,29093,95070,6735,23052,21550,161285,35289
2021-07-18,20073,68862,29234,95260,6737,23079,21601,161526,35342
2021-07-19,20082,68930,29319,95308,6738,23125,21632,161662,35358
2021-07-20,20087,69128,29466,95345,6740,23133,21662,162058,35506
2021-07-21,20107,69354,29614,95472,6741,23153,21720,162399,35617
2021-07-22,20126,69632,29736,95660,6745,23188,21783,162759,35722
2021-07-23,20138,69802,29870,95895,6745,23219,21849,162992,35808
2021-07-24,20144,69957,30009,96103,6747,23252,21920,163323,35888
2021-07-25,20148,70049,30097,96259,6749,23285,21961,163515,35912
2021-07-26,20149,70100,30187,96398,6749,23307,21970,163634,35929
2021-07-27,20159,70228,30301,96452,6754,23316,22004,163941,36027
2021-07-28,20178,70399,30385,96575,6755,23326,22074,164222,36110
2021-07-29,20187,70547,30518,96736,6757,23355,22122,164524,36183
2021-07-30,20203,70765,30594,96975,6761,23390,22176,164822,36272
2021-07-31,20209,70936,30681,97143,6762,23416,22214,165114,36338
2021-08-01,20212,71017,30739,97326,6764,23438,22269,165362,36379
2021-08-02,20217,71056,30781,97454,6764,23467,22304,165460,36396
2021-08-03,20224,71192,30838,97493,6767,23470,22335,165727,36492
2021-08-04,20232,71343,30906,97625,6768,23501,22370,165933,36587
2021-08-06,20249,71640,31043,97911,6771,23545,22469,166440,36724
2021-08-07,20257,71720,31138,98030,6771,23568,22525,166509,36741
2021-08-08,20266,71784,31211,98092,6771,23576,22536,166691,36766
2021-08-09,20272,71840,31307,98155,6771,23582,22552,166801,36780
2021-08-10,20280,71993,31359,98181,6771,23589,22577,167045,36873
2021-08-11,20288,72164,31403,98263,6773,23616,22619,167345,36988
2021-08-12,20306,72302,31458,98410,6774,23639,22690,167584,37066
2021-08-13,20318,72419,31519,98589,6777,23654,22725,167826,37119
2021-08-14,20326,72540,31575,98690,6782,23673,22785,168091,37169
2021-08-15,20332,72593,31620,98857,6782,23706,22808,168209,37224
2021-08-16,20333,72627,31680,98943,6782,23727,22821,168285,37230
2021-08-17,20346,72750,31732,98984,6786,23733,22862,168492,37340
2021-08-18,20354,72871,31762,99097,6795,23764,22952,168726,37410
2021-08-19,20364,72993,31827,99232,6797,23777,23002,168947,37507
2021-08-20,20378,73089,31896,99400,6799,23800,23034,169193,37595
2021-08-21,20385,73196,31953,99543,6803,23832,23063,169465,37686
2021-08-23,20399,73256,32014,99746,6804,23865,23141,169665,37753
2021-08-24,20401,73350,32059,99784,6809,23865,23180,169841,37842
2021-08-26,20415,73598,32172,99978,6814,23908,23259,170270,37989
2021-08-27,20418,73671,32214,100123,6817,23933,23286,170400,38071
