Recipient,Recipient ISO,Vaccine Name,Manufacturer,Source URL,Vaccine Developer,Donor,Donor ISO,Update Date,Doses
Fiji,FJI,Vaxzevria,AstraZeneca,http://www.health.gov.fj/new-zealand-to-donate-250000-courses-of-covid-19-vaccines-to-fiji/,AstraZeneca,New Zealand,NZL,2021-04-29,500000.0
Botswana,BWA,Coronavac,Sinovac,https://allafrica.com/stories/202104270467.html,Sinovac,China,CHN,2021-04-30,200000.0
Togo,TGO,Coronavac,Sinovac,https://24heureinfo.com/sante/covid-19-la-chine-offre-200-000-doses-de-vaccin-sinovac-au-togo/,Sinovac,China,CHN,2021-05-03,200000.0
Thailand,THA,Coronavac,Sinovac,https://www.reuters.com/article/health-coronavirus-thailand/update-1-thailand-to-receive-35-mln-more-doses-of-sinovac-vaccine-in-may-idUSL1N2MN0MA,Sinovac,China,CHN,2021-05-04,1000000.0
Iran,IRN,BBIBP-CorV,Sinopharm (Beijing),https://en.irna.ir/news/84296785/400k-doses-of-Sinopharm-COVID-19-vaccine-arrives-in-Iran-Official,Sinopharm (Beijing),China,CHN,2021-05-05,400000.0
Gabon,GAB,BBIBP-CorV,Sinopharm (Beijing),https://www.lenouveaugabon.com/fr/sante/1303-16602-covid-19-le-gabon-accueille-les-100-000-doses-de-vaccin-du-chinois-sinopharm,Sinopharm (Beijing),China,CHN,2021-05-06,100000.0
Mongolia,MNG,Sputnik V,Gamaleya Research Institute,https://www.montsame.mn/en/read/262009,Gamaleya Research Institute,Russia,RUS,2021-05-13,300000.0
South Korea,KOR,Ad26.COV 2.S,Janssen,http://koreabizwire.com/usfk-offers-to-provide-covid-19-vaccines-to-s-korea/189990,Janssen Pharmaceuticals,USA,USA,2021-05-17,13000.0
Senegal,SEN,BBIBP-CorV,Sinopharm (Beijing),https://twitter.com/PR_Senegal/status/1393317332961923088,Sinopharm (Beijing),China,CHN,2021-05-17,300000.0
Ukraine,UKR,Vaxzevria,AstraZeneca,https://www.reuters.com/article/health-coronavirus-lithuania-astrazeneca/lithuania-to-donate-200000-covid-19-vaccines-to-eastern-europe-idUSL8N2N12B2,AstraZeneca,Lithuania,LTU,2021-05-19,100000.0
Belize,BLZ,BBIBP-CorV,Sinopharm (Beijing),http://www.loopnewscaribbean.com/content/belize-use-donated-sinopharm-vaccine,Sinopharm (Beijing),UAE,ARE,2021-05-19,10000.0
Georgia,GEO,Vaxzevria,AstraZeneca,https://www.reuters.com/article/health-coronavirus-lithuania-astrazeneca/lithuania-to-donate-200000-covid-19-vaccines-to-eastern-europe-idUSL8N2N12B2,AstraZeneca,Lithuania,LTU,2021-05-19,15000.0
Bangladesh,BGD,BBIBP-CorV,Sinopharm (Beijing),http://bd.china-embassy.org/eng/zmjw/t1877706.htm,Sinopharm (Beijing),China,CHN,2021-05-24,600000.0
Belarus,BLR,BBIBP-CorV,Sinopharm (Beijing),https://eng.belta.by/society/view/airlifter-with-300000-doses-of-covid-19-vaccine-leaves-beijing-for-belarus-139950-2021/,Sinopharm (Beijing),China,CHN,2021-05-24,300000.0
Papua New Guinea,PNG,Vaxzevria,CSL,https://www.thenational.com.pg/meninga-backs-vaccine-rollout/,AstraZeneca,Australia,AUS,2021-05-24,10000.0
Sri Lanka,LKA,BBIBP-CorV,Sinopharm (Beijing),http://www.colombopage.com/archive_21A/May19_1621446466CH.php,Sinopharm (Beijing),China,CHN,2021-05-27,500000.0
South Korea,KOR,Ad26.COV 2.S,Janssen,http://world.kbs.co.kr/service/news_view.htm?lang=e&Seq_Code=161820,Janssen Pharmaceuticals,USA,USA,2021-06-02,1000000.0
Trinidad,TTO,Vaxzevria,AstraZeneca,https://newsday.co.tt/2021/05/20/st-vincent-bermuda-donate-covid19-vaccines-to-trinidad-and-tobago/,AstraZeneca,Saint Vincent,VCT,2021-06-03,16000.0
Serbia,SRB,BBIBP-CorV,Sinopharm (Beijing),http://www.mod.gov.rs/eng/tekst/17397/kina-donirala-200-000-vakcina-dokaz-celicnog-prijateljstva-17397,Sinopharm (Beijing),China,CHN,2021-06-03,200000.0
Trinidad,TTO,Vaxzevria,AstraZeneca,https://foreign.gov.tt/resources/news/trinidad-and-tobago-receives-9000-doses-who-approved-astrazeneca-covid-19-vaccines-bermuda/,AstraZeneca,Bermuda,BMU,2021-06-03,9000.0
Timor-Leste,TLS,Coronavac,Sinovac,https://www.wfp.org/news/wfp-helps-transport-covid-19-vaccine-donated-china-timor-leste,Sinovac,China,CHN,2021-06-07,100000.0
Macedonia,MKD,Coronavac,Sinovac,https://www.aa.com.tr/en/europe/north-macedonia-receives-30-000-vaccine-doses-donated-by-turkey/2268553,Sinovac,Turkey,TUR,2021-06-09,30000.0
Mozambique,MOZ,BBIBP-CorV,Sinopharm (Beijing),https://www.peacefmonline.com/pages/local/news/202106/446096.php,Sinopharm (Beijing),China,CHN,2021-06-09,60000.0
Taiwan,TWN,Vaxzevria,AstraZeneca,https://www.voanews.com/covid-19-pandemic/japan-donates-more-1-million-astrazeneca-jabs-taiwan,AstraZeneca,Japan,JPN,2021-06-09,1240000.0
Belarus,BLR,BBIBP-CorV,Sinopharm (Beijing),https://www.belarus.by/en/press-center/humanitarian-cooperation/uae-donates-about-10000-covid-19-vaccine-doses-to-belarus_i_0000130808.html,Sinopharm (Beijing),UAE,ARE,2021-06-09,10000.0
Solomon Islands,SLB,Vaxzevria,CSL,https://solomons.gov.sb/pm-welcomes-australias-offer-of-60000-doses-astrazeneca/,AstraZeneca,Australia,AUS,2021-06-14,60000.0
Moldova,MDA,Vaxzevria,AstraZeneca,https://www.euneighbours.eu/en/east/stay-informed/news/moldova-receives-covid-19-vaccines-through-eu-civil-protection-mechanism,AstraZeneca,Romania,ROU,2021-06-14,100800.0
Solomon Islands,SLB,BBIBP-CorV,Sinopharm (Beijing),https://solomons.gov.sb/transfer-certificate-for-the-50000-sinopharm-vaccines-signed/,Sinopharm (Beijing),China,CHN,2021-06-14,50000.0
--,--,Sputnik V,Gamaleya Research Institute,http://eng.alrosa.ru/alrosa-zim-donates-sputnik-v-vaccines-to-zimbabwe/,Gamaleya Research Institute,Alrosa Group,IND,2021-06-14,50000.0
Afghanistan,AFG,BBIBP-CorV,Sinopharm (Beijing),https://www.nytimes.com/2021/06/10/world/afghanistan-sinopharm-covid-vaccine.html,Sinopharm (Beijing),China,CHN,2021-06-14,700000.0
Guinea,GIN,BBIBP-CorV,Sinopharm (Beijing),https://twitter.com/shen_shiwei/status/1367277932272492547?s=20,Sinopharm (Beijing),China,CHN,2021-06-16,200000.0
Djibouti,DJI,BBIBP-CorV,Sinovac,https://twitter.com/dpfza/status/1372529603588235267,Sinopharm (Beijing),China,CHN,2021-06-16,300000.0
--,--,Sputnik V,Gamaleya Research Institute,http://eng.alrosa.ru/alrosa-together-with-russias-embassy-donated-sputnik-v-vaccines-to-angola/,Gamaleya Research Institute,Alrosa Group,CHN,2021-06-16,50000.0
Mauritania,MRT,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,France,FRA,2021-06-18,435840.0
Mexico,MEX,Ad26.COV 2.S,Janssen,https://www.gob.mx/sre/prensa/mexico-receives-a-shipment-of-1-35-million-johnson-johnson-vaccine-doses?idiom=en,Janssen Pharmaceuticals,USA,USA,2021-06-18,1350000.0
Bangladesh,BGD,BBIBP-CorV,Sinopharm (Beijing),https://thefinancialexpress.com.bd/national/another-2-million-sinopharm-vaccine-doses-arrive-in-bangladesh-1626593708,Sinopharm (Beijing),China,CHN,2021-06-19,2000000.0
Cyprus,CYP,Coronavac,Sinovac,https://www.aa.com.tr/en/turkey/turkey-sends-20-000-more-vaccine-doses-to-ncyprus/2126160,Sinovac,Turkey,TUR,2021-06-20,20000.0
Serbia,SRB,Vaxzevria,AstraZeneca,https://www.theguardian.com/world/live/2021/jun/16/coronavirus-live-news-new-york-hits-70-vaccination-target-japan-considering-10000-fans-at-olympics?page=with%3Ablock-60ca2f848f08bfe0ccb13b6e,AstraZeneca,Romania,ROU,2021-06-20,50400.0
Malaysia,MYS,Coronavac,Sinovac,https://www.reuters.com/world/asia-pacific/malaysia-says-china-contribute-500000-doses-sinovac-vaccines-2021-06-16/,Sinovac,China,CHN,2021-06-20,500000.0
Cyprus,CYP,Coronavac,Sinovac,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/turkey-sends-26-000-addition-covid-19-vaccine-doses-to-northern-cyprus/2277728,Sinovac,Turkey,TUR,2021-06-20,26000.0
Cyprus,CYP,Coronavac,Sinovac,https://www.aa.com.tr/en/health/40-000-doses-of-virus-vaccine-arrives-in-ncyprus/2141569,Sinovac,Turkey,TUR,2021-06-20,40000.0
Cyprus,CYP,Coronavac,Sinovac,https://www.aa.com.tr/en/health/turkey-sends-20-000-more-vaccine-doses-to-ncyprus/2164568,Sinovac,Turkey,TUR,2021-06-20,20000.0
Cyprus,CYP,Coronavac,Sinovac,https://www.aa.com.tr/en/turkey/turkey-sends-50-000-more-vaccine-doses-to-northern-cyprus/2267885,Sinovac,Turkey,TUR,2021-06-20,50000.0
Viet Nam,VNM,BBIBP-CorV,Sinopharm (Beijing),https://english.newstracklive.com/news/china-donated-500000-sinopharm-vaccine-doses-to-vietnam-sc57-nu318-ta318-1166689-1.html,Sinopharm (Beijing),China,CHN,2021-06-23,500000.0
Viet Nam,VNM,Vaxzevria,AstraZeneca,https://english.kyodonews.net/news/2021/06/8f512fecd4bf-breaking-news-japan-to-donate-1-mil-covid-19-vaccine-doses-to-vietnam-on-wed.html,AstraZeneca,Japan,JPN,2021-06-23,1000000.0
Kenya,KEN,Vaxzevria,AstraZeneca,https://www.dr.dk/nyheder/udland/358700-danske-doser-astrazeneca-vaccine-skal-sendes-til-kenya,AstraZeneca,Denmark,DNK,2021-06-23,358700.0
Honduras,HND,Vaxzevria,Laboratorios Liomont,https://www.reuters.com/world/americas/mexico-donate-154100-doses-astrazeneza-vaccine-honduras-2021-06-19/,AstraZeneca,Mexico,MEX,2021-06-24,154100.0
El Salvador,SLV,Vaxzevria,Laboratorios Liomont,https://www.reuters.com/world/americas/mexico-donate-400000-covid-19-vaccine-shots-central-america-2021-06-24/,AstraZeneca,Mexico,MEX,2021-06-24,100800.0
Senegal,SEN,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,France,FRA,2021-06-25,464160.0
Burkina Faso,BFA,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,France,FRA,2021-06-25,172800.0
Papua New Guinea,PNG,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,New Zealand,NZL,2021-06-25,146400.0
Taiwan,TWN,mRNA-1273,Moderna,https://www.reuters.com/business/healthcare-pharmaceuticals/exclusive-us-triples-vaccines-taiwan-with-25-million-dose-shipment-2021-06-19/,Moderna,USA,USA,2021-06-25,2500000.0
Timor-Leste,TLS,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,New Zealand,NZL,2021-06-25,292800.0
Uganda,UGA,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,France,FRA,2021-06-25,1449600.0
Tuvalu,TUV,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,New Zealand,NZL,2021-06-25,9600.0
Tonga,TON,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,New Zealand,NZL,2021-06-25,84800.0
Lesotho,LSO,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,France,FRA,2021-06-25,36000.0
Viet Nam,VNM,Vaxzevria,AstraZeneca,https://www.straitstimes.com/asia/east-asia/japan-to-give-1-million-doses-of-covid-19-vaccine-each-to-taiwan-vietnam,AstraZeneca,Japan,JPN,2021-06-28,1000000.0
Indonesia,IDN,Vaxzevria,AstraZeneca,https://english.kyodonews.net/news/2021/06/082ff96b4bdb-japan-to-donate-millions-more-astrazeneca-vaccines-across-asia.html,AstraZeneca,Japan,JPN,2021-06-28,1000000.0
Thailand,THA,Vaxzevria,AstraZeneca,https://english.kyodonews.net/news/2021/06/082ff96b4bdb-japan-to-donate-millions-more-astrazeneca-vaccines-across-asia.html,AstraZeneca,Japan,JPN,2021-06-28,1000000.0
Malaysia,MYS,Vaxzevria,AstraZeneca,https://english.kyodonews.net/news/2021/06/082ff96b4bdb-japan-to-donate-millions-more-astrazeneca-vaccines-across-asia.html,AstraZeneca,Japan,JPN,2021-06-28,1000000.0
Philippines,PHL,Vaxzevria,AstraZeneca,https://english.kyodonews.net/news/2021/06/082ff96b4bdb-japan-to-donate-millions-more-astrazeneca-vaccines-across-asia.html,AstraZeneca,Japan,JPN,2021-06-28,1124100.0
Moldova,MDA,Sputnik V,Gamaleya Research Institute,https://en.news-front.info/2021/06/19/the-third-batch-of-the-russian-vaccine-sputnik-v-was-delivered-to-moldova/,Gamaleya Research Institute,Russia,RUS,2021-06-28,30000.0
Barbados,BRB,BBIBP-CorV,Sinopharm (Beijing),https://www.nationnews.com/2021/06/30/bajans-urged-take-vaccine/,Sinopharm (Beijing),China,CHN,2021-07-01,30000.0
Bangladesh,BGD,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-06,5500060.0
Cabo Verde,CPV,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,France,FRA,2021-07-06,31200.0
Taiwan,TWN,Vaxzevria,AstraZeneca,https://www.cdc.gov.tw/En/Bulletin/Detail/CRhVW0MnumfWzkvE8IiaWw?typeid=158,AstraZeneca,Japan,JPN,2021-07-06,1130000.0
Brazil,BRA,Ad26.COV 2.S,Janssen,https://br.usembassy.gov/the-united-states-donates-3-million-doses-of-johnson-johnson-vaccine-to-brazil/,Janssen Pharmaceuticals,USA,USA,2021-07-11,3000000.0
Somalia,SOM,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,France,FRA,2021-07-12,449760.0
Malaysia,MYS,Comirnaty,Pfizer/BioNTech,https://www.straitstimes.com/asia/se-asia/us-donation-of-one-million-pfizer-covid-19-vaccines-arrives-in-malaysia,Pfizer BioNTech,USA,USA,2021-07-12,1000000.0
Pakistan,PAK,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-12,5500060.0
Bosnia,BIH,Comirnaty,Pfizer/BioNTech,https://ba.n1info.com/english/news/us-sending-half-a-million-pfizer-doses-to-bosnia/,Pfizer BioNTech,USA,USA,2021-07-12,500000.0
Peru,PER,Comirnaty,Pfizer/BioNTech,https://andina.pe/ingles/noticia-peru-receives-over-1-million-of-pfizer-vaccine-doses-donated-by-us-851223.aspx,Pfizer BioNTech,USA,USA,2021-07-12,2000000.0
Colombia,COL,Ad26.COV 2.S,Janssen,"https://www.reuters.com/business/healthcare-pharmaceuticals/colombia-says-get-25-mln-janssen-covid-shot-donation-us-2021-06-28/#:~:text=Colombia%20says%20to%20get%202.5%20mln%20Janssen%20COVID%20shot%20donation%20from%20U.S.,-Reuters&text=BOGOTA%2C%20June%2028%20(Reuters),of%20Johnson%20%26%20Johnson%20(JNJ.",Janssen Pharmaceuticals,USA,USA,2021-07-12,2500000.0
Canada,CAN,mRNA-1273,Moderna,https://ca.usembassy.gov/the-united-states-donates-one-million-covid-19-vaccine-doses-to-canada/,Moderna,USA,USA,2021-07-12,1000000.0
Indonesia,IDN,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-12,4500160.0
Trinidad,TTO,Comirnaty,Pfizer/BioNTech,https://www.reuters.com/business/healthcare-pharmaceuticals/chinese-media-mocks-us-donation-80-vaccine-vials-trinidad-tobago-2021-06-16/,Pfizer BioNTech,USA,USA,2021-07-12,480.0
Bhutan,BTN,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-12,500000.0
El Salvador,SLV,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-13,3000200.0
Bolivia,BOL,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-13,1008000.0
Zambia,ZMB,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,France,FRA,2021-07-13,467200.0
Costa Rica,CRI,Comirnaty,Pfizer/BioNTech,https://twitter.com/StateDept/status/1415292331205480449?s=20,Pfizer BioNTech,USA,USA,2021-07-14,500000.0
Sri Lanka,LKA,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-16,1500100.0
Paraguay,PRY,Comirnaty,Pfizer/BioNTech,https://news.yahoo.com/u-donate-1-million-doses-210029623.html,Pfizer BioNTech,USA,USA,2021-07-16,1000000.0
Uruguay,URY,Comirnaty,Pfizer/BioNTech,https://riotimesonline.com/brazil-news/covid-19/uruguay-will-receive-a-donation-of-500000-doses-of-pfizers-covid-vaccine-from-the-united-states/,Pfizer BioNTech,USA,USA,2021-07-16,500000.0
Panama,PAN,Comirnaty,Pfizer/BioNTech,https://www.embassyofpanama.org/news/2021/7/26/panama-receives-503100-pfizer-doses-donated-by-the-united-states,Pfizer BioNTech,USA,USA,2021-07-16,503100.0
Viet Nam,VNM,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-16,5000100.0
Taiwan,TWN,Vaxzevria,AstraZeneca,https://www.taiwannews.com.tw/en/news/4249126,AstraZeneca,Japan,JPN,2021-07-16,970000.0
Jordan,JOR,Comirnaty,Pfizer/BioNTech,https://www.france24.com/en/live-news/20210715-us-sends-half-million-covid-vaccines-to-jordan,Pfizer BioNTech,USA,USA,2021-07-16,500000.0
Afghanistan,AFG,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-16,3312050.0
Nepal,NPL,BBIBP-CorV,Sinopharm (Beijing),https://kathmandupost.com/national/2021/07/16/china-to-donate-additional-1-6-million-doses-of-covid-19-vaccines-to-nepal,Sinopharm (Beijing),China,CHN,2021-07-16,1600000.0
Nepal,NPL,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-16,1534850.0
Moldova,MDA,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-16,518400.0
Haiti,HTI,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-16,500000.0
Honduras,HND,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-16,3000100.0
Mozambique,MOZ,Ad26.COV 2.S,Janssen,https://www.portaldiplomatico.mne.gov.pt/comunicacao-e-media/comunciados-de-imprensa/portugal-disponibiliza-vacinas-contra-a-covid-19-a-mocambique,Janssen Pharmaceuticals,Portugal,PRT,2021-07-18,50000.0
Cabo Verde,CPV,Vaxzevria,AstraZeneca,https://www.portaldiplomatico.mne.gov.pt/comunicacao-e-media/comunciados-de-imprensa/portugal-disponibiliza-mais-vacinas-contra-a-covid-19-a-cabo-verde,AstraZeneca,Portugal,PRT,2021-07-18,24000.0
Sao Tome,STP,Covishield,Serum Institute of India,https://www.portaldiplomatico.mne.gov.pt/comunicacao-e-media/comunciados-de-imprensa/portugal-apoia-sao-tome-e-principe-na-vacinacao-contra-a-covid-19,Serum Institute of India,Portugal,PRT,2021-07-18,12000.0
Angola,AGO,Vaxzevria,AstraZeneca,https://www.portaldiplomatico.mne.gov.pt/comunicacao-e-media/comunciados-de-imprensa/portugal-disponibiliza-vacinas-contra-a-covid-19-a-angola,AstraZeneca,Portugal,PRT,2021-07-18,50000.0
Burkina Faso,BFA,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-19,302400.0
Philippines,PHL,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-19,3000060.0
Philippines,PHL,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-19,3240850.0
Ethiopia,ETH,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-19,1664150.0
Fiji,FJI,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-20,150080.0
Uzbekistan,UZB,Vaxzevria,AstraZeneca,https://tashkenttimes.uz/national/7248-azerbaijan-donates-50-thousand-doses-of-astrazeneca-vaccine-to-uzbekistan,AstraZeneca,Azerbaijan,AZE,2021-07-21,50000.0
Guatemala,GTM,mRNA-1273,Moderna,https://gt.usembassy.gov/u-s-government-aid-of-3-million-vaccines-arrives-in-la-aurora/,Moderna,USA,USA,2021-07-21,3000000.0
Lesotho,LSO,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,302400.0
Zambia,ZMB,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,302400.0
Afghanistan,AFG,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,Sweden,SWE,2021-07-25,736800.0
Iran,IRN,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,Japan,JPN,2021-07-25,6514210.0
Kyrgyzstan,KGZ,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,Sweden,SWE,2021-07-25,454560.0
Gambia,GMB,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,302400.0
Georgia,GEO,Comirnaty,Pfizer/BioNTech,https://www.euronews.com/2021/07/24/us-donates-half-a-million-pfizer-vaccine-doses-to-georgia,Pfizer BioNTech,USA,USA,2021-07-25,500000.0
Mali,MLI,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,165600.0
Guatemala,GTM,mRNA-1273,Moderna,https://gt.usembassy.gov/u-s-government-aid-of-3-million-vaccines-arrives-in-la-aurora/,Moderna,USA,USA,2021-07-25,1500000.0
Madagascar,MDG,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,302750.0
Tajikistan,TJK,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-25,1500100.0
Laos,LAO,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,1008000.0
Uganda,UGA,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,Norway,NOR,2021-07-25,1449600.0
Indonesia,IDN,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-25,3500000.0
Tunisia,TUN,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-25,1000020.0
Nicaragua,NIC,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,Norway,NOR,2021-07-25,268800.0
Benin,BEN,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,302400.0
Colombia,COL,mRNA-1273,Moderna,https://twitter.com/IvanDuque/status/1419321715566448642,Moderna,USA,USA,2021-07-25,3500000.0
Senegal,SEN,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,302400.0
Eswatini,SWZ,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,302400.0
Cambodia,KHM,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,1060100.0
Cambodia,KHM,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,Japan,JPN,2021-07-25,648000.0
CAR,CAF,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,302400.0
Nigeria,NGA,mRNA-1273,Moderna,UNICEF,Moderna,USA,USA,2021-07-25,4000080.0
Morocco,MAR,Ad26.COV 2.S,Janssen,UNICEF,Janssen Pharmaceuticals,USA,USA,2021-07-25,302400.0
Ecuador,ECU,Comirnaty,Pfizer/BioNTech,https://ec.usembassy.gov/slide/the-us-completes-the-donation-of-2-million-pfizer-vaccines-to-ecuador/,Pfizer BioNTech,USA,USA,2021-07-25,2000000.0
Cote d'Ivoire,CIV,Vaxzevria,AstraZeneca,UNICEF,AstraZeneca,France,FRA,2021-07-25,624000.0
Viet Nam,VNM,Vaxzevria,AstraZeneca,https://www.romania-insider.com/romania-donate-covid-vaccines-vietnam,AstraZeneca,Romania,ROU,2021-07-26,100800.0
Fiji,FJI,Vaxzevria,CSL,https://www.fijivillage.com/news/1-million-vaccines-to-come-from-Australia-and-500000-vaccines-to-come-from-NZ-xr58f4/,AstraZeneca,Australia,AUS,2021-07-28,1000000.0
Myanmar,MMR,BBIBP-CorV,Sinopharm (Beijing),https://www.reuters.com/world/asia-pacific/myanmar-use-chinese-vaccines-fight-covid-19-border-area-2021-07-23/,Sinopharm (Beijing),China,CHN,2021-07-28,2000000.0
Bhutan,BTN,Vaxzevria,AstraZeneca,https://twitter.com/eu_echo/status/1420728352818835462?s=20,AstraZeneca,Bulgaria,BGR,2021-08-01,172500.0
Bhutan,BTN,BBIBP-CorV,Sinopharm (Beijing),https://www.unicef.org/rosa/press-releases/bhutan-receives-500000-doses-covid-19-vaccines-through-covax,Sinopharm (Beijing),China,CHN,2021-08-01,500000.0
Bhutan,BTN,Vaxzevria,AstraZeneca,https://twitter.com/eu_echo/status/1420728352818835462?s=20,AstraZeneca,Denmark,DNK,2021-08-01,250000.0
El Salvador,SLV,BBIBP-CorV,Sinopharm (Beijing),https://www.reuters.com/article/us-health-coronavirus-el-salvador-china/el-salvador-to-receive-1-million-vaccine-doses-from-china-after-boosting-diplomatic-ties-idUSKBN2EW273,Sinopharm (Beijing),China,CHN,2021-08-02,1000000.0
--,--,Covishield,Serum Institute of India,https://togoactu24.com/covid-19-le-togo-receptionne-45-000-doses-de-vaccin-astrazeneca-de-lua/,Serum Institute of India,MTN Group,CHN,2021-08-02,45000.0
Philippines,PHL,Vaxzevria,AstraZeneca,https://www.reuters.com/world/asia-pacific/first-batch-us-donated-pfizer-vaccines-arrives-thailand-2021-07-30/,AstraZeneca,UK,GBR,2021-08-04,415040.0
Kyrgyzstan,KGZ,QazCovid-in,Research Institute for Biological Safety Problems,https://astanatimes.com/2021/07/kazakhstan-delivers-25000-doses-of-its-own-vaccine-to-kyrgyzstan/,Research Institute for Biological Safety Problems,Kazakhstan,KAZ,2021-08-04,25000.0
Ukraine,UKR,Vaxzevria,AstraZeneca,https://www.ukrinform.net/rubric-society/3288280-estonia-donates-over-50000-doses-of-astrazeneca-vaccine-to-ukraine.html,AstraZeneca,Estonia,EST,2021-08-04,147200.0
Antigua,ATG,Vaxzevria,AstraZeneca,https://caribbean.loopnews.com/content/uk-donates-oxford-astrazeneca-covid-19-vaccines-antigua,AstraZeneca,UK,GBR,2021-08-04,12000.0
Syria,SYR,BBIBP-CorV,Sinopharm (Beijing),http://www.oananews.org/content/news/general/syria-receives-150000-doses-corona-vaccine-china,Sinopharm (Beijing),China,CHN,2021-08-04,150000.0
Sri Lanka,LKA,BBIBP-CorV,Sinopharm (Beijing),https://www.business-standard.com/article/current-affairs/sri-lanka-approves-chinese-sinovac-covid-19-vaccine-for-emergency-use-121071700066_1.html,Sinopharm (Beijing),China,CHN,2021-08-04,1600000.0
Kenya,KEN,Vaxzevria,AstraZeneca,https://www.unicef.org/kenya/press-releases/another-410000-covid-19-vaccine-doses-arrive-kenya-donated-uk,AstraZeneca,UK,GBR,2021-08-04,817000.0
Jamaica,JAM,Vaxzevria,AstraZeneca,https://jis.gov.jm/jamaica-receives-300000-doses-of-vaccines-from-the-uk/,AstraZeneca,UK,GBR,2021-08-04,300000.0
Cambodia,KHM,Vaxzevria,AstraZeneca,https://www.khmertimeskh.com/50903837/united-kingdom-donates-415000-doses-of-astra-zeneca-vaccine-to-cambodia/,AstraZeneca,UK,GBR,2021-08-04,415000.0
Viet Nam,VNM,Vaxzevria,AstraZeneca,https://e.vnexpress.net/news/news/415-000-astrazeneca-doses-gifted-by-uk-reach-vietnam-4335031.html,AstraZeneca,UK,GBR,2021-08-06,415000.0
