,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20
10,,0.0,0.0,0.0,0.0,0.0,22.0,0.0,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.75,0.0,0.0,21.5,44.0,0.0,15.5,0.0,0.0,0.0,18.5,77.0,39.0,0.0,19.25,0.0,39.0,19.75,19.75,0.0,66.25,20.75,0.0,23.5,0.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,41.5,40.75,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,30.5,38.25,0.0,0.0,44.0,0.0,66.25,40.75,63.0,0.0,0.0,20.75,0.0,0.0,25.0,0.0,64.75,43.25,0.0,0.0,0.0,0.0,0.0,14.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.0,0.0,0.0,0.0,15.25,21.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,14.25,14.75,0.0,23.0,34.5,0.0,11.25,0.0,0.0,0.0,14.25,13.25,19.75,0.0,67.0,0.0,14.0,54.25,21.0,0.0,21.75,15.25,0.0,0.0,0.0,16.0,0.0,14.75,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.0,0.0,0.0,0.0,0.0,25.5,0.0,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.0,0.0,15.0,0.0,24.75,0.0,10.25,0.0,0.0,0.0,72.0,34.75,0.0,24.0,0.0,36.5,51.25,14.5,0.0,13.25,0.0,0.0,15.25,0.0,30.25,0.0,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,18.75,0.0,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,20.75,0.0,23.75,21.0,0.0,67.25,42.75,43.25,0.0,0.0,44.25,0.0,0.0,97.5,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0.0,0.0,0.0,0.0,39.0,13.5,0.0,0.0,0.0,0.0,0.0,22.5,10.5,0.0,0.0,0.0,0.0,25.0,0.0,14.0,0.0,0.0,0.0,42.25,0.0,0.0,0.0,55.75,12.25,0.0,47.25,0.0,80.0,34.0,26.75,42.25,0.0,60.75,0.0,0.0,13.5,0.0,0.0,22.25,0.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0.0,0.0,0.0,0.0,0.0,20.5,0.0,42.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,67.5,22.25,29.25,25.0,0.0,0.0,0.0,0.0,53.75,58.0,0.0,25.0,0.0,0.0,41.75,31.75,0.0,0.0,0.0,0.0,58.75,0.0,50.0,0.0,21.5,0.0,24.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,19.25,17.0,21.25,0.0,0.0,21.5,36.75,0.0,34.5,43.5,0.0,45.75,19.75,65.0,11.5,0.0,10.75,0.0,24.25,25.0,50.0,13.25,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,0.0,0.0,0.0,0.0,0.0,58.0,0.0,67.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.75,0.0,0.0,47.0,12.75,0.0,43.25,19.25,0.0,0.0,0.0,33.75,69.0,0.0,31.0,0.0,0.0,76.25,14.25,0.0,35.5,0.0,0.0,46.25,0.0,22.75,0.0,20.25,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.75,44.25,4.5,0.0,0.0,0.0,0.0,5.0,41.5,0.0,0.0,0.0,5.0,0.0,0.0,44.0,15.0,16.75,0.0,0.0,0.0,0.0,35.75,0.0,0.0,0.0,0.0,0.0,56.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,0.0,0.0,0.0,0.0,16.25,0.0,0.0,0.0,0.0,0.0,0.0,26.5,86.5,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,64.5,25.25,12.5,0.0,0.0,0.0,0.0,0.0,14.25,0.0,35.0,44.25,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,47.0,21.75,79.75,0.0,53.5,0.0,0.0,0.0,37.25,39.0,0.0,0.0,0.0,37.0,60.0,20.0,0.0,22.25,0.0,0.0,25.0,0.0,0.0,0.0,21.25,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,0.0,0.0,0.0,0.0,0.0,0.0,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,14.0,0.0,0.0,21.25,22.0,0.0,0.0,0.0,46.75,0.0,0.0,13.0,0.0,12.25,62.5,12.75,0.0,21.25,0.0,0.0,23.0,0.0,25.0,0.0,36.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,0.0,0.0,0.0,0.0,23.5,0.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,45.75,41.5,0.0,32.5,0.0,0.0,0.0,0.0,18.0,20.25,0.0,25.0,0.0,41.5,58.75,0.0,0.0,66.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,16.25,0.0,0.0,0.0,0.0,39.0,43.25,0.0,0.0,0.0,50.0,0.0,0.0,0.0,63.25,35.25,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,25.5,86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.0,0.0,0.0,0.0,0.0,0.0,33.75,0.0,0.0,0.0,9.5,17.25,0.0,0.0,0.0,21.75,0.0,0.0,0.0,34.0,0.0,10.75,10.0,0.0,0.0,0.0,33.0,31.5,0.0,57.0,0.0,31.0,21.0,29.5,0.0,0.0,11.5,22.75,23.5,22.25,0.0,0.0,0.0,14.0,25.0,0.0,0.0,0.0,11.25,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,0.0,0.0,38.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.25,70.25,18.5,0.0,0.0,0.0,0.0,42.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,12.25,21.0,15.75,0.0,42.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,49.5,68.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,0.0,0.0,0.0,12.5,0.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.75,0.0,0.0,27.25,0.0,32.5,17.0,0.0,0.0,0.0,0.0,51.0,10.75,0.0,11.5,0.0,0.0,33.25,23.5,0.0,55.75,0.0,0.0,28.0,0.0,25.0,0.0,12.25,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
