,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11
32,,,,,17.0,32.75,33.25,24.5,15.75,20.75,15.25,1.5,2.75,12.5,9.5,7.5,15.0,29.75,13.75,40.75,52.0,36.75,65.5,52.25,99.0,69.75,26.25,45.5,67.25,33.5,36.0,17.5,37.25,53.5,23.25,36.75,37.5,31.75,44.0,42.0,49.25,40.5,57.0,50.75,32.0,40.5,49.0,39.25,34.75,15.0,54.25,37.75,46.0,51.25,74.0,,,,
33,,,,,16.5,23.75,37.75,34.5,40.75,1.5,6.0,12.5,0.0,9.5,13.75,10.75,18.75,28.0,25.75,21.5,39.0,50.5,74.0,73.0,65.25,86.5,63.75,79.75,42.75,41.5,36.5,28.0,45.75,47.0,68.25,22.75,63.0,29.5,48.0,61.25,44.5,55.5,55.5,62.75,42.5,64.0,47.75,16.75,38.5,36.0,54.75,74.5,41.75,84.0,74.75,79.0,,,
34,,,,,,30.5,32.25,26.25,19.25,29.25,8.25,1.5,4.5,16.75,10.0,14.5,18.5,34.0,18.0,36.5,45.5,43.5,70.75,58.25,84.75,87.5,50.5,62.5,68.5,52.25,50.0,37.75,43.0,45.75,25.75,36.5,62.75,46.0,62.0,57.25,60.25,43.0,53.75,65.25,51.25,53.5,31.0,41.75,43.25,33.25,72.25,55.25,55.0,69.0,91.75,77.5,,,
35,,,,,,24.0,28.0,23.5,36.25,1.5,1.5,9.25,4.5,12.25,7.0,12.75,17.0,40.0,29.75,29.25,55.5,50.75,81.75,68.25,62.25,94.25,47.25,69.0,44.5,47.5,43.0,33.25,35.25,51.5,52.75,25.5,39.25,22.5,43.75,42.0,38.75,59.25,51.5,52.0,42.0,74.25,47.5,23.5,40.25,37.5,44.75,64.75,66.5,67.0,76.0,75.75,,,
36,,,,,,23.75,28.0,23.5,36.25,1.5,1.5,9.25,4.5,12.25,7.0,12.75,17.0,40.0,30.0,29.25,55.25,50.75,81.75,68.25,61.75,94.25,47.0,69.0,44.5,47.5,42.75,33.5,34.75,51.5,52.75,25.5,39.25,22.5,43.75,41.75,38.5,59.25,51.5,52.0,42.0,74.0,47.5,23.25,40.25,37.5,44.5,64.25,66.5,66.75,75.75,75.75,,,
37,,,,,,12.75,39.0,22.25,14.25,18.25,3.5,5.0,9.75,11.75,10.75,20.25,9.25,24.0,30.25,30.75,69.0,34.0,43.75,42.5,45.25,74.5,74.0,70.75,84.0,57.0,34.25,45.5,61.25,37.75,56.25,44.0,31.75,34.75,77.5,46.0,52.25,61.0,76.25,80.5,59.0,61.25,38.75,43.5,15.75,27.0,75.25,45.5,72.75,67.5,83.0,75.75,,,
38,,,,,,4.5,29.75,28.5,38.75,1.5,6.0,14.0,3.0,16.0,6.75,12.5,16.75,39.25,24.25,25.75,41.5,42.5,67.5,82.25,64.25,80.75,84.25,78.0,39.0,41.0,48.0,37.75,39.0,40.25,56.0,24.75,53.5,32.25,42.5,50.75,38.25,72.0,53.75,44.75,42.0,54.5,54.0,15.0,46.75,27.0,36.75,71.25,53.25,86.0,71.0,59.5,,,
39,,,,,,,34.25,29.5,16.75,17.5,6.0,4.0,1.5,13.5,11.75,12.25,16.0,24.75,7.0,48.0,34.25,52.25,55.75,60.25,74.25,66.75,50.0,57.0,69.5,27.5,56.0,32.25,37.75,52.25,36.75,41.5,35.0,39.25,43.75,32.75,57.25,34.75,64.75,59.5,40.75,41.25,49.75,35.0,38.5,23.0,58.25,50.5,40.0,53.5,84.0,78.75,52.5,,
40,,,,,,,31.5,31.0,21.0,18.25,14.5,6.0,3.0,21.25,12.25,14.25,21.5,30.5,22.75,53.25,44.0,36.75,61.5,59.5,90.5,77.75,52.5,49.5,71.0,35.5,49.0,43.5,34.25,58.0,43.5,32.75,53.75,41.25,36.5,51.75,55.25,59.25,61.0,69.5,38.5,58.25,42.25,48.25,42.25,29.75,66.75,56.25,55.5,57.75,91.75,75.25,71.0,,
41,,,,,,,24.0,19.5,15.5,8.5,1.0,7.75,9.5,11.0,8.75,11.5,11.75,28.0,14.5,25.0,44.5,38.5,46.5,39.25,54.75,67.0,60.25,47.25,59.75,27.0,33.0,28.5,42.75,33.0,36.75,29.0,18.25,30.5,53.0,37.5,41.25,49.75,58.75,45.5,54.75,47.25,32.5,36.25,16.5,33.0,41.5,49.25,73.0,72.75,60.25,49.75,40.75,,
